podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,flash_id,url
346,427,207,296,23,50,7,57,122.0,164.0,53.0,93.0,6.0,29.0,3.0,12.0,8,12,9,14,Imegufvn,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=Imegufvn
406,514,290,361,26,65,25,58,107.0,164.0,67.0,98.0,11.0,29.0,4.0,11.0,12,15,4,13,IkjZZb26,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=IkjZZb26
287,356,220,276,24,53,18,38,78.0,104.0,42.0,64.0,12.0,29.0,7.0,19.0,10,14,9,11,dz2QyLXg,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=dz2QyLXg
371,470,214,301,27,65,23,70,92.0,139.0,34.0,67.0,4.0,19.0,3.0,12.0,5,8,10,16,O8tlUTVp,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=O8tlUTVp
429,492,211,280,21,46,21,45,176.0,216.0,48.0,69.0,10.0,42.0,5.0,15.0,8,19,6,18,46lsYxXI,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=46lsYxXI
399,472,293,360,18,50,22,51,96.0,129.0,56.0,87.0,5.0,22.0,4.0,14.0,8,13,6,13,vy5HZk8N,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vy5HZk8N
343,429,297,391,22,54,16,53,85.0,123.0,95.0,142.0,7.0,19.0,5.0,20.0,9,14,12,23,jFYZiXNi,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=jFYZiXNi
574,661,91,159,16,30,18,57,213.0,272.0,21.0,55.0,10.0,45.0,4.0,11.0,2,10,12,16,j1g1wY8b,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=j1g1wY8b
348,431,359,445,27,59,26,60,104.0,149.0,82.0,117.0,5.0,22.0,2.0,15.0,10,16,13,27,nTnAyCwB,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=nTnAyCwB
171,252,403,469,18,57,15,30,29.0,71.0,181.0,217.0,3.0,9.0,12.0,46.0,8,13,7,11,z7YrPsll,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=z7YrPsll
271,339,245,319,23,50,15,52,69.0,97.0,58.0,99.0,4.0,17.0,6.0,24.0,14,19,7,13,rXyiNLI0,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=rXyiNLI0
143,223,379,443,26,62,17,34,36.0,77.0,169.0,205.0,6.0,13.0,12.0,43.0,5,8,6,8,jZdCU3QQ,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jZdCU3QQ
225,298,304,389,20,50,24,51,42.0,70.0,75.0,121.0,4.0,9.0,6.0,29.0,5,9,5,10,UPHoq3uK,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=UPHoq3uK
348,422,316,384,19,52,24,58,68.0,103.0,96.0,137.0,6.0,13.0,6.0,14.0,9,16,11,14,r9g4WPeE,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=r9g4WPeE
408,489,229,305,16,42,28,56,118.0,164.0,53.0,78.0,10.0,26.0,3.0,10.0,11,15,7,13,GnmSODx8,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=GnmSODx8
324,408,293,385,17,56,34,74,63.0,95.0,68.0,115.0,5.0,16.0,5.0,16.0,10,14,9,14,xWUaLamD,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=xWUaLamD
421,512,189,282,18,50,19,64,121.0,156.0,40.0,85.0,9.0,17.0,4.0,13.0,8,15,10,19,GO4uYHFL,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=GO4uYHFL
541,604,232,289,15,31,18,45,224.0,267.0,30.0,53.0,2.0,12.0,6.0,11.0,8,11,7,17,UVOpCzg2,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=UVOpCzg2
172,247,357,436,20,56,11,33,50.0,90.0,61.0,100.0,8.0,18.0,3.0,20.0,15,22,14,20,n7eBSewq,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=n7eBSewq
267,343,399,459,25,59,19,37,73.0,104.0,171.0,203.0,5.0,29.0,4.0,21.0,11,17,5,11,EgF2ac9d,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=EgF2ac9d
324,415,264,349,18,50,30,73,79.0,117.0,67.0,112.0,8.0,24.0,3.0,8.0,6,13,3,9,Y3VyEdOk,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=Y3VyEdOk
276,360,317,393,16,51,24,57,67.0,100.0,52.0,86.0,7.0,27.0,3.0,15.0,9,14,4,9,fkhkN013,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=fkhkN013
333,437,253,354,22,67,20,66,72.0,110.0,48.0,82.0,12.0,25.0,5.0,15.0,5,15,8,10,xYq6JI0S,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=xYq6JI0S
433,512,254,324,9,27,16,51,116.0,161.0,52.0,85.0,6.0,23.0,2.0,7.0,14,19,13,21,f9GWZwo9,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=f9GWZwo9
185,275,314,389,25,62,21,43,42.0,85.0,96.0,127.0,5.0,19.0,4.0,29.0,6,16,4,8,t6jcLvWF,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=t6jcLvWF
326,412,278,347,26,60,23,49,117.0,169.0,73.0,97.0,9.0,30.0,2.0,9.0,13,19,10,16,nRJm5SuI,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=nRJm5SuI
285,347,320,387,23,44,12,35,85.0,123.0,58.0,77.0,9.0,34.0,3.0,11.0,7,10,10,15,8KWLjTQO,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=8KWLjTQO
490,558,265,343,15,43,19,55,62.0,91.0,83.0,123.0,4.0,10.0,4.0,22.0,2,5,4,11,6TBf1Jvp,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=6TBf1Jvp
404,479,309,370,18,39,32,58,100.0,143.0,75.0,105.0,14.0,29.0,6.0,15.0,8,9,3,9,no2WAWBt,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=no2WAWBt
345,425,266,345,28,63,15,42,87.0,131.0,67.0,100.0,5.0,22.0,4.0,15.0,6,11,12,15,vFeELmQb,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vFeELmQb
367,436,237,313,27,55,6,35,141.0,176.0,59.0,96.0,3.0,21.0,7.0,24.0,7,10,8,18,8t8d36AU,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=8t8d36AU
262,341,240,341,15,47,26,59,80.0,128.0,59.0,105.0,7.0,29.0,3.0,15.0,7,10,8,13,b5m6N9en,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=b5m6N9en
296,385,151,235,30,72,24,65,99.0,142.0,28.0,64.0,6.0,25.0,3.0,16.0,10,12,10,14,v1Gu7lB5,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=v1Gu7lB5
241,327,324,412,14,52,14,47,98.0,141.0,64.0,102.0,12.0,24.0,4.0,22.0,14,18,7,11,CSgMJRfB,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=CSgMJRfB
351,434,222,320,16,49,18,71,95.0,139.0,50.0,98.0,9.0,34.0,1.0,7.0,8,15,9,14,vuu5fBRa,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vuu5fBRa
476,541,262,319,14,36,22,52,117.0,142.0,62.0,91.0,5.0,26.0,7.0,25.0,9,15,9,11,YsxcdXdm,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=YsxcdXdm
284,370,273,357,14,50,35,65,67.0,108.0,91.0,141.0,5.0,19.0,8.0,16.0,7,10,10,18,hA1OsYsf,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=hA1OsYsf
282,372,269,355,14,49,27,61,80.0,138.0,48.0,84.0,5.0,13.0,6.0,19.0,6,16,10,17,EceQ1gZP,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/cracovia-KvXSf2A6/szczegoly/statystyki/?mid=EceQ1gZP
294,362,422,506,24,47,27,64,88.0,124.0,88.0,120.0,7.0,24.0,3.0,13.0,12,18,13,20,WfDFqfDs,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=WfDFqfDs
155,247,325,413,25,64,28,61,58.0,104.0,73.0,108.0,5.0,13.0,8.0,26.0,7,17,4,9,QyFVuCC6,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=QyFVuCC6
309,394,225,322,23,55,27,65,83.0,130.0,72.0,125.0,10.0,36.0,3.0,16.0,5,15,8,16,0fTDhkdC,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=0fTDhkdC
188,262,413,512,18,46,24,65,72.0,110.0,84.0,114.0,8.0,24.0,0.0,5.0,5,12,8,13,M38vvjsJ,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=M38vvjsJ
171,231,409,476,32,67,26,46,34.0,62.0,139.0,177.0,3.0,16.0,7.0,52.0,7,11,5,7,0CMqkGkK,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=0CMqkGkK
226,315,210,297,22,52,29,59,56.0,96.0,67.0,119.0,5.0,13.0,7.0,30.0,3,9,14,17,CWqYzQU9,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=CWqYzQU9
296,367,265,342,19,37,14,40,96.0,134.0,54.0,94.0,5.0,21.0,4.0,19.0,11,21,4,9,4UOCTsNq,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=4UOCTsNq
362,452,234,316,18,51,16,48,101.0,142.0,106.0,148.0,3.0,14.0,4.0,20.0,11,15,8,16,ChL8m3EF,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=ChL8m3EF
310,359,359,420,26,45,10,30,86.0,104.0,92.0,121.0,9.0,26.0,9.0,40.0,9,11,13,18,jwXakPq3,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=jwXakPq3
185,289,362,465,21,64,31,61,28.0,78.0,107.0,159.0,1.0,8.0,10.0,28.0,5,11,5,11,8bwsZ3aM,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=8bwsZ3aM
406,472,430,486,25,45,24,44,85.0,123.0,101.0,124.0,2.0,15.0,9.0,17.0,13,20,7,12,p4vcRCcD,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=p4vcRCcD
404,479,338,413,29,64,14,43,85.0,119.0,58.0,91.0,7.0,13.0,4.0,16.0,7,16,6,22,OWvERLid,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gornik-zabrze-2LH3Ywq4/szczegoly/statystyki/?mid=OWvERLid
203,305,386,468,18,65,10,42,31.0,90.0,145.0,185.0,4.0,8.0,6.0,29.0,4,7,6,6,CjtkTYS0,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=CjtkTYS0
478,543,242,312,24,41,25,71,172.0,203.0,65.0,101.0,12.0,42.0,5.0,17.0,7,15,6,9,IimtVfbl,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=IimtVfbl
341,413,295,379,14,36,20,59,104.0,139.0,47.0,79.0,8.0,29.0,2.0,7.0,7,15,14,21,h8lQ7R0N,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=h8lQ7R0N
259,374,340,443,25,59,34,80,51.0,100.0,75.0,119.0,1.0,15.0,1.0,12.0,18,24,20,32,46tQxn0c,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=46tQxn0c
499,560,203,271,26,38,24,42,113.0,150.0,41.0,69.0,9.0,24.0,4.0,10.0,5,12,8,13,8pb8K4pT,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=8pb8K4pT
317,410,276,355,19,54,13,46,67.0,100.0,50.0,78.0,9.0,20.0,4.0,13.0,7,16,6,15,v56iOno4,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=v56iOno4
586,662,158,239,13,20,21,60,333.0,386.0,24.0,56.0,6.0,53.0,3.0,11.0,7,9,13,20,proI9mWA,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=proI9mWA
213,309,356,460,25,67,25,49,65.0,110.0,95.0,146.0,5.0,21.0,8.0,23.0,10,18,3,5,xtQd25Op,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=xtQd25Op
200,280,335,416,14,59,18,41,47.0,79.0,81.0,111.0,3.0,14.0,6.0,22.0,7,13,8,13,CI4aMQFG,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gks-katowice-K4AgRmS1/szczegoly/statystyki/?mid=CI4aMQFG
188,285,234,330,13,48,19,55,34.0,73.0,91.0,145.0,2.0,12.0,7.0,22.0,13,22,14,24,rwDrQ8Gi,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=rwDrQ8Gi
279,367,365,455,25,66,25,57,103.0,151.0,87.0,124.0,5.0,17.0,3.0,15.0,6,12,10,16,OA3wFr8j,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=OA3wFr8j
368,452,352,424,13,44,30,57,100.0,135.0,76.0,112.0,8.0,19.0,6.0,19.0,14,19,4,8,f5tnDh2M,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=f5tnDh2M
