sezon,match_id,kolejka,gospodarz,gosc,wynik_1x2,p_home_raw,p_draw_raw,p_away_raw,lambda_home,lambda_away,use_hybrid,ll,ll_baseline
2025/26,2345,1,Lech Poznań,Cracovia,A,0.48149528225516386,0.25975236032960664,0.2587523574152297,1.4964490982255731,1.0229703064648699,1,1.446983994418068,1.4976570108905811
2025/26,2346,1,Widzew Łódź,Zagłębie Lubin,H,0.4129471392911935,0.27194524547302634,0.3151076152357801,1.3235734558819894,1.119944833522753,1,0.8229863599887177,0.7843903761233857
2025/26,2348,1,GKS Katowice,Raków Częstochowa,A,0.28523432626381107,0.2755929231580732,0.43917275057811556,1.0175649844675487,1.3335273234859637,1,0.8354264770731061,0.8790410698251472
2025/26,2349,1,Górnik Zabrze,Lechia Gdańsk,H,0.5028891791703616,0.24254498419044712,0.2545658366391913,1.6708650149000301,1.117479490113119,1,0.6168765513476893,0.62145682656389
2025/26,2351,1,Legia Warszawa,Piast Gliwice,A,0.4918364134602495,0.25352696888314724,0.25463661765660334,1.5579257662291863,1.0457084121802944,1,1.4663900621519304,1.5052106008494386
2025/26,2352,1,Radomiak Radom,Pogoń Szczecin,H,0.3232662689277721,0.25539044131733,0.4213432897548979,1.2529627823063962,1.46686286137538,1,1.0860831509197575,1.199892521215725
2025/26,2353,2,Arka Gdynia,Radomiak Radom,D,0.1277748716846715,0.2555436931430806,0.6166814351722478,0.5302574190014314,1.5184767203566405,1,1.389399055026197,1.3177184352819231
2025/26,2354,2,Lechia Gdańsk,Lech Poznań,A,0.29297960275339413,0.24752185968224824,0.45949853756435766,1.2193621162694126,1.5890581706787463,1,0.7856865372663665,0.7201092066734721
2025/26,2355,2,Pogoń Szczecin,Motor Lublin,H,0.554623498504777,0.22165088236480895,0.22372561913041406,1.9168081288331495,1.1402833639301282,1,0.5171291445379763,0.546314315864774
2025/26,2356,2,Korona Kielce,Legia Warszawa,A,0.3121900223040695,0.2621876227710369,0.42562235492489364,1.1739146067098167,1.4162058315357495,1,0.871900816931985,0.8451551270348552
2025/26,2357,2,Cracovia,Bruk-Bet Termalica Nieciecza,H,0.08195362526996101,0.14324695994902764,0.7747994147810111,0.7358890644051681,2.6102821492193984,1,2.6329090516344786,2.7685343998809784
2025/26,2358,2,GKS Katowice,Zagłębie Lubin,D,0.4481769689769669,0.2551407123844348,0.2966823186385982,1.505274525416751,1.1760734019586934,1,1.4043078498402772,1.3968220027913045
2025/26,2359,2,Raków Częstochowa,Wisła Płock,A,0.030157752058461305,0.19592075336556763,0.773921494575971,0.16135151881380078,1.7305609597043408,1,0.2293091979554023,0.25199874538345746
2025/26,2360,2,Jagiellonia Białystok,Widzew Łódź,H,0.5698469378759011,0.23125095204208337,0.1989021100820157,1.7867745008679683,0.9532076164456988,1,0.49092087084740327,0.46541357226950797
2025/26,2361,2,Piast Gliwice,Górnik Zabrze,A,0.43527802040316543,0.28443396186934855,0.2802880177274861,1.2703021785266249,0.9592845351818873,1,1.3514989767147765,1.1486828566972958
