match_id,kolejka,data_meczu,gospodarz,gosc,gospodarz_kod,gosc_kod,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,xgot_gosp,xgot_gosc,xa_gosp,xa_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,dlugie_podania_celne_gosp,dlugie_podania_gosp,dlugie_podania_celne_gosc,dlugie_podania_gosc,podania_w_strefe_obrony_przeciwnika_celne_gosp,podania_w_strefe_obrony_przeciwnika_gosp,podania_w_strefe_obrony_przeciwnika_celne_gosc,podania_w_strefe_obrony_przeciwnika_gosc,odbiory_skuteczne_fs_gosp,proby_odbioru_fs_gosp,odbiory_skuteczne_fs_gosc,proby_odbioru_fs_gosc,flash_id,flash_url
2354,2,2025-07-26,Lechia Gdańsk,Lech Poznań,LGD,LPO,3,4,39.9,60.1,16.0,21.0,7.0,11.0,6.0,5.0,3.0,5.0,9.0,10.0,13.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,21.0,20.0,6.0,7.0,14.0,8.0,278.0,433.0,211.0,363.0,1.39,2.59,2.24,2.35,1.43,1.38,3.0,4.0,12.0,16.0,4.0,5.0,22.0,32.0,11.0,13.0,46.0,46.0,28.0,31.0,7.0,2.0,0.0,1.0,0.0,0.0,7.0,4.0,2.35,2.24,-1.65,-0.76,22.0,48.0,36.0,59.0,65.0,96.0,92.0,120.0,14.0,18.0,8.0,14.0,OUo23BsI,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=OUo23BsI
2355,2,2025-07-26,Pogoń Szczecin,Motor Lublin,POG,MOT,4,1,42.0,58.0,19.0,20.0,5.0,8.0,5.0,4.0,9.0,8.0,6.0,8.0,11.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,31.0,5.0,6.0,5.0,9.0,298.0,409.0,231.0,348.0,2.65,1.76,3.24,1.81,1.72,0.87,3.0,2.0,11.0,17.0,8.0,3.0,30.0,34.0,8.0,11.0,35.0,50.0,31.0,21.0,7.0,8.0,0.0,0.0,1.0,0.0,7.0,1.0,1.81,3.24,0.81,-0.76,23.0,48.0,19.0,32.0,77.0,116.0,75.0,110.0,5.0,8.0,9.0,20.0,ITvB1kCU,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=ITvB1kCU
2356,2,2025-07-27,Korona Kielce,Legia Warszawa,KOR,LEG,0,2,52.0,48.0,18.0,17.0,2.0,5.0,9.0,3.0,7.0,9.0,13.0,7.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,18.0,8.0,4.0,11.0,14.0,388.0,374.0,312.0,300.0,1.19,1.46,0.49,1.44,1.09,0.95,1.0,2.0,10.0,11.0,8.0,6.0,25.0,23.0,15.0,8.0,56.0,48.0,25.0,46.0,12.0,8.0,2.0,0.0,0.0,0.0,3.0,2.0,1.44,0.49,-0.56,0.49,18.0,41.0,22.0,55.0,71.0,114.0,71.0,99.0,10.0,13.0,14.0,17.0,YuFKLhcn,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=YuFKLhcn
2357,2,2025-07-25,Cracovia,Bruk-Bet Termalica Nieciecza,CRA,BBT,2,0,46.3,53.7,14.0,7.0,3.0,4.0,3.0,1.0,8.0,2.0,5.0,6.0,16.0,16.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,19.0,5.0,3.0,14.0,11.0,314.0,363.0,234.0,272.0,1.74,0.59,1.72,1.34,0.92,0.76,2.0,1.0,8.0,5.0,6.0,2.0,20.0,18.0,16.0,16.0,59.0,67.0,37.0,16.0,11.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,1.34,1.72,1.34,-0.28,24.0,53.0,21.0,51.0,51.0,79.0,74.0,124.0,14.0,20.0,11.0,23.0,U78TJWRb,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=U78TJWRb
2358,2,2025-07-28,GKS Katowice,Zagłębie Lubin,GKS,ZAG,2,2,55.8,44.2,18.0,20.0,8.0,3.0,6.0,11.0,4.0,6.0,14.0,8.0,9.0,16.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,22.0,7.0,4.0,6.0,4.0,311.0,248.0,229.0,177.0,1.24,2.29,1.32,1.75,1.02,1.06,1.0,3.0,13.0,15.0,5.0,5.0,38.0,33.0,16.0,9.0,55.0,38.0,43.0,46.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,1.75,1.32,-0.25,-0.68,20.0,53.0,18.0,41.0,62.0,96.0,76.0,115.0,6.0,13.0,4.0,7.0,xYByIAdB,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=xYByIAdB
2359,2,2025-07-27,,,,,1,2,60.7,39.3,11.0,11.0,3.0,5.0,4.0,1.0,4.0,5.0,6.0,3.0,17.0,21.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,11.0,9.0,2.0,8.0,11.0,480.0,320.0,410.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,2,2025-07-27,Jagiellonia Białystok,Widzew Łódź,JAG,WID,3,2,58.7,41.3,12.0,18.0,5.0,7.0,5.0,3.0,2.0,8.0,4.0,2.0,12.0,18.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,18.0,8.0,2.0,3.0,8.0,8.0,442.0,314.0,364.0,244.0,1.63,1.18,1.89,1.16,2.2,0.89,3.0,2.0,8.0,11.0,4.0,7.0,25.0,22.0,18.0,12.0,56.0,48.0,16.0,30.0,5.0,14.0,1.0,0.0,1.0,1.0,5.0,2.0,1.16,1.89,-0.84,-1.11,16.0,47.0,23.0,47.0,78.0,110.0,49.0,81.0,8.0,17.0,8.0,11.0,8MoGASlo,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=8MoGASlo
2361,2,2025-07-26,,,,,0,1,61.8,38.2,10.0,8.0,0.0,4.0,3.0,2.0,7.0,2.0,6.0,2.0,13.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,14.0,1.0,1.0,7.0,6.0,514.0,315.0,452.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,3,2025-08-01,,,,,2,0,30.2,69.8,9.0,6.0,3.0,1.0,5.0,2.0,1.0,3.0,8.0,6.0,10.0,11.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,17.0,23.0,4.0,4.0,7.0,3.0,250.0,600.0,193.0,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,3,2025-08-02,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,BBT,POG,1,1,42.0,58.0,16.0,12.0,7.0,2.0,5.0,5.0,4.0,5.0,6.0,9.0,8.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,27.0,3.0,2.0,4.0,8.0,339.0,453.0,254.0,383.0,1.95,1.05,1.52,0.91,1.31,0.96,4.0,3.0,9.0,8.0,7.0,4.0,23.0,20.0,14.0,8.0,53.0,33.0,34.0,19.0,5.0,9.0,0.0,3.0,0.0,0.0,1.0,6.0,0.91,1.52,-0.09,0.52,25.0,56.0,15.0,40.0,50.0,94.0,65.0,88.0,4.0,9.0,8.0,10.0,hALJUmtH,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=hALJUmtH
2364,3,2025-08-03,Legia Warszawa,Arka Gdynia,LEG,ARK,0,0,62.9,37.1,20.0,6.0,3.0,0.0,10.0,3.0,7.0,3.0,13.0,4.0,19.0,13.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,37.0,19.0,11.0,6.0,7.0,8.0,473.0,284.0,388.0,213.0,1.85,0.66,0.92,0.0,1.9,0.73,4.0,2.0,15.0,5.0,5.0,1.0,44.0,10.0,13.0,19.0,51.0,48.0,24.0,49.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.92,0.0,0.92,34.0,48.0,22.0,54.0,138.0,182.0,40.0,66.0,7.0,9.0,8.0,15.0,pIwRSRAT,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=pIwRSRAT
2365,3,2025-08-03,Motor Lublin,Jagiellonia Białystok,MOT,JAG,1,1,49.8,50.2,15.0,21.0,1.0,7.0,5.0,5.0,9.0,9.0,5.0,7.0,14.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,19.0,9.0,8.0,15.0,7.0,372.0,386.0,290.0,315.0,2.0,1.7,0.72,2.89,1.19,1.64,4.0,3.0,15.0,12.0,1.0,9.0,32.0,36.0,8.0,14.0,55.0,50.0,25.0,17.0,8.0,8.0,0.0,1.0,1.0,0.0,6.0,0.0,2.89,0.72,1.89,-0.28,17.0,42.0,17.0,41.0,75.0,105.0,133.0,173.0,18.0,29.0,8.0,18.0,UkFcN5Yj,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=UkFcN5Yj
2366,3,2025-08-01,Zagłębie Lubin,Korona Kielce,ZAG,KOR,1,1,45.6,54.4,8.0,17.0,2.0,5.0,0.0,8.0,6.0,4.0,7.0,8.0,15.0,19.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,27.0,7.0,7.0,11.0,10.0,309.0,372.0,222.0,285.0,0.49,1.58,0.99,1.24,0.85,1.55,0.0,1.0,7.0,15.0,1.0,2.0,22.0,40.0,19.0,15.0,68.0,56.0,43.0,30.0,6.0,13.0,0.0,0.0,1.0,0.0,4.0,2.0,1.24,0.99,0.24,-0.01,15.0,47.0,32.0,73.0,44.0,83.0,85.0,134.0,11.0,22.0,10.0,13.0,dd7qo9Qc,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=dd7qo9Qc
2367,3,2025-08-03,Radomiak Radom,Raków Częstochowa,RAD,RCZ,3,1,35.6,64.4,12.0,11.0,6.0,5.0,2.0,4.0,4.0,2.0,1.0,7.0,20.0,14.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,37.0,3.0,8.0,6.0,11.0,243.0,414.0,178.0,338.0,2.39,0.84,3.78,0.64,1.01,0.89,4.0,3.0,11.0,7.0,1.0,4.0,25.0,40.0,14.0,20.0,62.0,57.0,53.0,17.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.64,3.78,-0.36,0.78,15.0,44.0,22.0,45.0,50.0,74.0,109.0,158.0,6.0,15.0,11.0,15.0,hO0hqmeA,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=hO0hqmeA
2368,3,2025-08-03,Cracovia,Lechia Gdańsk,CRA,LGD,2,2,56.1,43.9,20.0,12.0,6.0,2.0,7.0,4.0,7.0,6.0,5.0,4.0,13.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,18.0,9.0,6.0,15.0,6.0,424.0,335.0,336.0,249.0,2.99,0.58,3.36,0.8,1.59,0.62,6.0,1.0,16.0,8.0,4.0,4.0,32.0,26.0,13.0,13.0,63.0,41.0,29.0,30.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,4.0,0.8,3.36,-1.2,1.36,29.0,61.0,20.0,58.0,91.0,130.0,60.0,104.0,15.0,19.0,6.0,12.0,Qya0sRPM,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=Qya0sRPM
2369,3,2025-08-02,,,,,2,1,55.5,44.5,12.0,12.0,5.0,1.0,2.0,6.0,5.0,5.0,6.0,8.0,9.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,21.0,2.0,2.0,7.0,8.0,525.0,414.0,446.0,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,3,2025-08-02,Widzew Łódź,GKS Katowice,WID,GKS,3,0,43.1,56.9,21.0,8.0,4.0,3.0,8.0,3.0,9.0,2.0,8.0,6.0,6.0,7.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,24.0,5.0,2.0,12.0,7.0,274.0,364.0,206.0,297.0,1.72,1.09,1.38,0.65,0.86,0.35,3.0,1.0,11.0,4.0,10.0,4.0,33.0,13.0,7.0,6.0,48.0,35.0,37.0,24.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.65,1.38,0.65,-0.62,20.0,53.0,26.0,53.0,43.0,71.0,66.0,100.0,12.0,21.0,7.0,13.0,GM5XZrId,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=GM5XZrId
2371,4,2025-08-09,Arka Gdynia,Pogoń Szczecin,ARK,POG,2,1,43.9,56.1,11.0,13.0,5.0,3.0,3.0,6.0,3.0,4.0,6.0,5.0,13.0,14.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,23.0,23.0,3.0,7.0,8.0,10.0,315.0,398.0,254.0,324.0,0.48,2.01,1.87,1.23,0.35,1.58,0.0,3.0,5.0,12.0,6.0,1.0,11.0,24.0,14.0,13.0,38.0,47.0,18.0,32.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.23,1.87,0.23,-0.13,13.0,43.0,27.0,49.0,49.0,82.0,60.0,82.0,8.0,15.0,10.0,13.0,hltUZQX2,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=hltUZQX2
2372,4,2025-08-10,Legia Warszawa,GKS Katowice,LEG,GKS,3,1,58.3,41.7,20.0,7.0,7.0,6.0,5.0,0.0,8.0,1.0,5.0,7.0,11.0,13.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,18.0,7.0,4.0,5.0,9.0,473.0,336.0,371.0,237.0,1.57,0.52,1.89,0.79,1.46,0.48,3.0,2.0,14.0,5.0,6.0,2.0,40.0,19.0,13.0,11.0,51.0,56.0,37.0,41.0,12.0,16.0,1.0,0.0,0.0,0.0,5.0,4.0,0.79,1.89,-0.21,-1.11,22.0,60.0,24.0,66.0,128.0,181.0,44.0,89.0,6.0,8.0,10.0,21.0,0EqxY42F,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=0EqxY42F
2373,4,2025-08-11,Lechia Gdańsk,Motor Lublin,LGD,MOT,3,3,52.5,47.5,18.0,14.0,9.0,4.0,3.0,3.0,6.0,7.0,3.0,8.0,11.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,21.0,8.0,7.0,12.0,7.0,339.0,299.0,247.0,230.0,2.66,0.64,3.04,2.06,1.01,0.5,6.0,1.0,15.0,8.0,3.0,6.0,36.0,24.0,12.0,11.0,62.0,52.0,38.0,37.0,8.0,7.0,0.0,4.0,1.0,1.0,1.0,5.0,2.06,3.04,-0.94,0.04,20.0,45.0,16.0,43.0,115.0,165.0,69.0,106.0,11.0,21.0,6.0,11.0,hn1AFdnl,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=hn1AFdnl
2374,4,2025-08-08,,,,,0,1,61.9,38.1,25.0,7.0,5.0,2.0,8.0,2.0,12.0,3.0,7.0,2.0,12.0,15.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,29.0,2.0,10.0,0.0,11.0,13.0,569.0,364.0,487.0,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,4,2025-08-08,Korona Kielce,Radomiak Radom,KOR,RAD,3,0,42.8,57.2,13.0,7.0,3.0,3.0,3.0,0.0,7.0,4.0,2.0,5.0,15.0,16.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,17.0,15.0,4.0,4.0,10.0,9.0,315.0,428.0,248.0,355.0,2.21,0.63,2.08,0.76,1.0,1.31,3.0,0.0,11.0,3.0,2.0,4.0,27.0,20.0,16.0,15.0,61.0,59.0,31.0,29.0,9.0,8.0,0.0,1.0,0.0,0.0,3.0,0.0,0.76,2.08,0.76,-0.92,18.0,58.0,27.0,53.0,55.0,88.0,60.0,105.0,10.0,15.0,9.0,19.0,MRhRBEoD,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=MRhRBEoD
