player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
alassane-sidibe,Alassane SidibeArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,28,24,0,0,0,0,0,0,5,0,1077,11,175,352,221,415,11,73,13,0,1,3,1,24,0.6,0.4,0,4
aurelien-thomas-nguiamba,Aurélien Thomas NguiambaArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,1,6,12,29,0,0,0,0,0,0,4,0,1658,15,339,683,395,770,15,84,33,0,0,5,1,43,0.4,0.3,0,0
damian-weglarz,Damian WęglarzArka Gdynia,arka-gdynia,45,6,152,27,2430,8,482,806,4,2,72,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2430,0,114,482,386,806,0,18,0,0,0,0,0,25,0.1,0,0,0
dawid-abramowicz,Dawid AbramowiczArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,1,3,38,2,3,22,2,14,11,0,1,0,1,2,0,6,13,895,4,121,237,184,307,4,37,5,0,2,8,1,54,0.6,0.7,1.1,1
dawid-gojny,Dawid GojnyArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,1,2,33,2,9,33,9,28,15,0,1,0,1,2,0,9,17,1671,21,266,561,390,707,21,99,17,3,1,6,2,66,1.6,1,0.8,1
dawid-kocya,Dawid KocyłaArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,9,39,5,3,23,90,60,28,3,3,0,3,3,0,11,13,1968,31,195,288,301,403,31,157,21,4,3,23,1,37,1,3.6,2.9,13
diego-pertejo-canseco,Diego PercanArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,1,1,50,2,0,0,3,6,5,0,0,0,0,1,0,1,0,280,1,17,28,29,43,1,16,1,0,0,2,0,8,0.1,0.8,0.4,0
dominick-lukasz-zator,Dominick Lukasz ZatorArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,4,23,7,11,8,0,0,0,0,0,0,8,0,1267,16,183,358,273,468,16,70,13,0,0,4,1,63,0.5,0.8,0.7,1
eduardo-david-espiau-hernandez,Eduardo David Espiau HernándezArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,14,58,6,0,1,22,27,18,6,6,0,6,6,0,7,25,1592,8,109,181,191,277,8,99,1,0,8,24,0,21,0.7,3.5,4.7,8
hide-kengei-vitalucci,Hide Kengei VitalucciArka Gdynia,arka-gdynia,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,4,1,5,0,0,0,0,0,0,1,0,237,0,36,59,51,76,0,8,2,2,0,1,0,2,0.1,0.2,0,4
