player_slug,seasons,clubs,club_count,season_count,first_season,last_season,sample_name,season_club_path
kajetan-szmyt,2023/24 | 2024/25 | 2025/26,warta-poznan | zagebie-lubin,2,3,2023/24,2025/26,Kajetan SzmytWarta Poznań,2023/24:warta-poznan || 2024/25:zagebie-lubin || 2025/26:zagebie-lubin
kamil-kruk,2023/24 | 2024/25,motor-lublin | zagebie-lubin,2,2,2023/24,2024/25,Kamil KrukKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:motor-lublin
kamil-pestka,2023/24 | 2024/25,radomiak-radom | rakow-czestochowa,2,2,2023/24,2024/25,Kamil PestkaRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:radomiak-radom
kamil-zapolnik,2023/24 | 2025/26,nieciecza | puszcza-niepolomice,2,2,2023/24,2025/26,Kamil ZapolnikPuszcza Niepołomice,2023/24:puszcza-niepolomice || 2025/26:nieciecza
karol-knap,2023/24 | 2024/25 | 2025/26,cracovia | stal-mielec,2,3,2023/24,2025/26,Karol KnapCracovia,2023/24:cracovia || 2024/25:stal-mielec || 2025/26:cracovia
konrad-matuszewski,2023/24 | 2024/25 | 2025/26,korona-kielce | warta-poznan,2,3,2023/24,2025/26,Konrad MatuszewskiWarta Poznań,2023/24:warta-poznan || 2024/25:korona-kielce || 2025/26:korona-kielce
krystian-okoniewski,2023/24 | 2024/25,puszcza-niepolomice | radomiak-radom,2,2,2023/24,2024/25,Krystian OkoniewskiRadomiak Radom,2023/24:radomiak-radom || 2024/25:puszcza-niepolomice
krzysztof-kaminski,2023/24 | 2025/26,pogon-szczecin | ruch-chorzow,2,2,2023/24,2025/26,Krzysztof KamińskiRuch Chorzów,2023/24:ruch-chorzow || 2025/26:pogon-szczecin
krzysztof-kubica,2024/25 | 2025/26,motor-lublin | nieciecza,2,2,2024/25,2025/26,Krzysztof KubicaMotor Lublin,2024/25:motor-lublin || 2025/26:nieciecza
leonardo-miramar-rocha,2023/24 | 2024/25 | 2025/26,radomiak-radom | zagebie-lubin,2,3,2023/24,2025/26,Leonardo RochaRadomiak Radom,2023/24:radomiak-radom || 2024/25:radomiak-radom || 2025/26:zagebie-lubin
lucas-lima-linhares,2024/25 | 2025/26,legia-warszawa | radomiak-radom,2,2,2024/25,2025/26,LuquinhasLegia Warszawa,2024/25:legia-warszawa || 2025/26:radomiak-radom
luka-zahovic,2023/24 | 2024/25 | 2025/26,gornik-zabrze | pogon-szczecin,2,3,2023/24,2025/26,Luka ZahovićPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:gornik-zabrze || 2025/26:gornik-zabrze
maciej-kikolski,2024/25 | 2025/26,radomiak-radom | widzew-lodz,2,2,2024/25,2025/26,Maciej KikolskiRadomiak Radom,2024/25:radomiak-radom || 2025/26:widzew-lodz
maciej-rosoek,2023/24 | 2024/25 | 2025/26,gks-katowice | legia-warszawa,2,3,2023/24,2025/26,Maciej RosołekLegia Warszawa,2023/24:legia-warszawa || 2024/25:legia-warszawa || 2025/26:gks-katowice
maksym-khlan,2024/25 | 2025/26,gornik-zabrze | lechia-gdansk,2,2,2024/25,2025/26,Maksym KhlanLechia Gdańsk,2024/25:lechia-gdansk || 2025/26:gornik-zabrze
marcel-pieczek,2023/24 | 2024/25 | 2025/26,korona-kielce | puszcza-niepolomice,2,3,2023/24,2025/26,Marcel PięczekPuszcza Niepołomice,2023/24:puszcza-niepolomice || 2024/25:korona-kielce || 2025/26:korona-kielce
marcel-wedrychowski,2023/24 | 2024/25 | 2025/26,gks-katowice | pogon-szczecin,2,3,2023/24,2025/26,Marcel WędrychowskiPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:pogon-szczecin || 2025/26:gks-katowice
