match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
1697,2023/24,0.4,2,2023-07-29,Śląsk Wrocław,Zagłębie Lubin,1,2,54.5,45.5,21.0,7.0,6.0,5.0,7.0,1.0,8.0,1.0,6.0,6.0,11.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,16.0,7.0,1.0,6.0,5.0,421.0,361.0,355.0,295.0,,,,
1698,2023/24,0.4,2,2023-07-30,Pogoń Szczecin,Widzew Łódź,2,1,57.4,42.6,25.0,10.0,9.0,2.0,11.0,4.0,5.0,4.0,16.0,7.0,10.0,10.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,15.0,7.0,0.0,2.0,6.0,457.0,351.0,389.0,275.0,,,,
1699,2023/24,0.4,2,2023-07-30,Lech Poznań,Radomiak Radom,2,0,47.6,52.4,15.0,13.0,7.0,3.0,3.0,0.0,5.0,10.0,3.0,3.0,19.0,12.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,24.0,5.0,6.0,13.0,13.0,408.0,443.0,318.0,353.0,,,,
1700,2023/24,0.4,2,2023-12-20,Cracovia,Legia Warszawa,2,0,34.6,65.4,13.0,17.0,2.0,1.0,8.0,8.0,3.0,8.0,4.0,6.0,19.0,13.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,23.0,3.0,7.0,12.0,4.0,247.0,460.0,157.0,371.0,,,,
1701,2023/24,0.4,2,2023-07-30,Stal Mielec,Piast Gliwice,0,0,43.0,57.0,8.0,24.0,2.0,3.0,1.0,8.0,5.0,13.0,1.0,10.0,18.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,2.0,14.0,4.0,7.0,361.0,465.0,269.0,382.0,,,,
1702,2023/24,0.4,3,2023-08-04,Jagiellonia Białystok,Widzew Łódź,2,1,55.4,44.6,15.0,9.0,2.0,3.0,8.0,4.0,5.0,2.0,3.0,4.0,11.0,14.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,18.0,2.0,1.0,17.0,10.0,489.0,384.0,407.0,301.0,,,,
1703,2023/24,0.4,3,2023-08-04,ŁKS Łódź,Korona Kielce,2,1,42.5,57.5,7.0,20.0,3.0,4.0,1.0,7.0,3.0,9.0,2.0,5.0,24.0,19.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,35.0,3.0,7.0,9.0,15.0,355.0,465.0,277.0,377.0,,,,
1704,2023/24,0.4,3,2023-08-05,Raków Częstochowa,Warta Poznań,2,2,73.2,26.8,15.0,13.0,7.0,5.0,5.0,2.0,3.0,6.0,8.0,5.0,10.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,11.0,11.0,4.0,6.0,13.0,539.0,202.0,455.0,103.0,,,,
1705,2023/24,0.4,3,2023-08-05,Górnik Zabrze,Piast Gliwice,0,0,52.9,47.1,7.0,9.0,2.0,0.0,1.0,4.0,4.0,5.0,6.0,4.0,17.0,25.0,2.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,19.0,15.0,3.0,5.0,8.0,14.0,404.0,360.0,305.0,261.0,,,,
1706,2023/24,0.4,3,2023-08-05,Radomiak Radom,Cracovia,0,1,66.3,33.7,28.0,10.0,4.0,4.0,7.0,3.0,17.0,3.0,6.0,0.0,8.0,13.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,8.0,17.0,1.0,6.0,11.0,522.0,282.0,425.0,184.0,,,,
1707,2023/24,0.4,3,2023-08-30,Pogoń Szczecin,Śląsk Wrocław,0,2,65.9,34.1,15.0,6.0,2.0,3.0,6.0,2.0,7.0,1.0,4.0,1.0,9.0,10.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,20.0,9.0,8.0,1.0,9.0,7.0,516.0,268.0,427.0,183.0,,,,
1708,2023/24,0.4,3,2023-08-06,Zagłębie Lubin,Lech Poznań,1,1,47.4,52.6,18.0,11.0,7.0,3.0,5.0,2.0,6.0,6.0,6.0,8.0,12.0,11.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,21.0,19.0,6.0,4.0,6.0,3.0,434.0,483.0,361.0,404.0,,,,
1709,2023/24,0.4,3,2023-08-06,Legia Warszawa,Ruch Chorzów,3,0,72.8,27.2,24.0,8.0,6.0,1.0,8.0,3.0,10.0,4.0,6.0,4.0,11.0,11.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,19.0,11.0,4.0,2.0,3.0,7.0,626.0,227.0,570.0,163.0,,,,
1710,2023/24,0.4,3,2023-08-07,Puszcza Niepołomice,Stal Mielec,1,0,31.1,68.9,5.0,9.0,2.0,2.0,0.0,1.0,3.0,6.0,2.0,7.0,24.0,14.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,17.0,2.0,4.0,14.0,4.0,240.0,533.0,156.0,450.0,,,,
1711,2023/24,0.4,4,2023-08-11,Cracovia,Zagłębie Lubin,2,1,37.6,62.4,14.0,15.0,8.0,4.0,4.0,3.0,2.0,8.0,8.0,8.0,16.0,10.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,15.0,8.0,2.0,13.0,8.0,324.0,552.0,234.0,468.0,,,,
1712,2023/24,0.4,4,2023-08-12,Korona Kielce,Górnik Zabrze,0,1,54.2,45.8,21.0,13.0,4.0,3.0,5.0,3.0,12.0,7.0,6.0,3.0,9.0,11.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,33.0,12.0,8.0,5.0,16.0,11.0,412.0,356.0,322.0,268.0,,,,
1713,2023/24,0.4,4,2023-10-24,Lech Poznań,Jagiellonia Białystok,3,3,42.0,58.0,9.0,15.0,4.0,6.0,3.0,5.0,2.0,4.0,3.0,1.0,20.0,13.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,14.0,4.0,2.0,16.0,13.0,335.0,464.0,256.0,389.0,,,,
1714,2023/24,0.4,4,2023-08-11,Piast Gliwice,Raków Częstochowa,2,1,47.4,52.6,18.0,8.0,5.0,2.0,6.0,3.0,7.0,3.0,8.0,2.0,19.0,11.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,22.0,11.0,5.0,2.0,9.0,10.0,402.0,454.0,302.0,355.0,,,,
1715,2023/24,0.4,4,2023-08-13,Pogoń Szczecin,Radomiak Radom,0,2,63.0,37.0,14.0,13.0,3.0,3.0,5.0,3.0,6.0,7.0,8.0,5.0,14.0,17.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,16.0,5.0,4.0,4.0,16.0,510.0,297.0,400.0,208.0,,,,
1716,2023/24,0.4,4,2023-08-13,Puszcza Niepołomice,Legia Warszawa,1,1,24.6,75.4,9.0,16.0,1.0,5.0,3.0,6.0,5.0,5.0,4.0,8.0,24.0,12.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,31.0,1.0,8.0,9.0,7.0,183.0,552.0,95.0,487.0,,,,
1717,2023/24,0.4,4,2023-08-12,Stal Mielec,Śląsk Wrocław,3,1,54.3,45.7,11.0,15.0,7.0,4.0,2.0,5.0,2.0,6.0,5.0,1.0,8.0,12.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,11.0,4.0,3.0,9.0,11.0,465.0,393.0,381.0,307.0,,,,
1718,2023/24,0.4,4,2023-08-14,Warta Poznań,Ruch Chorzów,2,2,43.0,57.0,10.0,10.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,18.0,8.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,19.0,1.0,5.0,7.0,8.0,313.0,418.0,224.0,320.0,,,,
1719,2023/24,0.4,4,2023-08-12,Widzew Łódź,ŁKS Łódź,1,0,50.1,49.9,11.0,11.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,12.0,14.0,3.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,15.0,19.0,4.0,3.0,13.0,9.0,458.0,453.0,360.0,351.0,,,,
1720,2023/24,0.4,5,2023-08-21,Cracovia,Piast Gliwice,1,1,41.7,58.3,18.0,14.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,11.0,12.0,12.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,15.0,31.0,4.0,5.0,12.0,8.0,327.0,446.0,222.0,364.0,,,,
1721,2023/24,0.4,5,2023-08-18,Górnik Zabrze,Widzew Łódź,1,1,38.6,61.4,6.0,16.0,3.0,4.0,2.0,4.0,1.0,8.0,4.0,8.0,19.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,31.0,2.0,4.0,9.0,8.0,294.0,450.0,211.0,362.0,,,,
1722,2023/24,0.4,5,2023-08-18,Zagłębie Lubin,Puszcza Niepołomice,1,0,67.4,32.6,14.0,16.0,8.0,4.0,3.0,5.0,3.0,7.0,7.0,7.0,13.0,19.0,1.0,3.0,2.0,5.0,0.0,1.0,0.0,1.0,19.0,19.0,0.0,9.0,4.0,7.0,562.0,262.0,483.0,174.0,,,,
1723,2023/24,0.4,5,2023-08-20,Legia Warszawa,Korona Kielce,1,0,50.4,49.6,16.0,8.0,5.0,1.0,3.0,3.0,8.0,4.0,9.0,2.0,16.0,13.0,2.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,23.0,21.0,6.0,3.0,7.0,11.0,446.0,436.0,380.0,361.0,,,,
1724,2023/24,0.4,5,2023-08-19,Radomiak Radom,Warta Poznań,3,2,52.5,47.5,11.0,14.0,5.0,6.0,2.0,4.0,4.0,4.0,8.0,6.0,15.0,16.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,24.0,17.0,10.0,6.0,7.0,7.0,324.0,300.0,236.0,235.0,,,,
1725,2023/24,0.4,5,2023-08-19,Raków Częstochowa,Stal Mielec,2,0,53.1,46.9,16.0,9.0,5.0,2.0,3.0,5.0,8.0,2.0,6.0,2.0,14.0,11.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,17.0,8.0,2.0,1.0,8.0,12.0,480.0,431.0,402.0,336.0,,,,
1726,2023/24,0.4,5,2023-08-19,Ruch Chorzów,Jagiellonia Białystok,0,1,46.4,53.6,14.0,12.0,3.0,4.0,5.0,3.0,6.0,5.0,7.0,7.0,14.0,19.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,14.0,19.0,4.0,4.0,9.0,8.0,370.0,424.0,285.0,340.0,,,,
1727,2023/24,0.4,5,2023-08-20,ŁKS Łódź,Pogoń Szczecin,1,0,43.2,56.8,14.0,16.0,5.0,4.0,2.0,5.0,7.0,7.0,7.0,4.0,10.0,12.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,19.0,14.0,4.0,4.0,11.0,9.0,334.0,452.0,253.0,368.0,,,,
1728,2023/24,0.4,5,2023-08-20,Śląsk Wrocław,Lech Poznań,3,1,25.7,74.3,13.0,15.0,3.0,3.0,3.0,7.0,7.0,5.0,1.0,5.0,9.0,9.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0,32.0,5.0,5.0,10.0,15.0,212.0,619.0,143.0,535.0,,,,
1729,2023/24,0.4,6,2023-08-27,Jagiellonia Białystok,Górnik Zabrze,4,1,55.6,44.4,20.0,8.0,8.0,1.0,5.0,3.0,7.0,4.0,8.0,5.0,8.0,12.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,15.0,9.0,3.0,1.0,5.0,5.0,528.0,423.0,467.0,357.0,,,,
1730,2023/24,0.4,6,2023-08-27,Korona Kielce,Zagłębie Lubin,2,0,62.3,37.7,18.0,8.0,6.0,3.0,3.0,2.0,9.0,3.0,4.0,2.0,15.0,11.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,24.0,9.0,6.0,2.0,16.0,10.0,492.0,299.0,403.0,227.0,,,,
1731,2023/24,0.4,6,2023-09-28,Lech Poznań,Raków Częstochowa,4,1,55.0,45.0,12.0,7.0,6.0,2.0,1.0,2.0,5.0,3.0,5.0,2.0,12.0,16.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,23.0,2.0,8.0,16.0,7.0,455.0,356.0,360.0,286.0,,,,
1732,2023/24,0.4,6,2023-08-26,Piast Gliwice,Ruch Chorzów,0,0,58.0,42.0,17.0,7.0,6.0,0.0,3.0,3.0,8.0,4.0,6.0,2.0,16.0,13.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,15.0,12.0,4.0,2.0,9.0,8.0,497.0,357.0,397.0,257.0,,,,
1733,2023/24,0.4,6,2023-09-27,Pogoń Szczecin,Legia Warszawa,3,4,46.6,53.4,16.0,17.0,5.0,6.0,4.0,2.0,7.0,9.0,10.0,4.0,10.0,7.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,17.0,5.0,7.0,7.0,12.0,366.0,418.0,289.0,343.0,,,,
1734,2023/24,0.4,6,2023-08-26,Puszcza Niepołomice,ŁKS Łódź,2,1,46.8,53.2,14.0,11.0,4.0,3.0,2.0,2.0,8.0,6.0,3.0,3.0,19.0,11.0,3.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,12.0,14.0,6.0,2.0,5.0,11.0,420.0,476.0,334.0,389.0,,,,
1735,2023/24,0.4,6,2023-08-25,Stal Mielec,Radomiak Radom,2,0,35.4,64.6,6.0,13.0,2.0,1.0,1.0,6.0,3.0,6.0,1.0,9.0,18.0,10.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,42.0,2.0,12.0,6.0,7.0,297.0,523.0,210.0,444.0,,,,
1736,2023/24,0.4,6,2023-08-26,Warta Poznań,Cracovia,0,0,45.4,54.6,2.0,13.0,0.0,1.0,1.0,7.0,1.0,5.0,3.0,8.0,9.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,33.0,2.0,8.0,11.0,4.0,379.0,439.0,275.0,334.0,,,,
1737,2023/24,0.4,6,2023-08-25,Widzew Łódź,Śląsk Wrocław,0,2,67.8,32.2,14.0,13.0,1.0,5.0,2.0,1.0,11.0,7.0,9.0,2.0,17.0,11.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,44.0,6.0,9.0,3.0,5.0,7.0,496.0,249.0,425.0,164.0,,,,
1738,2023/24,0.4,7,2023-09-02,Cracovia,Korona Kielce,0,0,56.1,43.9,14.0,7.0,3.0,2.0,4.0,1.0,7.0,4.0,10.0,2.0,16.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,29.0,16.0,9.0,3.0,6.0,11.0,433.0,343.0,345.0,261.0,,,,
1739,2023/24,0.4,7,2023-09-03,Zagłębie Lubin,Pogoń Szczecin,1,0,50.8,49.2,19.0,7.0,8.0,1.0,4.0,3.0,7.0,3.0,8.0,5.0,16.0,13.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,19.0,20.0,5.0,6.0,6.0,8.0,400.0,383.0,293.0,267.0,,,,
1740,2023/24,0.4,7,2023-09-02,Lech Poznań,Górnik Zabrze,1,1,71.0,29.0,20.0,6.0,6.0,2.0,8.0,3.0,6.0,1.0,14.0,1.0,15.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,41.0,5.0,7.0,1.0,5.0,9.0,617.0,264.0,541.0,184.0,,,,
1741,2023/24,0.4,7,2023-09-03,Legia Warszawa,Widzew Łódź,3,1,59.9,40.1,20.0,8.0,10.0,3.0,4.0,2.0,6.0,3.0,6.0,5.0,15.0,11.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,21.0,3.0,4.0,12.0,9.0,553.0,355.0,465.0,275.0,,,,
1742,2023/24,0.4,7,2023-09-02,Radomiak Radom,Piast Gliwice,1,1,44.9,55.1,14.0,21.0,3.0,7.0,3.0,7.0,8.0,7.0,7.0,4.0,19.0,13.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,21.0,17.0,5.0,4.0,7.0,10.0,334.0,422.0,235.0,318.0,,,,
