match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
2131,2024/25,0.7,14,2024-11-04,GKS Katowice,Korona Kielce,1,2,60.9,39.1,13,13,5,4,6,4,2,5,7,6,7,9,5,0,2,0,0,0,0,0,35,17,7,5,17,11,488,318,398,237,1.05,1.34,l2nM5b0K,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=l2nM5b0K
2132,2024/25,0.7,14,2024-11-03,Górnik Zabrze,Jagiellonia Białystok,0,2,61.5,38.5,18,8,2,5,5,1,11,2,6,3,7,17,1,1,2,3,0,0,0,0,30,9,11,2,5,10,658,416,577,338,1.19,1.51,8nTh0xOs,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=8nTh0xOs
2133,2024/25,0.7,14,2024-11-04,Zagłębie Lubin,Śląsk Wrocław,3,0,43.9,56.1,17,10,7,1,4,3,6,6,6,6,11,16,1,0,3,4,0,0,0,0,16,21,4,4,7,22,281,356,187,267,1.31,0.42,GCW0bGhf,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=GCW0bGhf
2134,2024/25,0.7,14,2024-11-03,Lechia Gdańsk,Cracovia,1,2,55.6,44.4,13,17,4,8,2,2,7,7,5,4,17,9,1,3,6,2,1,0,1,0,15,14,2,4,13,10,454,359,376,284,0.57,2.14,xSK9dfN6,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=xSK9dfN6
2135,2024/25,0.7,14,2024-11-03,Legia Warszawa,Widzew Łódź,2,1,54.9,45.1,18,8,6,3,7,1,5,4,7,3,20,9,2,0,2,1,0,0,0,0,27,9,5,3,8,6,482,411,407,328,0.76,0.67,AgYGfYiJ,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=AgYGfYiJ
2136,2024/25,0.7,14,2024-11-02,Motor Lublin,Pogoń Szczecin,4,2,38.4,61.6,10,18,5,8,1,4,4,6,2,5,12,9,3,1,3,2,0,0,0,0,15,26,1,4,9,10,377,610,305,533,2.05,1.23,Q1G3IypQ,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=Q1G3IypQ
2137,2024/25,0.7,14,2024-11-02,Puszcza Niepołomice,Lech Poznań,2,0,30.9,69.1,17,12,10,3,1,3,6,6,5,5,14,5,0,2,6,1,0,1,0,0,21,27,10,1,13,8,263,602,179,515,1.73,0.32,MX1ZCF7m,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/puszcza-dtqx13O8/szczegoly/statystyki/?mid=MX1ZCF7m
2138,2024/25,0.7,14,2024-11-03,Radomiak Radom,Piast Gliwice,1,1,53.5,46.5,12,17,5,5,3,5,4,7,4,9,10,14,0,4,1,1,0,0,0,0,19,25,5,7,12,6,461,392,355,301,1.36,0.91,IaerBgx0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=IaerBgx0
2139,2024/25,0.7,14,2024-11-02,Raków Częstochowa,Stal Mielec,1,0,63.8,36.2,17,8,3,5,4,1,10,2,7,1,13,16,1,1,2,3,0,0,0,0,21,7,5,4,9,13,505,293,413,181,1.85,0.95,Odbj9X6C,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=Odbj9X6C
2140,2024/25,0.7,15,2024-11-09,Cracovia,GKS Katowice,3,4,53.7,46.3,12,13,5,7,2,1,5,5,6,3,13,7,1,1,4,5,0,0,0,0,37,16,7,2,1,9,473,427,366,316,0.97,2.05,roBOjPjo,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gks-katowice-K4AgRmS1/szczegoly/statystyki/?mid=roBOjPjo
