sezon,kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,xg_gosp_actual,xg_gosc_actual,lambda_home_base,lambda_away_base,p_home_base,p_draw_base,p_away_base,log_loss_base,window,eta_form,k_form,cap_form,home_atk_mult,away_atk_mult,home_def_mult,away_def_mult,lambda_home,lambda_away,p_home,p_draw,p_away,log_loss,wynik_pred,czy_trafil,p_home_cal,p_draw_cal,p_away_cal,log_loss_cal,wynik_pred_cal,czy_trafil_cal
2025/26,1,GKS Katowice,Raków Częstochowa,0,1,A,0.17,1.81,1.089749762386281,1.254814739038145,0.31997912405977463,0.2792619351999518,0.40075894074027346,0.9143951777219422,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.089749762386281,1.254814739038145,0.31997912405977463,0.2792619351999518,0.40075894074027346,0.9143951777219422,A,1,0.3018484086471917,0.27543396558010885,0.42271762577269945,0.8610508742122569,A,1
2025/26,1,Górnik Zabrze,Lechia Gdańsk,2,1,H,2.31,1.9,1.7385788087548146,1.0600336714528171,0.5326868424710196,0.23673258629052382,0.23058057123845666,0.6298215650619554,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.7385788087548146,1.0600336714528171,0.5326868424710196,0.23673258629052382,0.23058057123845666,0.6298215650619554,H,1,0.5331993121947505,0.23280626125123824,0.23399442655401123,0.6288599806357477,H,1
2025/26,1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,0,4,A,0.89,2.47,2.1569037030765394,0.8375283857474379,0.6762255722314537,0.1905612976840384,0.133213130084508,2.0158049515259484,10,0.25,3,1.25,1.0,1.0,1.0,1.0,2.1569037030765394,0.8375283857474379,0.6762255722314537,0.1905612976840384,0.133213130084508,2.0158049515259484,H,0,0.6890780430417434,0.182933215807796,0.12798874115046072,2.055812978693232,H,0
2025/26,1,Lech Poznań,Cracovia,1,4,A,1.43,0.74,1.6274031861919598,0.9633744592588591,0.5292066850635222,0.2474146420167057,0.2233786729197721,1.4988868627959941,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.6274031861919598,0.9633744592588591,0.5292066850635222,0.2474146420167057,0.2233786729197721,1.4988868627959941,H,0,0.5295426838558484,0.24437084466250383,0.22608647148164795,1.4868377357137035,H,0
2025/26,1,Legia Warszawa,Piast Gliwice,0,1,A,0.65,0.56,1.6212431120712074,0.9534628621132245,0.5301245402821761,0.2480561213887807,0.22181933832904321,1.5058920197283783,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.6212431120712074,0.9534628621132245,0.5301245402821761,0.2480561213887807,0.22181933832904321,1.5058920197283783,H,0,0.5305606746616573,0.24506976120692361,0.22436956413141892,1.4944607467454043,H,0
2025/26,1,Motor Lublin,Arka Gdynia,1,0,H,1.92,0.49,1.6876987761551903,0.9673445127784246,0.5429627697449639,0.2413260326067295,0.2157111976483064,0.6107145254044117,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.6876987761551903,0.9673445127784246,0.5429627697449639,0.2413260326067295,0.2157111976483064,0.6107145254044117,H,1,0.5445786059111232,0.2378034382189956,0.21761795586988125,0.6077429835553881,H,1
2025/26,1,Radomiak Radom,Pogoń Szczecin,5,1,H,1.66,1.47,1.2141988188747206,1.4741133993996585,0.31201565316863883,0.2562908760741056,0.4316934707572555,1.1647019220188437,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.2141988188747206,1.4741133993996585,0.31201565316863883,0.2562908760741056,0.4316934707572555,1.1647019220188437,A,0,0.2927988616284127,0.2500559203094548,0.4571452180621325,1.2282693847836426,A,0
2025/26,1,Widzew Łódź,Zagłębie Lubin,1,0,H,1.06,0.66,1.4336241259805356,1.0561048896176357,0.45715693763734283,0.26482562927399633,0.2780174330886608,0.7827285386422885,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.4336241259805356,1.0561048896176357,0.45715693763734283,0.26482562927399633,0.2780174330886608,0.7827285386422885,H,1,0.45057326540899595,0.262778781582178,0.286647953008826,0.7972345838382577,H,1
2025/26,1,Wisła Płock,Korona Kielce,2,0,H,2.75,0.12,1.0556317637136527,1.0987014374121593,0.3416093331133082,0.2949098695021295,0.36348079738456235,1.0740874956806847,10,0.25,3,1.25,1.0,1.0,1.0,1.0,1.0556317637136527,1.0987014374121593,0.3416093331133082,0.2949098695021295,0.36348079738456235,1.0740874956806847,A,0,0.32534181065658785,0.2933606687283727,0.38129752061503946,1.122878924230572,A,0
2025/26,2,Arka Gdynia,Radomiak Radom,1,1,D,0.76,0.84,1.1316936090833905,1.1123821266091054,0.36088653926859227,0.2878671118516823,0.35124634887972545,1.2452563225135151,10,0.25,3,1.25,0.986150329547211,1.0140441776855136,1.0080925223635038,0.9998253700543182,1.1158251350276176,1.1371330214535673,0.35109769364982873,0.2871856495684966,0.36171665678167475,1.2476264097399519,A,0,0.33539843513216233,0.2851273150079931,0.3794742498598446,1.2548194791365677,A,0
