kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora,p_h_cal,p_d_cal,p_a_cal,wynik_pred_cal,ll_cal
27,Jagiellonia Białystok,Lech Poznań,846,0,0,0,D,0,0,0,0,0,1.7917,1.4467,3.2384,0.4584,0.2292,0.3124,H,0,1.4732,0.6372,0.0392,0.1663,0.372,0.594,0.9608,0.8337,0.628,0.406,1.7917,1.4467,0,,,,0.4530061257907523,0.2681241989644673,0.27886967524478046,H,1.3163049768494286
28,Wisła Płock,Lechia Gdańsk,855,1,0,1,H,0,1,0,0,0,1.5684,1.1818,2.7502,0.4628,0.25,0.2872,H,1,0.7704,0.5488,0.0639,0.2397,0.4814,0.703,0.9361,0.7603,0.5186,0.297,0.5684,1.1818,1,Wisła Płock,27.0,0.2703,0.4537490908849278,0.2759224089823691,0.2703285001327032,H,0.7902108969644713
28,Legia Warszawa,Górnik Zabrze,855,1,1,2,D,1,1,1,0,0,1.4425,1.022,2.4645,0.4676,0.265,0.2675,H,0,1.3282,0.4888,0.085,0.2947,0.5529,0.7651,0.915,0.7053,0.4471,0.2349,0.4425,0.022,0,,,,0.455077069468181,0.28140837407828345,0.26351455645353566,H,1.2679483761153332
28,Motor Lublin,Raków Częstochowa,855,1,1,2,D,1,1,1,0,0,1.1694,1.4096,2.579,0.3122,0.2629,0.4249,A,0,1.336,0.5211,0.0758,0.2715,0.5237,0.7406,0.9242,0.7285,0.4763,0.2594,0.1694,0.4096,0,,,,0.40092829279476583,0.28474075972399715,0.314330947481237,H,1.2561761276677756
28,Zagłębie Lubin,Radomiak Radom,855,1,0,1,H,0,1,0,0,0,1.6744,1.2529,2.9273,0.4728,0.2405,0.2867,H,1,0.749,0.5804,0.0535,0.2103,0.4397,0.6635,0.9465,0.7897,0.5603,0.3365,0.6744,1.2529,0,,,,0.4573693567860979,0.2723390201659505,0.27029162304795146,H,0.7822639939837689
28,Korona Kielce,Jagiellonia Białystok,855,1,1,2,D,1,1,1,0,0,1.2681,1.3728,2.6409,0.3451,0.2611,0.3938,A,0,1.3429,0.5365,0.0713,0.2596,0.5082,0.7271,0.9287,0.7404,0.4918,0.2729,0.2681,0.3728,0,,,,0.41300494081123923,0.28254137528476936,0.30445368390399147,H,1.2639302779350094
28,Cracovia,Arka Gdynia,855,2,2,4,D,1,1,1,1,1,1.8853,0.8663,2.7516,0.6136,0.2192,0.1672,H,0,1.5178,0.4915,0.0638,0.2395,0.4811,0.7027,0.9362,0.7605,0.5189,0.2973,0.1147,1.1337,1,Arka Gdynia,27.0,0.2703,0.5068348328206564,0.2667152413821972,0.22644992579714626,H,1.321573701387321
28,Lech Poznań,GKS Katowice,855,3,3,6,D,1,1,1,1,1,1.9387,1.0297,2.9684,0.5854,0.2181,0.1965,H,0,1.523,0.5504,0.0514,0.2039,0.4303,0.6543,0.9486,0.7961,0.5697,0.3457,1.0613,1.9703,0,,,,0.4963748335452162,0.2650763728898307,0.23854879356495307,H,1.3277372949331707
28,Piast Gliwice,Pogoń Szczecin,855,0,2,2,A,0,1,1,0,0,1.3015,1.1156,2.4171,0.4079,0.274,0.3181,H,0,1.1453,0.4893,0.0892,0.3047,0.5652,0.7751,0.9108,0.6953,0.4348,0.2249,1.3015,0.8844,0,,,,0.43449040612181256,0.2851304224662119,0.2803791714119755,H,1.2716124082783862
28,Widzew Łódź,Bruk-Bet Termalica Nieciecza,855,1,0,1,H,0,1,0,0,0,1.7392,1.0062,2.7454,0.5458,0.2365,0.2177,H,1,0.6055,0.5229,0.0642,0.2406,0.4826,0.7041,0.9358,0.7594,0.5174,0.2959,0.7392,1.0062,1,Bruk-Bet Termalica Nieciecza,27.0,0.2703,0.4822902764397976,0.27152096301468975,0.24618876054551253,H,0.7292091129236346
29,Arka Gdynia,Jagiellonia Białystok,864,0,3,3,A,0,1,1,1,0,1.1436,1.7561,2.8997,0.2477,0.2351,0.5172,A,1,0.6594,0.5636,0.055,0.2147,0.4461,0.6697,0.945,0.7853,0.5539,0.3303,1.1436,1.2439,1,Arka Gdynia,28.0,0.2632,0.3772009610051621,0.2793350359222488,0.3434640030725892,H,1.0686729673595685
29,Bruk-Bet Termalica Nieciecza,Wisła Płock,864,1,3,4,A,1,1,1,1,1,1.0405,1.098,2.1385,0.3373,0.2961,0.3666,A,1,1.0036,0.431,0.1178,0.3698,0.6392,0.8313,0.8822,0.6302,0.3608,0.1687,0.0405,1.902,1,Bruk-Bet Termalica Nieciecza,28.0,0.2632,0.40894332798477245,0.2946875827725447,0.2963690892426829,H,1.2161496783038928
29,Legia Warszawa,Zagłębie Lubin,864,1,0,1,H,0,1,0,0,0,1.6654,0.9669,2.6323,0.5377,0.2436,0.2188,H,1,0.6205,0.5025,0.0719,0.2612,0.5104,0.729,0.9281,0.7388,0.4896,0.271,0.6654,0.9669,0,,,,0.47941986099358463,0.27414006897519916,0.24644007003121626,H,0.7351785289839664
29,Lechia Gdańsk,Piast Gliwice,864,1,1,2,D,1,1,1,0,0,1.6574,1.2775,2.9349,0.4633,0.2412,0.2955,H,0,1.422,0.5838,0.0531,0.2091,0.4379,0.6618,0.9469,0.7909,0.5621,0.3382,0.6574,0.2775,0,,,,0.45417380027689463,0.27263913859751676,0.27318706112558866,H,1.299606194832985
29,Górnik Zabrze,Korona Kielce,864,1,0,1,H,0,1,0,0,0,1.4054,0.8615,2.2669,0.4971,0.2726,0.2303,H,1,0.6991,0.4358,0.1036,0.3386,0.6048,0.806,0.8964,0.6614,0.3952,0.194,0.4054,0.8615,0,,,,0.46529083160571594,0.28443344127257214,0.250275727121712,H,0.765092624590192
29,Radomiak Radom,Widzew Łódź,864,2,1,3,H,1,1,1,1,0,1.5976,1.1685,2.7661,0.4731,0.2479,0.2789,H,1,0.7484,0.5497,0.0629,0.2369,0.4776,0.6995,0.9371,0.7631,0.5224,0.3005,0.4024,0.1685,0,,,,0.45728410782741474,0.2751276143870412,0.267588277785544,H,0.7824504011034664
29,Pogoń Szczecin,Lech Poznań,864,1,2,3,A,1,1,1,1,0,1.5863,1.4561,3.0424,0.4082,0.2405,0.3513,H,0,1.0461,0.6099,0.0477,0.1929,0.4138,0.6377,0.9523,0.8071,0.5862,0.3623,0.5863,0.5439,0,,,,0.4357761213631569,0.2731580036679444,0.2910658749688987,H,1.2342056629659077
