kolejka,gospodarz,gosc,wynik_1x2,p_home,p_draw,p_away,log_loss,p_home_cal,p_draw_cal,p_away_cal,log_loss_cal,pred_cal
1,Lech Poznań,Cracovia,A,0.5292005125154158,0.2474161012159964,0.2233833862685879,1.4988657627552942,0.49621886773482415,0.27694199991431506,0.22683913235086062,1.4835141807825218,H
1,Widzew Łódź,Zagłębie Lubin,H,0.4571633584998819,0.2648168221702087,0.2780198193299095,0.7827144935367247,0.45782792083162993,0.2870237449874971,0.25514833418087296,0.781261884176142,H
1,GKS Katowice,Raków Częstochowa,A,0.3199676662243033,0.2792647415726876,0.400767592203009,0.914373590257572,0.3834470215440666,0.300280603092877,0.31627237536305636,1.151151489307075,H
1,Górnik Zabrze,Lechia Gdańsk,H,0.5326798742209876,0.2367367712407755,0.2305833545382366,0.6298346464731219,0.4984079942930903,0.270619043846012,0.23097296186089775,0.6963362717236267,H
1,Legia Warszawa,Piast Gliwice,A,0.5301466768196751,0.2480456662361166,0.2218076569442082,1.5059446828213017,0.4967032042041329,0.2773259037315392,0.22597089206432797,1.4873490841803307,H
1,Radomiak Radom,Pogoń Szczecin,H,0.3120175617233124,0.2562874521162637,0.4316949861604237,1.164695805182021,0.38047340180840344,0.28829807429836957,0.331228523893227,0.9663390073868093,H
2,Arka Gdynia,Radomiak Radom,D,0.1565028860984883,0.2770832230956498,0.5664138908058618,1.2834373735305482,0.27651665523742547,0.31785203272759627,0.40563131203497815,1.1461693103783999,A
2,Lechia Gdańsk,Lech Poznań,A,0.2858283699481616,0.2469556286399441,0.4672160014118942,0.7609635984572476,0.36605526579710146,0.28509064862367234,0.3488540855792261,1.0531015371011139,H
2,Pogoń Szczecin,Motor Lublin,H,0.5720120624025522,0.2187256250570302,0.2092623125404176,0.5585951997083404,0.5199108366942404,0.2601754135099815,0.21991374979577807,0.6540979500046558,H
2,Korona Kielce,Legia Warszawa,A,0.3261688851696434,0.2598694238457541,0.4139616909846025,0.8819818432919609,0.3881914297458704,0.2893219704375425,0.32248659981658706,1.131693694565894,H
2,Cracovia,Bruk-Bet Termalica Nieciecza,H,0.0748950103378728,0.1437461012708181,0.7813588883913091,2.591668008329915,0.20805118552615276,0.24985941084994237,0.5420894036239049,1.5699711452942344,A
2,GKS Katowice,Zagłębie Lubin,D,0.4786327779148706,0.2518119644378979,0.2695552576472315,1.3790726428617317,0.46957748273366773,0.27940942199048024,0.2510130952758521,1.2750771104999392,H
2,Raków Częstochowa,Wisła Płock,A,0.0347020857375612,0.2118540088890625,0.7534439053733764,0.2831007091103067,0.14028707340269242,0.3156689204849023,0.5440440061124053,0.608725141808924,A
2,Jagiellonia Białystok,Widzew Łódź,H,0.617889603870714,0.2069141306868984,0.1751962654423874,0.481445471994899,0.5452492163499857,0.25390373522173665,0.2008470484282777,0.6065123111320858,H
2,Piast Gliwice,Górnik Zabrze,A,0.3953871956899173,0.2946757118246268,0.3099370924854556,1.1713859295617814,0.42401623953870055,0.30478025170999,0.27120350875130944,1.3048857851260303,H
3,Wisła Płock,Piast Gliwice,H,0.8759471733577867,0.0963600135442601,0.027692813097953,0.1324494942502164,0.7317696936886765,0.18625663282946875,0.08197367348185475,0.312289440634369,H
3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,D,0.5291128260485909,0.2348069178934523,0.2360802560579569,1.448991728542916,0.49661475518641063,0.26943090779191126,0.23395433702167817,1.3114432933316034,H
3,Legia Warszawa,Arka Gdynia,D,0.7101303346287099,0.200926111728793,0.0889435536424971,1.6048180418450697,0.6018949579228785,0.2557908923258724,0.14231414975124906,1.363394995139464,H
3,Motor Lublin,Jagiellonia Białystok,D,0.3421802021930599,0.229021192289489,0.4287986055174511,1.4739407369608528,0.39950704971922646,0.2708867547866573,0.3296061954941162,1.3060544244542283,H
3,Zagłębie Lubin,Korona Kielce,D,0.3921157719295475,0.2822604444452661,0.3256237836251863,1.2649250724022272,0.42277676457109364,0.2982149533576172,0.27900828207128914,1.2099407325109601,H
