flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club
Arka Gdynia,arka-gdynia,Perea L.,matched_existing,luis-perea-hernandez,matched_existing,luis-perea-hernandez,already_in_player_mapping_csv,matched_existing,luis-perea-hernandez,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Luis Perea HernándezArka Gdynia,1
Arka Gdynia,arka-gdynia,Petrovic Z.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Predenkiewicz M.,matched_existing,marcel-predenkiewicz,matched_existing,marcel-predenkiewicz,already_in_player_mapping_csv,matched_existing,marcel-predenkiewicz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Marcel PredenkiewiczArka Gdynia,1
Arka Gdynia,arka-gdynia,Ratajczyk A.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Rusyn N.,matched_existing,nazarii-rusyn,matched_existing,nazarii-rusyn,already_in_player_mapping_csv,matched_existing,nazarii-rusyn,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Nazarii RusynArka Gdynia,1
Arka Gdynia,arka-gdynia,Rzuchowski M.,matched_existing,micha-rzuchowski,matched_existing,micha-rzuchowski,already_in_player_mapping_csv,matched_existing,micha-rzuchowski,existing_mapping,arka-gdynia | slask-wroclaw,2023/24 | 2025/26,arka-gdynia,2023/24:slask-wroclaw | 2025/26:arka-gdynia,Michał RzuchowskiŚląsk Wrocław,1
Arka Gdynia,arka-gdynia,Sidibe A.,matched_existing,alassane-sidibe,matched_existing,alassane-sidibe,already_in_player_mapping_csv,matched_existing,alassane-sidibe,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Alassane SidibeArka Gdynia,1
Arka Gdynia,arka-gdynia,Sobczak S.,matched_existing,szymon-sobczak,matched_existing,szymon-sobczak,already_in_player_mapping_csv,matched_existing,szymon-sobczak,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Szymon SobczakArka Gdynia,1
Arka Gdynia,arka-gdynia,Stolc P.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Szota S.,matched_existing,serafin-jan-szota,matched_existing,serafin-jan-szota,already_in_player_mapping_csv,matched_existing,serafin-jan-szota,existing_mapping,arka-gdynia | slask-wroclaw | widzew-lodz,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:widzew-lodz | 2024/25:slask-wroclaw | 2025/26:arka-gdynia,Serafin Jan SzotaWidzew Łódź,1
Arka Gdynia,arka-gdynia,Szysz P.,matched_existing,patryk-konrad-szysz,matched_existing,patryk-konrad-szysz,already_in_player_mapping_csv,matched_existing,patryk-konrad-szysz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Patryk Konrad SzyszArka Gdynia,1
Arka Gdynia,arka-gdynia,Vitalucci H.,matched_existing,hide-kengei-vitalucci,matched_existing,hide-kengei-vitalucci,already_in_player_mapping_csv,matched_existing,hide-kengei-vitalucci,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Hide Kengei VitalucciArka Gdynia,1
Arka Gdynia,arka-gdynia,Vlad A.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Węglarz D.,matched_existing,damian-weglarz,matched_existing,damian-weglarz,already_in_player_mapping_csv,matched_existing,damian-weglarz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Damian WęglarzArka Gdynia,1
Arka Gdynia,arka-gdynia,Zacharewicz W.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Zator D.,matched_existing,dominick-lukasz-zator,matched_existing,dominick-lukasz-zator,already_in_player_mapping_csv,matched_existing,dominick-lukasz-zator,existing_mapping,arka-gdynia | korona-kielce,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:korona-kielce | 2024/25:korona-kielce | 2025/26:arka-gdynia,Dominick Lukasz ZatorKorona Kielce,1
Bruk-Bet Termalica Nieciecza,nieciecza,Ambrosiewicz M.,matched_existing,maciej-ambrosiewicz,matched_existing,maciej-ambrosiewicz,already_in_player_mapping_csv,matched_existing,maciej-ambrosiewicz,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Maciej AmbrosiewiczNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Biniek D.,matched_existing,dominik-andrzej-biniek,matched_existing,dominik-andrzej-biniek,already_in_player_mapping_csv,matched_existing,dominik-andrzej-biniek,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Dominik Andrzej BiniekNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Boboc R.,matched_existing,radu-stefanita-boboc,matched_existing,radu-stefanita-boboc,already_in_player_mapping_csv,matched_existing,radu-stefanita-boboc,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Radu Ștefăniță BobocNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Chovan A.,matched_existing,adrian-chovan,matched_existing,adrian-chovan,already_in_player_mapping_csv,matched_existing,adrian-chovan,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Adrián ChovanNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Deisadze D.,matched_existing,diego-deisadze,matched_existing,diego-deisadze,already_in_player_mapping_csv,matched_existing,diego-deisadze,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Diego DeisadzeNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Durdov I.,matched_existing,ivan-durdov,matched_existing,ivan-durdov,already_in_player_mapping_csv,matched_existing,ivan-durdov,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Ivan DurdovNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Fassbender M.,matched_existing,morgan-kwasi-fabender,matched_existing,morgan-kwasi-fabender,already_in_player_mapping_csv,matched_existing,morgan-kwasi-fabender,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Morgan Kwasi FaßbenderNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Guerrero S.,matched_existing,sergio-guerrero-romero,matched_existing,sergio-guerrero-romero,already_in_player_mapping_csv,matched_existing,sergio-guerrero-romero,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Sergio Guerrero RomeroNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Hilbrycht D.,matched_existing,damian-hilbrycht,matched_existing,damian-hilbrycht,already_in_player_mapping_csv,matched_existing,damian-hilbrycht,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Damian HilbrychtNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Isik G.,matched_existing,gabriel-isik,matched_existing,gabriel-isik,already_in_player_mapping_csv,matched_existing,gabriel-isik,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Gabriel IsikNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Jakubik W.,matched_existing,wojciech-jakubik,matched_existing,wojciech-jakubik,already_in_player_mapping_csv,matched_existing,wojciech-jakubik,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Wojciech JakubikNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.,unresolved,,review_high_confidence,rafa-janicki,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,rejected_manual,,manual_reject_wrong_person_rafa_janicki_is_not_m_janicki,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Jimenez J.,matched_existing,jesus-jimenez-nunez,matched_existing,jesus-jimenez-nunez,already_in_player_mapping_csv,matched_existing,jesus-jimenez-nunez,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Jesús Jiménez NúñezNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Kasperkiewicz A.,matched_existing,arkadiusz-kasperkiewicz,matched_existing,arkadiusz-kasperkiewicz,already_in_player_mapping_csv,matched_existing,arkadiusz-kasperkiewicz,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Arkadiusz KasperkiewiczNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Kopacz B.,matched_existing,bartosz-kopacz,matched_existing,bartosz-kopacz,already_in_player_mapping_csv,matched_existing,bartosz-kopacz,existing_mapping,nieciecza | zagebie-lubin,2023/24 | 2024/25 | 2025/26,nieciecza,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:nieciecza,Bartosz KopaczKGHM Zagłębie Lubin,1
Bruk-Bet Termalica Nieciecza,nieciecza,Kozik M.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Kubica K.,matched_existing,krzysztof-kubica,matched_existing,krzysztof-kubica,already_in_player_mapping_csv,matched_existing,krzysztof-kubica,existing_mapping,motor-lublin | nieciecza,2024/25 | 2025/26,nieciecza,2024/25:motor-lublin | 2025/26:nieciecza,Krzysztof KubicaMotor Lublin,1
Bruk-Bet Termalica Nieciecza,nieciecza,Kurzawa R.,matched_existing,rafa-maciej-kurzawa,matched_existing,rafa-maciej-kurzawa,already_in_player_mapping_csv,matched_existing,rafa-maciej-kurzawa,existing_mapping,nieciecza | pogon-szczecin,2023/24 | 2024/25 | 2025/26,nieciecza,2023/24:pogon-szczecin | 2024/25:pogon-szczecin | 2025/26:nieciecza,Rafał Maciej KurzawaPogoń Szczecin,1
Bruk-Bet Termalica Nieciecza,nieciecza,Masoero L.,matched_existing,lucas-gabriel-masoero-masi,matched_existing,lucas-gabriel-masoero-masi,already_in_player_mapping_csv,matched_existing,lucas-gabriel-masoero-masi,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Lucas Gabriel Masoero MasiNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Matysik M.,matched_existing,miosz-matysik,matched_existing,miosz-matysik,already_in_player_mapping_csv,matched_existing,miosz-matysik,existing_mapping,jagiellonia-bialystok | nieciecza,2023/24 | 2025/26,nieciecza,2023/24:jagiellonia-bialystok | 2025/26:nieciecza,Miłosz MatysikJagiellonia Białystok,1
Bruk-Bet Termalica Nieciecza,nieciecza,Mleczko M.,matched_existing,miosz-stefan-mleczko,matched_existing,miosz-stefan-mleczko,already_in_player_mapping_csv,matched_existing,miosz-stefan-mleczko,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Miłosz Stefan MleczkoNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Putivtsev A.,matched_existing,artem-putivtsev,matched_existing,artem-putivtsev,already_in_player_mapping_csv,matched_existing,artem-putivtsev,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Artem PutivtsevNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Strzałek I.,matched_existing,igor-strzaek,matched_existing,igor-strzaek,already_in_player_mapping_csv,matched_existing,igor-strzaek,existing_mapping,legia-warszawa | nieciecza,2023/24 | 2024/25 | 2025/26,nieciecza,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:nieciecza,Igor StrzałekLegia Warszawa,1
Bruk-Bet Termalica Nieciecza,nieciecza,Surowiec K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Surowiec P.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Thiago Dombroski,matched_existing,thiago-dombroski-moreira,matched_existing,thiago-dombroski-moreira,already_in_player_mapping_csv,matched_existing,thiago-dombroski-moreira,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Thiago DombroskiNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Trubeha A.,matched_existing,andrzej-trubeha,matched_existing,andrzej-trubeha,already_in_player_mapping_csv,matched_existing,andrzej-trubeha,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Andrzej TrubehaNieciecza,1
Bruk-Bet Termalica Nieciecza,nieciecza,Wolski M.,matched_existing,maciej-wolski,matched_existing,maciej-wolski,already_in_player_mapping_csv,matched_existing,maciej-wolski,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Maciej WolskiNieciecza,1
