decay,ll_val
0.0,1.0353274509803922
0.001,1.0354754901960785
0.002,1.0357584967320261
0.005,1.0375735294117647
0.008,1.0408045751633987
0.01,1.0435696078431373
0.015,1.051604575163399
0.02,1.0601513071895425
0.03,1.0768800653594772
