player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
ajdin-hasic,Ajdin HasićCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,7,23,46,0,11,68,88,56,25,1,2,1,3,10,1,45,6,2127,12,462,0,709,821,12,130,4,64,4,50,0,13,5.9,5.2,5.6,29
amir-fouad-aboud-al-ammari,Amir Al AmmariCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,4,3,27,0,2,8,5,14,24,1,1,0,1,5,0,14,9,1102,13,197,0,295,485,13,51,14,4,2,11,0,22,1,1.1,1,5
andreas-skovgaard-larsen,Andreas Skovgaard LarsenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4,5,0,0,0,0,0,0,1,0,450,6,96,0,140,276,6,39,6,0,0,0,0,26,0.2,0.2,0,1
arttu-hoskonen,Arttu HoskonenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,1,1,1,5,3,0,0,0,0,0,0,2,0,977,6,109,0,149,456,6,52,7,0,1,1,0,44,0.3,0.2,0.5,0
bartosz-biedrzycki,Bartosz BiedrzyckiCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,2,2,33,0,10,31,15,13,8,0,0,0,0,2,0,4,0,680,6,144,0,209,268,6,47,12,1,0,6,0,17,0.9,1,0.2,3
davi-kristjan-olafsson,Davíð Kristján ÓlafssonCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,3,5,29,0,14,75,12,18,21,3,4,0,4,7,0,19,24,2213,19,287,0,476,663,19,81,13,0,4,17,0,60,2.3,3.3,3.3,4
dawid-polak,Dawid PolakCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1,2,0,3,4,1,2,0,0,0,0,0,0,0,0,0,0
fabian-bzdyl,Fabian BzdylCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,1,11,10,7,2,1,0,2,2,0,3,50,401,5,86,0,109,171,5,29,3,1,0,4,0,4,0.3,0.6,0.5,2
filip-rozga,Filip Jan RózgaCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,11,39,0,11,30,80,60,50,2,2,0,2,3,0,15,7,1787,39,186,0,281,346,39,168,13,13,5,28,0,15,1.7,2.9,3,11
gustav-niklas-henriksson,Gustav Niklas HenrikssonCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,1,1,0,3,17,0,1,0,1,2,0,1,50,1350,9,126,0,161,570,9,57,4,0,1,2,0,74,0.2,0.7,0.1,0
henrich-ravas,Henrich RavasCracovia,cracovia,36,3,100,23,2070,12,0,499,3,0,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2070,0,59,0,213,499,0,5,0,0,0,0,0,19,0,0,0,0
jakub-jugas,Jakub JugasCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,2,20,0,6,24,12,14,23,0,2,0,2,3,0,14,20,2033,11,325,0,462,918,11,90,10,0,4,10,0,81,1.1,1,1.8,0
kacper-smiglewski,Kacper ŚmiglewskiCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,11,7,0,0,0,0,0,0,2,0,177,2,11,0,26,29,2,26,0,0,0,1,0,2,0.3,0.2,0,2
kamil-jacek-glik,Kamil Jacek GlikCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,5,6,0,0,0,0,0,0,2,0,810,3,58,0,91,335,3,38,13,0,0,8,0,64,0.3,0.7,0.2,1
martin-yankov-minchev,Martin Yankov MinchevCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,1,13,7,10,8,0,1,0,1,1,0,4,13,331,7,36,0,65,79,7,36,1,0,2,8,0,4,0.7,1.3,0.9,5
mateusz-bochnak,Mateusz BochnakCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,4,80,0,1,5,5,0,1,1,2,0,2,2,0,3,40,158,3,22,0,37,43,3,10,1,0,0,5,0,2,0.1,1.5,1.8,1
mauro-perkovic,Mauro PerkovićCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,1,3,1,2,4,1,2,0,2,2,0,1,40,581,10,94,0,139,312,10,38,3,0,1,5,0,35,0.2,0.7,0.8,0
micha-miosz-rakoczy,Michał Miłosz RakoczyCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,5,16,4,3,0,0,0,0,0,0,2,0,232,3,36,0,65,72,3,15,1,2,0,4,0,9,0.5,0.7,1,1
mick-van-buren,Mick van BurenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,11,41,0,1,9,46,19,18,3,4,0,4,5,0,13,15,1447,8,162,0,259,370,8,97,5,0,5,27,0,18,1.4,3.7,4,3
mikkel-maigaard-jakobsen,Mikkel Maigaard JakobsenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,5,15,41,0,16,62,24,33,12,4,2,0,6,11,0,61,16,2736,16,834,0,1113,1601,16,84,22,73,0,37,0,42,5.6,3.1,4.1,11
oskar-lachowicz,Oskar LachowiczCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oskar-wojcik,Oskar WójcikCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otar-kakabadze,Otar KakabadzeCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,2,7,29,0,23,126,75,24,41,3,3,0,3,5,0,39,13,2632,34,512,0,829,1139,34,148,45,0,1,24,0,72,3.4,1.4,2.2,7
patryk-janasik,Patryk JanasikCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,3,0,0,0,0,0,0,4,0,460,8,68,0,99,172,8,17,7,1,2,0,0,14,0.2,0.1,0,2
