flash_team,klub_slug,flash_name,player_slug,match_method
Cracovia,cracovia,Maigaard M.,mikkel-maigaard-jakobsen,existing_mapping
Cracovia,cracovia,Minchev M.,martin-yankov-minchev,existing_mapping
Cracovia,cracovia,Olafsson D.,davi-kristjan-olafsson,existing_mapping
Cracovia,cracovia,Perkovic M.,mauro-perkovic,existing_mapping
Cracovia,cracovia,Piła D.,dominik-pia,existing_mapping
Cracovia,cracovia,Praszelik M.,mateusz-jakub-praszelik,existing_mapping
Cracovia,cracovia,Rakoczy M.,micha-miosz-rakoczy,existing_mapping
Cracovia,cracovia,Ravas H.,henrich-ravas,existing_mapping
Cracovia,cracovia,Sans P.,pau-sans-lopez,existing_mapping
Cracovia,cracovia,Selan B.,beno-selan,existing_mapping
Cracovia,cracovia,Skovgaard A.,andreas-skovgaard-larsen,manual_accept_review_high_confidence
Cracovia,cracovia,Stojilkovic F.,filip-stojilkovic,existing_mapping
Cracovia,cracovia,Sutalo B.,bosko-sutalo,existing_mapping
Cracovia,cracovia,Tabisz M.,mateusz-tabisz,existing_mapping
Cracovia,cracovia,Traore B.,brahim-traore,existing_mapping
Cracovia,cracovia,Wójcik O.,oskar-wojcik,existing_mapping
Cracovia,cracovia,Zahiroleslam K.,kahveh-zahiroleslam,existing_mapping
GKS Katowice,gks-katowice,Bosch J.,jesse-bosch,existing_mapping
GKS Katowice,gks-katowice,Bród A.,alan-brod,existing_mapping
GKS Katowice,gks-katowice,Buksa A.,aleksander-buksa,existing_mapping
GKS Katowice,gks-katowice,Błąd A.,adrian-bad,existing_mapping
GKS Katowice,gks-katowice,Czerwiński A.,alan-czerwinski,existing_mapping
GKS Katowice,gks-katowice,Galan B.,borja-galan-gonzalez,existing_mapping
GKS Katowice,gks-katowice,Gruszkowski K.,konrad-jan-gruszkowski,existing_mapping
GKS Katowice,gks-katowice,Jaroszek B.,bartosz-jaroszek,review_auto_same_club_history
GKS Katowice,gks-katowice,Jirka E.,erik-jirka,review_auto_transfer_candidate
GKS Katowice,gks-katowice,Jędrych A.,arkadiusz-jedrych,existing_mapping
GKS Katowice,gks-katowice,Klemenz L.,lukas-rafael-klemenz,existing_mapping
GKS Katowice,gks-katowice,Kokosinski J.,jakub-kokosinski,existing_mapping
GKS Katowice,gks-katowice,Kowalczyk M.,mateusz-kowalczyk,existing_mapping
GKS Katowice,gks-katowice,Kudła D.,dawid-kuda,existing_mapping
GKS Katowice,gks-katowice,Kuusk M.,marten-kuusk,existing_mapping
GKS Katowice,gks-katowice,Markovic E.,eman-markovic,existing_mapping
GKS Katowice,gks-katowice,Marzec M.,mateusz-marzec,review_auto_same_club_history
GKS Katowice,gks-katowice,Milewski S.,sebastian-milewski,existing_mapping
GKS Katowice,gks-katowice,Nowak B.,bartosz-nowak,existing_mapping
GKS Katowice,gks-katowice,Olsen M.,marius-berntsen-olsen,existing_mapping
GKS Katowice,gks-katowice,Paluszek A.,aleksander-paluszek,existing_mapping
GKS Katowice,gks-katowice,Rasak D.,damian-rasak,existing_mapping
GKS Katowice,gks-katowice,Rejczyk F.,filip-rejczyk,existing_mapping
GKS Katowice,gks-katowice,Rogala G.,grzegorz-rogala,existing_mapping
GKS Katowice,gks-katowice,Rosołek M.,maciej-rosoek,existing_mapping
GKS Katowice,gks-katowice,Shkurin I.,ilya-shkurin,review_auto_transfer_candidate
GKS Katowice,gks-katowice,Strączek R.,rafa-straczek,existing_mapping
GKS Katowice,gks-katowice,Wasielewski M.,marcin-wasielewski,existing_mapping
GKS Katowice,gks-katowice,Wdowiak M.,mateusz-wdowiak,review_auto_transfer_candidate
GKS Katowice,gks-katowice,Wędrychowski M.,marcel-wedrychowski,existing_mapping
GKS Katowice,gks-katowice,Zrelak A.,adam-zrelak,existing_mapping
GKS Katowice,gks-katowice,Łukasiak K.,kacper-ukasiak,existing_mapping
GKS Katowice,gks-katowice,Łukowski J.,jakub-ukowski,existing_mapping
Górnik Zabrze,gornik-zabrze,Abdullahi A.,abbati-abdullahi,existing_mapping
Górnik Zabrze,gornik-zabrze,Ambros L.,lukas-ambros,existing_mapping
Górnik Zabrze,gornik-zabrze,Bochniewicz P.,pawe-piotr-bochniewicz,existing_mapping
Górnik Zabrze,gornik-zabrze,Domingues B.,brandon-jose-domingues,existing_mapping
Górnik Zabrze,gornik-zabrze,Donio B.,bastien-donio,existing_mapping
Górnik Zabrze,gornik-zabrze,Dziegielewski N.,natan-dziegielewski,existing_mapping
Górnik Zabrze,gornik-zabrze,Gabriel Barbosa,gabriel-barbosa-avelino,existing_mapping
Górnik Zabrze,gornik-zabrze,Goh Young-Jun,young-jun-goh,existing_mapping
Górnik Zabrze,gornik-zabrze,Hellebrand P.,patrik-hellebrand,existing_mapping
Górnik Zabrze,gornik-zabrze,Ikia Dimi Y.,yvan-ikia-dimi-1,existing_mapping
Górnik Zabrze,gornik-zabrze,Ismaheel T.,taofeek-ajibade-ismaheel,existing_mapping
Górnik Zabrze,gornik-zabrze,Janicki R.,rafa-janicki,existing_mapping
Górnik Zabrze,gornik-zabrze,Janza E.,erik-janza,existing_mapping
Górnik Zabrze,gornik-zabrze,Josema,jose-manuel-sanchez-guillen,existing_mapping
Górnik Zabrze,gornik-zabrze,Khlan M.,maksym-khlan,existing_mapping
Górnik Zabrze,gornik-zabrze,Kmet M.,matus-kmet,existing_mapping
Górnik Zabrze,gornik-zabrze,Kubicki J.,jarosaw-kubicki,existing_mapping
Górnik Zabrze,gornik-zabrze,Liseth S.,sondre-liseth,existing_mapping
Górnik Zabrze,gornik-zabrze,Loska T.,tomasz-loska,existing_mapping
Górnik Zabrze,gornik-zabrze,Lukoszek K.,kamil-lukoszek,existing_mapping
Górnik Zabrze,gornik-zabrze,Massimo R.,roberto-massimo,existing_mapping
Górnik Zabrze,gornik-zabrze,Olkowski P.,pawe-mirosaw-olkowski,existing_mapping
Górnik Zabrze,gornik-zabrze,Pingot M.,maksymilian-pingot,existing_mapping
Górnik Zabrze,gornik-zabrze,Podolski L.,ukasz-jozef-podolski,existing_mapping
Górnik Zabrze,gornik-zabrze,Rakoczy M.,micha-miosz-rakoczy,review_auto_transfer_candidate
Górnik Zabrze,gornik-zabrze,Rupanov B.,borislav-ivanov-rupanov,existing_mapping
Górnik Zabrze,gornik-zabrze,Sadilek L.,lukas-sadilek,existing_mapping
Górnik Zabrze,gornik-zabrze,Sauer M.,mathias-dahl-sauer,existing_mapping
Górnik Zabrze,gornik-zabrze,Sow O.,ousmane-sow,existing_mapping
Górnik Zabrze,gornik-zabrze,Szala D.,dominik-jerzy-szala,existing_mapping
Górnik Zabrze,gornik-zabrze,Szcześniak K.,kryspin-szczesniak,existing_mapping
Górnik Zabrze,gornik-zabrze,Sáček M.,michal-sacek,existing_mapping
Górnik Zabrze,gornik-zabrze,Tsirigotis T.,theodoros-tsirigotis,existing_mapping
Górnik Zabrze,gornik-zabrze,Zahovic L.,luka-zahovic,existing_mapping
Górnik Zabrze,gornik-zabrze,Zmrzly O.,ondrej-zmrzly,existing_mapping
Górnik Zabrze,gornik-zabrze,Łubik M.,marcel-ubik,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Abramowicz S.,sawomir-abramowicz,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Bazdar S.,samed-bazdar,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Cantero A.,alejandro-cantero-sanchez,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.,tomas-costa-silva,manual_accept_review_high_confidence
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.,adrian-dieguez-grande,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Drachal D.,dawid-drachal,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Flach L.,leon-maximilian-flach,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Jackson A.,aziel-christopher-jackson,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Jesús I. B.,jesus-imaz-balleste,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Jóźwiak K.,kamil-jan-jozwiak,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Kobayashi Y.,yuki-kobayashi,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Konstantopoulos A.,apostolos-chrysovalantis-konstantopoulos,review_auto_transfer_candidate
Jagiellonia Białystok,jagiellonia-bialystok,Kozlowski E.,eryk-kozowski,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Lozano S.,sergio-lozano-lluch,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Mazurek B.,bartosz-mazurek,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Miki Villar,miguel-villar-alonso,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Montoia G.,guilherme-manuel-serrao-montoia,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Nahuel M.,matias-nahuel-leiva-esquivel,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Pelmard A.,andy-joseph-pelmard,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Piekutowski M.,miosz-piekutowski,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Pietuszewski O.,oskar-pietuszewski,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Polak C.,cezary-polak,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Pozo A.,alejandro-pozo-pozo,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Prip L.,louka-daniel-prip-andreasen,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Pululu A.,afimico-pululu,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Rallis D.,dimitris-rallis,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Romanczuk T.,taras-romanczuk,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Stojinović D.,dusan-stojinovic,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Sylla Y.,youssuf-sylla,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Szmyt K.,kajetan-szmyt,review_auto_transfer_candidate
Jagiellonia Białystok,jagiellonia-bialystok,Vital B.,bernardo-maria-morais-cardoso-vital,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Wdowik B.,bartomiej-wdowik,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Wojtuszek N.,norbert-wojtuszek,existing_mapping
Jagiellonia Białystok,jagiellonia-bialystok,Zalewski Z.,zachary-zalewski,existing_mapping
Korona Kielce,korona-kielce,Antonin,antonio-cortes-heredia,existing_mapping
Korona Kielce,korona-kielce,Budnicki J.,jakub-budnicki,existing_mapping
Korona Kielce,korona-kielce,Bąk D.,daniel-bak,review_auto_same_club_history
Korona Kielce,korona-kielce,Błanik D.,dawid-banik,existing_mapping
Korona Kielce,korona-kielce,Cebula M.,marcin-cebula,existing_mapping
Korona Kielce,korona-kielce,Ciszek K.,konrad-ciszek,existing_mapping
Korona Kielce,korona-kielce,Davidovic S.,stjepan-davidovic,existing_mapping
Korona Kielce,korona-kielce,Dziekoński X.,xavier-dziekonski,existing_mapping
Korona Kielce,korona-kielce,Długosz W.,wiktor-dugosz,existing_mapping
Korona Kielce,korona-kielce,Glowinski M.,mateusz-gowinski,existing_mapping
Korona Kielce,korona-kielce,Gustafson S.,simon-gustafson,existing_mapping
Korona Kielce,korona-kielce,Hancko A.,adam-hancko,existing_mapping
Korona Kielce,korona-kielce,Kamiński W.,wojciech-kaminski,existing_mapping
Korona Kielce,korona-kielce,Mamla R.,rafa-mamla,review_auto_same_club_history
Korona Kielce,korona-kielce,Matuszewski K.,konrad-matuszewski,existing_mapping
Korona Kielce,korona-kielce,Minuczyc K.,kacper-minuczyc,existing_mapping
Korona Kielce,korona-kielce,Nikolov V.,vladimir-nikolaev-nikolov,existing_mapping
Korona Kielce,korona-kielce,Niski N.,nikodem-niski,existing_mapping
Korona Kielce,korona-kielce,Nono,david-gonzalez-plata,existing_mapping
Korona Kielce,korona-kielce,Pięczek M.,marcel-pieczek,existing_mapping
Korona Kielce,korona-kielce,Popov V.,viktor-nikolaev-popov,existing_mapping
Korona Kielce,korona-kielce,Remacle M.,martin-christophe-jannick-remacle,existing_mapping
Korona Kielce,korona-kielce,Resta P.,pau-resta-tell,existing_mapping
Korona Kielce,korona-kielce,Rubezic S.,slobodan-rubezic,existing_mapping
Korona Kielce,korona-kielce,Smolarczyk B.,bartomiej-smolarczyk,existing_mapping
Korona Kielce,korona-kielce,Sotiriou K.,konstantinos-sotiriou,existing_mapping
Korona Kielce,korona-kielce,Strzebonski M.,miosz-strzebonski,existing_mapping
Korona Kielce,korona-kielce,Stępiński M.,mariusz-pawe-stepinski,existing_mapping
Korona Kielce,korona-kielce,Svetlin T.,tamar-svetlin,existing_mapping
Korona Kielce,korona-kielce,Zwoźny H.,hubert-zwozny,existing_mapping
Lech Poznań,lech-poznan,Agnero Y.,mel-yannick-joel-agnero,existing_mapping
Lech Poznań,lech-poznan,Andersson E.,nils-erik-elias-andersson,review_auto_same_club_history
Lech Poznań,lech-poznan,Andreev P.,plamen-plamenov-andreev,existing_mapping
Lech Poznań,lech-poznan,Baranski B.,bartomiej-pawe-baranski,review_auto_transfer_candidate
Lech Poznań,lech-poznan,Bengtsson L.,erik-martin-leo-bengtsson,existing_mapping
Lech Poznań,lech-poznan,Bąkowski K.,krzysztof-maciej-bakowski,review_auto_transfer_candidate
Lech Poznań,lech-poznan,Douglas A.,alex-raymond-douglas,existing_mapping
Lech Poznań,lech-poznan,Dudek S.,sammy-dudek,existing_mapping
Lech Poznań,lech-poznan,Fiabema B.,bryan-benjamin-solhaug-fiabema,existing_mapping
Lech Poznań,lech-poznan,Gholizadeh A.,ali-gholizadeh-nojedeh,existing_mapping
Lech Poznań,lech-poznan,Gumny R.,robert-krzysztof-gumny,existing_mapping
Lech Poznań,lech-poznan,Gurgul M.,micha-gurgul,existing_mapping
Lech Poznań,lech-poznan,Hakans D.,daniel-noel-mikael-hakans,existing_mapping
Lech Poznań,lech-poznan,Ishak M.,mikael-ishak,existing_mapping
Lech Poznań,lech-poznan,Ismaheel T.,taofeek-ajibade-ismaheel,review_auto_transfer_candidate
Lech Poznań,lech-poznan,Jagiełło F.,filip-wojciech-jagieo,existing_mapping
Lech Poznań,lech-poznan,Jakobczyk K.,kamil-jakobczyk,existing_mapping
Lech Poznań,lech-poznan,Janyszka H.,hubert-janyszka,existing_mapping
Lech Poznań,lech-poznan,Kozubal A.,antoni-kozubal,existing_mapping
Lech Poznań,lech-poznan,Lisman K.,kornel-lisman,existing_mapping
Lech Poznań,lech-poznan,Milic A.,antonio-milic,existing_mapping
Lech Poznań,lech-poznan,Monka W.,wojciech-monka,existing_mapping
Lech Poznań,lech-poznan,Moutinho J.,joao-gervasio-braganca-moutinho,existing_mapping
Lech Poznań,lech-poznan,Mrozek B.,bartosz-mrozek,existing_mapping
Lech Poznań,lech-poznan,Murawski R.,radosaw-pawe-murawski,existing_mapping
Lech Poznań,lech-poznan,Ouma T.,timothy-noor-ouma,existing_mapping
Lech Poznań,lech-poznan,Palma L.,luis-enrique-palma-oseguera,existing_mapping
Lech Poznań,lech-poznan,Pereira J.,joel-vieira-pereira,existing_mapping
Lech Poznań,lech-poznan,Rodriguez P.,pablo-rodriguez-delgado,existing_mapping
Lech Poznań,lech-poznan,Salamon B.,bartosz-salamon,review_auto_same_club_history
Lech Poznań,lech-poznan,Skrzypczak M.,mateusz-skrzypczak,existing_mapping
Lech Poznań,lech-poznan,Szymczak F.,filip-szymczak,existing_mapping
Lech Poznań,lech-poznan,Szymczak W.,filip-szymczak,existing_mapping
Lech Poznań,lech-poznan,Thordarson G.,gisli-gottskalk-orarson,existing_mapping
Lech Poznań,lech-poznan,Walemark P.,jens-patrik-walemark,existing_mapping
Lechia Gdańsk,lechia-gdansk,Awad M.,mohamed-awad-alla-hassan-ibrahim,existing_mapping
Lechia Gdańsk,lechia-gdansk,Bobcek T.,tomas-bobcek,existing_mapping
Lechia Gdańsk,lechia-gdansk,Cirkovic A.,aleksandar-cirkovic,existing_mapping
Lechia Gdańsk,lechia-gdansk,Dyachuk M.,maksym-diachuk,existing_mapping
Lechia Gdańsk,lechia-gdansk,Głogowski M.,micha-gogowski,existing_mapping
Lechia Gdańsk,lechia-gdansk,Jaunzems A.,alvis-jaunzems,existing_mapping
Lechia Gdańsk,lechia-gdansk,Kapić R.,rifet-kapic,existing_mapping
Lechia Gdańsk,lechia-gdansk,Kałahur M.,miosz-kaahur,existing_mapping
Lechia Gdańsk,lechia-gdansk,Kurminowski D.,dawid-kurminowski,existing_mapping
Lechia Gdańsk,lechia-gdansk,Kłudka B.,bartomiej-kudka,existing_mapping
Lechia Gdańsk,lechia-gdansk,Mena C.,camilo-andres-mena-marquez,existing_mapping
Lechia Gdańsk,lechia-gdansk,Neugebauer T.,tomasz-neugebauer,existing_mapping
Lechia Gdańsk,lechia-gdansk,Olsson E.,elias-oskar-olsson,existing_mapping
Lechia Gdańsk,lechia-gdansk,Paulsen A.,alexander-noah-paulsen,existing_mapping
Lechia Gdańsk,lechia-gdansk,Pllana B.,bujar-pllana,existing_mapping
Lechia Gdańsk,lechia-gdansk,Rodin M.,matej-rodin,existing_mapping
Lechia Gdańsk,lechia-gdansk,Sarnavskyi B.,bohdan-sarnavskyi,existing_mapping
Lechia Gdańsk,lechia-gdansk,Sezonienko K.,kacper-sezonienko,existing_mapping
Lechia Gdańsk,lechia-gdansk,Sinkiewicz D.,dorian-sinkiewicz,existing_mapping
Lechia Gdańsk,lechia-gdansk,Szczepankiewicz B.,bartosz-szczepankiewicz,existing_mapping
Lechia Gdańsk,lechia-gdansk,Tsarenko A.,anton-tsarenko,existing_mapping
Lechia Gdańsk,lechia-gdansk,Viunnyk B.,bohdan-viunnyk,existing_mapping
Lechia Gdańsk,lechia-gdansk,Vojtko M.,matus-vojtko,existing_mapping
Lechia Gdańsk,lechia-gdansk,Weirauch S.,szymon-weirauch,existing_mapping
Lechia Gdańsk,lechia-gdansk,Wendt K.,karl-sydney-wendt,review_auto_same_club_history
Lechia Gdańsk,lechia-gdansk,Wójtowicz T.,tomasz-wojtowicz,existing_mapping
Lechia Gdańsk,lechia-gdansk,Zhelizko I.,ivan-zhelizko,existing_mapping
Legia Warszawa,legia-warszawa,Adamski R.,rafa-adamski,existing_mapping
Legia Warszawa,legia-warszawa,Alfarela M.,allan-migouel-alfarela,existing_mapping
Legia Warszawa,legia-warszawa,Arreiol H.,henrique-miguel-sousa-arreiol,existing_mapping
Legia Warszawa,legia-warszawa,Augustyniak R.,rafa-sylwester-augustyniak,existing_mapping
Legia Warszawa,legia-warszawa,Bichakhchyan V.,vahan-bichakhchyan,existing_mapping
Legia Warszawa,legia-warszawa,Burch M.,marco-burch,existing_mapping
Legia Warszawa,legia-warszawa,Chodyna K.,kacper-chodyna,existing_mapping
Legia Warszawa,legia-warszawa,Colak A.,antonio-mirko-colak,existing_mapping
Legia Warszawa,legia-warszawa,Elitim J.,juergen-farid-elitim-sepulveda,existing_mapping
Legia Warszawa,legia-warszawa,Goncalves C.,joaquim-claude-goncalves-araujo,existing_mapping
Legia Warszawa,legia-warszawa,Gual M.,marc-gual-huguet,manual_accept_review_high_confidence
Legia Warszawa,legia-warszawa,Hindrich O.,otto-hindrich,existing_mapping
Legia Warszawa,legia-warszawa,Jędrzejczyk A.,artur-marcin-jedrzejczyk,existing_mapping
Legia Warszawa,legia-warszawa,Kapuadi S.,steve-nkanu-kapuadi,existing_mapping
Legia Warszawa,legia-warszawa,Kapustka B.,bartosz-kapustka,existing_mapping
Legia Warszawa,legia-warszawa,Kobylak G.,gabriel-kobylak,review_auto_same_club_history
Legia Warszawa,legia-warszawa,Kovacik S.,samuel-kovacik,existing_mapping
Legia Warszawa,legia-warszawa,Krasniqi E.,ermal-krasniqi,existing_mapping
Legia Warszawa,legia-warszawa,Kun P.,patryk-kun,existing_mapping
Legia Warszawa,legia-warszawa,Leszczynski J.,jan-leszczynski,existing_mapping
Legia Warszawa,legia-warszawa,Morishita R.,ryoya-morishita,existing_mapping
Legia Warszawa,legia-warszawa,Nsame J.,jean-pierre-junior-nsame,existing_mapping
Legia Warszawa,legia-warszawa,Pankov R.,radovan-pankov,existing_mapping
Legia Warszawa,legia-warszawa,Piątkowski K.,kamil-dawid-piatkowski,existing_mapping
