xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id
1.24,2.51,47,53,17,22,6,8,3,3,4,7,378,415,0,2,0,0,0.68,3.03,7,8,4,6,7,17,10,5,13,45,3,1,12,11,23,28,2,7,0.67,2.39,11,12,10,14,45,50,16,19,12,13,0,0,2,0,5,5,3.03,0.68,0.03,-0.32,2025-04-26,30,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=Sz8qUHy9,Sz8qUHy9
0.40,0.70,57,43,8,14,2,6,0,1,6,4,419,323,4,4,1,1,0.03,1.80,4,3,2,5,4,7,4,7,16,20,2,3,11,14,15,29,6,2,0.48,0.85,14,11,8,16,30,47,13,29,10,13,0,0,0,0,5,2,1.80,0.03,0.76,0.03,2025-04-26,30,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=fBRQteLE,fBRQteLE
1.34,0.66,43,57,11,11,6,3,3,1,4,3,274,406,0,1,0,0,1.67,0.73,4,6,1,2,9,9,2,2,25,23,1,1,10,15,25,24,1,3,0.57,1.06,15,10,11,9,50,43,15,22,13,12,0,1,0,1,2,3,0.73,1.67,0.73,-1.33,2025-04-26,30,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=2HvuJiT7,2HvuJiT7
2.82,0.70,39,61,14,16,9,6,4,0,4,4,233,400,0,3,0,0,2.67,0.28,1,8,4,2,10,8,4,8,24,26,2,3,12,7,25,13,3,5,0.63,1.42,7,12,15,9,63,49,22,19,15,12,0,1,0,1,6,6,0.28,2.67,0.28,-0.33,2025-04-25,30,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=SIEDXjr1,SIEDXjr1
1.49,2.64,31,69,10,18,4,9,3,4,1,5,137,396,4,1,1,1,2.62,4.59,5,3,1,6,6,15,4,3,13,32,0,1,13,14,16,24,1,6,0.64,1.41,14,13,6,5,46,37,27,17,13,0,0,0,0,0,4,0,4.59,2.62,-0.41,-1.38,2025-04-25,30,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/puszcza-dtqx13O8/szczegoly/statystyki/?mid=jwLZvZkR,jwLZvZkR
0.38,1.58,47,53,7,10,2,3,0,1,4,6,373,434,4,0,1,0,0.69,0.84,4,5,1,2,5,5,2,5,14,15,3,1,7,16,31,33,6,2,0.63,0.87,16,7,12,11,41,49,11,19,5,11,1,1,0,0,3,2,0.84,0.69,0.84,0.69,2025-04-22,29,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=McoIDdiS,McoIDdiS
1.51,0.52,50,50,22,8,10,3,3,1,7,3,381,375,2,3,0,0,1.96,0.91,10,3,2,2,15,5,7,3,30,16,1,3,9,11,16,27,4,5,1.29,0.58,11,9,8,9,35,47,21,22,8,4,0,0,0,0,2,8,0.91,1.96,-0.09,-0.04,2025-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=lC9sE5oB,lC9sE5oB
2.79,1.14,55,45,15,11,4,3,3,1,9,2,326,257,1,2,0,0,2.30,1.27,7,6,4,2,12,7,3,4,45,12,2,0,8,7,20,28,8,5,1.69,0.89,7,8,12,17,44,51,25,33,4,7,0,0,0,1,2,2,1.27,2.30,0.27,0.30,2025-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=KbWEecVq,KbWEecVq
1.35,2.21,62,38,17,13,4,7,1,4,13,2,351,182,2,3,0,0,1.09,2.67,8,5,5,1,10,9,7,4,26,24,2,0,12,7,14,26,8,1,1.32,0.54,7,12,5,12,43,43,24,32,3,9,0,0,0,0,4,3,2.67,1.09,-0.33,0.09,2025-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=hpGYFRGb,hpGYFRGb
0.75,1.14,47,53,9,14,2,5,1,2,5,6,205,252,4,3,0,0,1.28,1.56,4,5,3,4,4,9,5,5,15,20,3,0,12,16,23,26,2,7,0.33,1.15,16,12,5,3,48,45,17,40,6,5,0,0,0,0,3,0,1.56,1.28,-0.44,-0.72,2025-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=EXsAFIMF,EXsAFIMF
1.68,0.27,66,34,19,5,8,0,4,0,13,2,400,179,1,4,0,1,1.46,0.00,7,2,4,3,12,3,7,2,28,10,1,0,13,13,19,10,10,1,1.75,0.18,13,13,11,7,43,39,18,27,10,7,0,0,0,0,0,7,0.00,1.46,0.00,0.46,2025-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=hIg1Hvh3,hIg1Hvh3
0.94,1.29,53,47,13,6,1,3,0,1,4,4,374,336,0,3,0,0,0.00,1.61,7,3,5,0,8,6,4,0,23,16,3,0,15,10,22,19,6,1,0.76,0.67,10,15,7,10,33,34,17,33,10,12,0,0,0,0,1,0,1.61,0.00,-0.39,0.00,2025-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=vFRl8zFk,vFRl8zFk
1.52,0.92,54,46,18,13,1,8,1,1,7,4,370,328,0,3,0,0,0.15,1.86,10,3,7,2,16,8,2,5,38,19,2,1,16,11,25,25,8,3,1.17,0.86,11,16,11,10,51,46,30,36,7,12,0,0,0,0,6,1,1.86,0.15,0.83,0.15,2025-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=CSPd6Eq2,CSPd6Eq2
0.52,0.57,55,45,12,12,4,4,1,2,2,7,321,251,3,1,0,0,1.15,1.50,6,5,2,3,7,5,5,7,23,17,3,1,14,18,18,15,4,3,0.74,0.73,18,14,17,9,72,50,25,29,10,11,0,0,1,0,3,3,1.50,1.15,0.50,0.15,2025-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=QB1Fgy0d,QB1Fgy0d
1.70,1.64,63,37,25,7,7,2,2,3,11,1,456,247,0,1,0,0,2.00,1.17,10,3,8,2,17,6,8,1,39,17,2,3,8,6,20,23,8,3,1.37,0.91,6,8,14,8,53,39,8,33,9,10,0,1,0,0,0,4,1.17,2.00,-0.83,-1.00,2025-04-14,28,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=6Tii3lXh,6Tii3lXh
1.57,0.48,60,40,20,12,3,2,1,1,5,3,409,256,1,4,0,1,1.14,0.40,9,5,8,5,18,6,2,6,31,19,0,2,15,15,22,20,8,3,1.13,0.47,15,15,7,14,50,42,17,22,6,14,0,0,0,0,1,3,0.40,1.14,-0.60,1.14,2025-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=vsja1S15,vsja1S15
1.30,1.39,48,52,14,13,6,6,2,2,6,4,365,413,0,1,0,0,1.11,2.09,6,4,2,3,13,9,1,4,33,23,1,4,11,11,22,19,7,4,0.63,2.06,11,11,10,8,40,33,12,35,7,10,0,0,0,0,4,5,2.09,1.11,0.09,0.11,2025-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=z9q8a6WH,z9q8a6WH
0.93,0.92,33,67,11,15,4,4,2,1,3,5,180,448,1,0,0,0,1.45,0.29,5,7,2,4,5,10,6,5,11,23,0,5,9,12,17,29,1,5,0.54,1.11,12,9,9,12,43,56,31,26,7,12,0,1,0,1,3,2,0.29,1.45,-0.08,-0.55,2025-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=t6nGcp1U,t6nGcp1U
1.13,0.95,59,41,17,12,6,5,1,2,9,5,377,238,1,3,0,0,1.37,0.85,8,4,3,3,11,6,6,6,26,15,2,0,15,10,18,34,8,4,0.78,0.45,10,15,3,10,39,47,21,40,8,5,0,0,0,0,4,4,0.85,1.37,-0.17,-0.63,2025-04-12,28,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pKCQHmnn,pKCQHmnn
1.53,2.36,50,50,17,24,4,9,1,2,2,6,250,274,2,0,0,0,1.27,2.16,6,9,7,6,9,15,8,9,19,32,3,0,12,13,23,16,4,5,0.66,1.75,13,12,11,9,47,45,13,16,7,11,1,0,1,0,5,2,2.16,1.27,-1.84,0.27,2025-04-12,28,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=C6WHlkIa,C6WHlkIa
2.61,0.62,62,38,25,9,9,2,4,0,2,5,441,215,0,1,0,0,3.46,0.74,10,4,6,3,16,7,9,2,34,28,0,2,15,2,31,26,1,7,1.99,1.15,2,15,8,15,55,46,26,22,10,13,0,1,0,0,1,6,0.74,3.46,-0.26,1.46,2025-04-12,28,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/puszcza-dtqx13O8/szczegoly/statystyki/?mid=KWZPnTnC,KWZPnTnC
1.40,0.90,53,47,18,11,5,2,1,1,9,4,261,218,3,3,0,0,2.41,1.00,7,6,6,3,11,8,7,3,18,16,0,1,19,11,25,20,6,4,0.87,0.22,11,19,12,10,63,49,22,29,6,6,0,1,0,0,1,3,1.00,2.41,0.00,0.41,2025-04-11,28,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=A1br5A2t,A1br5A2t
1.70,1.11,31,69,14,13,5,7,2,1,3,2,196,548,3,4,0,0,2.44,1.54,6,2,3,4,9,5,5,8,29,25,0,1,9,13,10,32,3,2,0.55,0.65,13,9,7,7,43,58,28,13,7,9,0,0,0,0,6,3,1.54,2.44,0.66,0.44,2025-04-11,28,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=tnOYp7HO,tnOYp7HO
1.39,1.15,46,54,19,18,4,6,2,1,5,4,209,271,3,1,0,0,1.32,1.77,8,9,7,3,13,10,6,8,30,25,0,1,11,16,27,26,5,8,0.96,1.04,16,11,6,10,55,57,31,30,14,5,0,0,0,0,5,3,1.77,1.32,0.77,0.32,2025-04-07,27,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=jw3zxCYg,jw3zxCYg
2.75,0.51,50,50,18,10,8,0,5,0,6,4,303,289,0,1,0,0,4.36,0.00,5,5,5,5,15,9,3,2,36,23,0,3,9,6,23,22,4,5,2.51,0.73,6,9,7,8,39,28,26,18,5,14,0,2,0,0,0,4,0.00,4.36,0.00,0.36,2025-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=rDaSwY3s,rDaSwY3s
1.47,1.63,52,48,15,6,4,2,3,3,5,5,429,398,2,3,0,0,1.36,1.37,6,2,5,2,12,5,3,1,21,25,2,1,14,16,18,12,5,3,1.10,0.66,16,14,16,12,46,47,19,22,11,9,0,1,0,0,0,3,1.37,1.36,-0.63,0.17,2025-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=CWF8NCJ0,CWF8NCJ0
1.62,0.92,56,44,12,13,3,4,3,1,5,4,414,299,0,2,0,0,1.27,1.59,7,4,2,5,6,6,6,7,40,17,2,5,12,8,25,26,5,3,1.48,0.60,8,12,7,13,48,41,17,36,9,7,1,0,0,0,3,2,1.59,1.27,0.59,0.27,2025-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=8b9HLjlD,8b9HLjlD
1.53,1.30,62,38,14,18,4,5,3,0,5,6,448,242,1,4,0,0,2.01,0.57,6,8,4,5,9,10,5,8,30,23,1,1,13,12,12,21,5,5,1.10,1.39,12,13,8,12,44,48,22,18,7,6,0,0,0,0,5,2,0.57,2.01,0.57,0.00,2025-04-05,27,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=0hd3qftK,0hd3qftK
1.33,1.90,43,57,10,23,3,4,1,1,2,8,245,342,2,1,0,0,1.47,1.33,3,10,4,9,7,14,3,9,21,24,4,5,18,7,20,13,2,7,0.65,1.63,7,18,12,10,52,45,30,16,7,8,0,0,0,0,3,2,1.33,1.47,0.33,0.47,2025-04-05,27,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=Gvw9jBmm,Gvw9jBmm
0.52,0.63,55,45,13,11,3,3,0,1,7,5,272,203,1,3,0,0,0.08,0.53,2,5,8,3,9,6,4,5,24,22,0,1,10,14,24,25,3,6,0.52,0.88,14,10,7,11,50,56,14,27,7,11,0,0,0,0,2,3,0.53,0.08,-0.47,0.08,2025-04-05,27,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=Chiqzj36,Chiqzj36
2.29,0.64,55,45,11,6,5,3,4,1,4,5,353,273,2,2,0,0,1.91,0.93,3,2,3,1,8,4,3,2,32,14,2,2,13,20,23,23,2,4,0.97,0.58,20,13,7,10,41,55,18,23,12,7,0,0,0,0,3,3,0.93,1.91,0.93,-0.09,2025-04-04,27,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=K8iwdXPP,K8iwdXPP
0.58,1.83,47,53,10,19,3,4,2,1,6,3,350,432,1,2,0,0,0.99,1.00,4,10,3,5,7,13,3,6,19,29,2,2,11,8,28,25,4,6,0.99,0.89,8,11,6,8,37,38,22,21,11,8,0,0,1,0,3,2,1.00,0.99,0.00,-0.01,2025-04-04,27,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=KIfiYTXI,KIfiYTXI
0.61,1.30,19,81,9,21,2,5,0,1,4,12,74,491,3,4,1,0,1.19,0.73,5,6,2,10,7,10,2,11,12,34,0,0,9,12,12,19,4,7,0.32,1.24,12,9,4,4,39,51,52,8,8,5,0,0,1,0,3,2,0.73,1.19,-1.27,1.19,2025-03-31,26,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=dKZmoefA,dKZmoefA
0.97,2.66,41,59,17,25,5,9,0,4,4,9,309,485,1,1,0,0,0.99,2.74,9,7,3,9,8,15,9,10,21,34,2,0,9,13,24,40,10,2,0.76,1.68,13,9,12,5,37,40,13,19,10,8,0,0,0,0,8,3,2.74,0.99,1.74,-1.01,2025-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/gornik-zabrze-2LH3Ywq4/szczegoly/statystyki/?mid=z5oumHPc,z5oumHPc
1.49,1.24,46,54,14,18,7,4,1,1,3,6,341,399,1,1,0,0,2.96,1.36,3,10,4,4,8,8,6,10,16,26,2,2,10,16,14,37,4,12,1.17,1.42,16,10,5,8,38,54,38,25,6,7,0,1,0,0,3,3,1.36,2.96,0.36,-0.04,2025-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=vLdKq3z3,vLdKq3z3
1.02,1.76,61,39,18,10,2,4,2,3,8,5,318,187,2,4,0,0,0.73,2.34,12,3,4,3,11,6,7,4,21,11,0,1,17,12,22,16,8,2,1.03,0.41,12,17,10,12,52,54,26,41,7,10,0,0,0,0,1,1,2.34,0.73,-0.66,-0.27,2025-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=UomeqZOM,UomeqZOM
2.56,1.70,39,61,20,12,6,3,4,1,6,5,224,375,5,2,0,0,2.62,1.67,9,5,5,4,12,9,8,3,29,39,1,0,13,12,22,17,3,7,1.50,1.18,12,13,13,14,52,62,37,18,9,9,0,3,0,1,2,3,1.67,2.62,0.67,-0.38,2025-03-29,26,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=46C0PYll,46C0PYll
1.01,1.07,44,56,17,19,5,1,1,2,3,11,257,337,2,0,0,0,0.97,0.02,7,9,5,9,11,13,6,6,24,51,0,0,8,10,23,23,2,9,0.65,1.37,10,8,13,9,53,66,49,29,11,7,0,2,0,0,1,4,0.02,0.97,0.02,-0.03,2025-03-29,26,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=lWTRwDnp,lWTRwDnp
2.08,0.63,50,50,20,9,4,4,4,1,5,4,269,250,3,2,0,1,1.49,0.91,7,2,9,3,12,7,8,2,17,19,1,0,17,8,17,37,6,7,1.42,1.05,8,17,8,19,39,60,24,10,6,14,0,0,0,0,3,1,0.91,1.49,-0.09,-1.51,2025-03-29,26,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/puszcza-dtqx13O8/szczegoly/statystyki/?mid=8bggPDXj,8bggPDXj
1.30,0.99,57,43,14,11,5,4,1,0,8,5,376,259,2,3,0,0,2.17,0.69,3,3,6,4,8,8,6,3,37,22,3,0,12,11,27,29,4,3,0.70,0.92,11,12,4,7,41,31,24,29,10,17,0,0,0,0,4,5,0.69,2.17,0.69,2.17,2025-03-28,26,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=MqSZyiHd,MqSZyiHd
1.02,1.77,53,47,16,13,5,3,1,2,6,2,395,363,1,1,0,0,1.55,1.48,9,6,2,4,12,5,4,8,31,9,6,0,7,12,15,34,7,3,0.87,0.83,12,7,13,16,55,50,14,35,6,12,0,0,0,0,1,5,1.48,1.55,-0.52,1.55,2025-03-28,26,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=pIaSss5F,pIaSss5F
1.39,1.31,31,69,11,16,1,2,1,1,0,4,153,434,3,3,0,0,,,6,7,4,7,7,8,4,8,27,18,1,0,15,17,,,3,5,,,17,15,11,7,,,45,18,8,10,0,0,0,0,1,0,,,0,0,2025-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=AszWLvRb,AszWLvRb
1.89,1.50,49,51,16,11,6,7,2,2,7,5,304,325,2,2,0,0,,,6,2,4,2,11,9,5,2,19,20,5,1,13,15,,,7,1,,,15,13,10,10,,,14,38,8,5,0,0,0,0,5,3,,,0,0,2025-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=M1L5YHA4,M1L5YHA4
0.54,1.39,27,73,8,15,2,4,0,1,7,8,106,472,1,1,0,0,,,4,5,2,6,5,9,3,5,17,33,1,1,8,16,,,4,5,,,16,8,22,9,,,40,20,9,9,0,0,0,0,3,1,,,0,0,2025-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=reYwKIeB,reYwKIeB
2.14,2.02,28,72,10,19,5,6,3,3,1,11,133,477,2,2,0,0,,,3,9,2,4,6,9,4,10,20,25,1,0,10,18,,,5,7,,,18,10,10,5,,,53,21,19,4,0,0,0,0,5,3,,,0,0,2025-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/puszcza-dtqx13O8/szczegoly/statystyki/?mid=YuuBCzlo,YuuBCzlo
0.74,1.05,45,55,11,18,5,3,1,1,3,6,314,407,4,0,0,0,,,3,13,3,2,7,12,4,6,13,25,0,2,11,12,,,3,7,,,12,11,15,11,,,17,13,7,7,0,0,0,0,3,4,,,0,0,2025-03-15,25,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=lECMUZ9T,lECMUZ9T
2.14,1.17,48,52,18,9,10,2,3,2,3,11,385,403,3,1,0,0,,,4,3,4,4,9,5,9,4,19,26,1,5,10,8,,,3,5,,,8,10,14,4,,,34,11,15,4,0,0,0,0,2,6,,,0,0,2025-03-15,25,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=EFtNN0dn,EFtNN0dn
1.52,3.29,39,61,12,19,4,11,1,4,6,4,223,416,0,3,1,0,,,4,2,4,6,10,11,2,8,24,39,2,1,15,11,,,8,3,,,11,15,11,4,,,29,22,9,9,0,0,0,0,7,3,,,0,0,2025-03-15,25,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=G0EEWeuH,G0EEWeuH
2.71,1.88,66,34,16,10,6,5,3,2,5,0,450,190,1,2,0,1,,,6,5,4,0,13,7,3,3,34,18,1,2,11,7,,,9,2,,,7,11,12,9,,,23,34,7,7,0,0,0,0,3,1,,,0,0,2025-03-14,25,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=2cluIdQN,2cluIdQN
1.17,0.92,46,54,12,5,5,1,3,2,5,2,208,271,6,3,0,0,,,3,3,4,1,7,5,5,0,19,12,0,1,17,14,,,6,3,,,14,17,11,10,,,38,21,3,12,0,0,0,0,0,3,,,0,0,2025-03-14,25,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=EyIczvth,EyIczvth
2.46,2.67,47,53,15,29,6,3,5,4,4,6,288,341,2,4,0,0,,,8,10,1,16,12,16,3,13,24,48,2,0,13,12,,,5,8,,,12,13,13,10,,,28,23,8,4,0,0,0,0,0,3,,,0,0,2025-03-10,24,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=E11l91sg,E11l91sg
1.13,0.75,50,50,19,7,5,2,1,2,13,2,291,338,4,3,0,0,,,6,2,8,3,10,3,9,4,29,23,2,2,13,14,,,6,1,,,14,13,13,13,,,17,43,5,14,0,0,0,0,1,5,,,0,0,2025-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=2yD45JtI,2yD45JtI
2.45,1.44,52,48,22,10,3,3,1,2,5,4,325,314,2,4,0,0,,,10,5,9,2,16,9,6,1,42,24,0,1,10,10,,,7,3,,,10,10,15,7,,,12,45,10,16,0,0,0,0,1,2,,,0,0,2025-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=tl3tBNCt,tl3tBNCt
0.84,0.97,59,41,7,18,2,0,1,0,3,8,309,178,2,3,0,0,,,3,13,2,5,5,9,2,9,17,21,1,0,11,9,,,3,9,,,9,11,4,14,,,42,17,6,10,0,0,0,0,0,1,,,0,0,2025-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KzAD7l6l,KzAD7l6l
3.03,0.49,59,41,24,11,14,3,5,1,5,6,478,308,2,2,0,0,,,2,4,8,4,14,5,10,6,25,12,5,1,9,11,,,4,6,,,11,9,12,10,,,13,20,6,7,0,0,0,0,2,11,,,0,0,2025-03-08,24,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=S6dU365D,S6dU365D
0.71,1.05,57,43,10,8,4,7,1,2,2,2,349,262,3,1,0,0,,,5,1,1,0,7,2,3,6,21,9,1,1,19,18,,,6,2,,,18,19,9,5,,,10,28,10,7,0,0,0,0,4,4,,,0,0,2025-03-08,24,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=ATfc7uC5,ATfc7uC5
0.17,0.91,53,47,5,14,2,4,0,1,5,7,292,244,1,2,0,0,,,0,6,3,4,1,9,4,5,10,17,2,3,14,10,,,0,6,,,10,14,7,13,,,20,23,7,13,0,0,0,0,2,1,,,0,0,2025-03-08,24,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=lhJsDArR,lhJsDArR
