xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id
0.78,1.76,41,59,9,25,3,9,4,1,5,9,266,428,3,2,0,0,0.98,2.43,4,8,2,8,7,17,2,8,19,34,1,0,7,13,25,16,5,8,0.45,2.02,13,7,6,5,24,35,30,25,8,7,0,0,0,0,7,1,2.43,0.98,0.45,-1.02,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=CQMHkpLq,CQMHkpLq
1.98,1.03,45,55,18,12,7,5,5,0,8,1,270,357,2,4,0,0,1.80,1.40,8,2,3,5,10,7,8,5,19,27,2,0,16,8,22,21,6,4,0.65,0.63,8,16,13,5,56,40,24,16,12,7,0,0,0,2,4,4,1.40,1.80,0.11,-1.20,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=httoe6cM,httoe6cM
1.45,0.77,46,54,17,16,5,3,2,0,4,7,296,350,2,0,0,0,1.19,0.62,6,5,6,8,15,6,2,10,32,23,3,2,12,12,16,27,2,3,1.11,0.34,12,12,9,10,39,36,27,14,10,14,0,1,0,0,3,4,0.62,1.19,0.62,0.19,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=OMP4BRs3,OMP4BRs3
0.51,1.66,29,71,6,17,4,3,0,2,3,12,128,442,3,1,0,0,0.46,0.94,2,12,0,2,5,10,1,7,13,47,1,0,6,7,17,26,2,11,0.17,1.12,7,6,13,8,35,45,43,7,9,17,0,0,0,0,2,3,0.94,0.46,-0.06,-0.54,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pvLPmOkd,pvLPmOkd
1.29,0.59,38,62,14,7,5,1,3,1,5,2,243,454,2,4,0,0,1.67,0.26,9,5,0,1,6,6,8,1,23,23,0,4,14,14,17,53,2,3,0.72,1.02,14,14,6,10,46,50,27,29,7,10,0,0,0,0,1,3,0.26,1.67,0.26,-0.33,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=WnTC95CF,WnTC95CF
0.99,1.19,43,57,17,11,3,5,1,3,6,4,285,402,4,2,0,0,1.10,1.62,9,3,5,3,11,6,6,5,20,32,0,1,4,8,30,21,7,3,0.84,1.30,8,4,10,7,33,32,21,21,8,14,0,0,0,0,2,0,1.62,1.10,-1.38,-0.90,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=h2HL7qsS,h2HL7qsS
0.74,1.96,48,52,12,23,7,6,2,2,4,7,304,334,1,1,0,0,1.83,1.90,2,9,3,8,11,15,1,8,25,50,1,1,12,13,24,26,3,5,0.78,2.11,13,12,14,15,47,48,31,18,13,11,0,1,0,1,5,6,1.90,1.83,0.90,0.73,2025-05-16,33,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=dl3oO4R8,dl3oO4R8
0.92,0.63,56,44,12,8,6,4,0,1,3,8,434,328,0,2,0,0,2.52,0.92,5,2,1,2,7,5,5,2,19,21,0,2,22,3,31,23,4,6,1.45,1.09,3,22,8,11,47,43,22,17,9,12,0,0,0,0,2,4,0.92,2.52,-0.08,0.52,2025-05-16,33,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=Op8i2N4k,Op8i2N4k
1.51,1.66,55,45,19,10,2,5,1,4,6,7,364,300,1,6,0,2,0.49,1.21,8,1,9,4,11,7,8,3,28,21,1,2,17,12,23,16,4,3,0.96,0.49,12,17,12,12,63,42,19,33,9,8,0,0,1,0,3,2,1.21,0.49,-0.79,0.49,2025-05-15,31,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=fq3Gm3Yb,fq3Gm3Yb
1.21,0.50,55,45,15,13,8,1,4,1,7,5,356,291,1,2,0,0,2.37,0.02,1,5,6,7,10,7,5,6,26,23,1,2,11,10,32,17,7,1,1.10,0.93,10,11,6,6,33,28,26,24,11,6,0,0,0,2,1,5,0.02,2.37,0.02,-0.63,2025-05-14,31,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=z5gdr8dJ,z5gdr8dJ
