xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id,gosp_nazwa,gosc_nazwa
0.78,1.76,41,59,9,25,3,9,4.0,1.0,5,9,266.0,428.0,3,2,0,0,0.98,2.43,4,8,2.0,8.0,7.0,17.0,2.0,8.0,19.0,34.0,1.0,0.0,7.0,13.0,25.0,16.0,5.0,8.0,0.45,2.02,13,7,6.0,5.0,24.0,35.0,30.0,25.0,8.0,7.0,0,0,0,0,7,1,2.43,0.98,0.45,-1.02,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=CQMHkpLq,CQMHkpLq,KAT 2-2 LEC | GKS Katowice,Lech Poznań
1.98,1.03,45,55,18,12,7,5,5.0,0.0,8,1,270.0,357.0,2,4,0,0,1.8,1.4,8,2,3.0,5.0,10.0,7.0,8.0,5.0,19.0,27.0,2.0,0.0,16.0,8.0,22.0,21.0,6.0,4.0,0.65,0.63,8,16,13.0,5.0,56.0,40.0,24.0,16.0,12.0,7.0,0,0,0,2,4,4,1.4,1.8,0.11,-1.2,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=httoe6cM,httoe6cM,CRA 3-1 LEG | Cracovia,Legia Warszawa
1.45,0.77,46,54,17,16,5,3,2.0,0.0,4,7,296.0,350.0,2,0,0,0,1.19,0.62,6,5,6.0,8.0,15.0,6.0,2.0,10.0,32.0,23.0,3.0,2.0,12.0,12.0,16.0,27.0,2.0,3.0,1.11,0.34,12,12,9.0,10.0,39.0,36.0,27.0,14.0,10.0,14.0,0,1,0,0,3,4,0.62,1.19,0.62,0.19,2025-05-18,33,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=OMP4BRs3,OMP4BRs3,MOT 1-0 ZAG | Motor Lublin,Zagłębie Lubin
0.51,1.66,29,71,6,17,4,3,0.0,2.0,3,12,128.0,442.0,3,1,0,0,0.46,0.94,2,12,0.0,2.0,5.0,10.0,1.0,7.0,13.0,47.0,1.0,0.0,6.0,7.0,17.0,26.0,2.0,11.0,0.17,1.12,7,6,13.0,8.0,35.0,45.0,43.0,7.0,9.0,17.0,0,0,0,0,2,3,0.94,0.46,-0.06,-0.54,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pvLPmOkd,pvLPmOkd,KOR 1-1 RAK | Korona Kielce,Raków Częstochowa
1.29,0.59,38,62,14,7,5,1,3.0,1.0,5,2,243.0,454.0,2,4,0,0,1.67,0.26,9,5,0.0,1.0,6.0,6.0,8.0,1.0,23.0,23.0,0.0,4.0,14.0,14.0,17.0,53.0,2.0,3.0,0.72,1.02,14,14,6.0,10.0,46.0,50.0,27.0,29.0,7.0,10.0,0,0,0,0,1,3,0.26,1.67,0.26,-0.33,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=WnTC95CF,WnTC95CF,PIA 2-0 GOR | Piast Gliwice,Górnik Zabrze
0.99,1.19,43,57,17,11,3,5,1.0,3.0,6,4,285.0,402.0,4,2,0,0,1.1,1.62,9,3,5.0,3.0,11.0,6.0,6.0,5.0,20.0,32.0,0.0,1.0,4.0,8.0,30.0,21.0,7.0,3.0,0.84,1.3,8,4,10.0,7.0,33.0,32.0,21.0,21.0,8.0,14.0,0,0,0,0,2,0,1.62,1.1,-1.38,-0.9,2025-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=h2HL7qsS,h2HL7qsS,POG 3-3 GDA | Pogoń Szczecin,Lechia Gdańsk
0.74,1.96,48,52,12,23,7,6,2.0,2.0,4,7,304.0,334.0,1,1,0,0,1.83,1.9,2,9,3.0,8.0,11.0,15.0,1.0,8.0,25.0,50.0,1.0,1.0,12.0,13.0,24.0,26.0,3.0,5.0,0.78,2.11,13,12,14.0,15.0,47.0,48.0,31.0,18.0,13.0,11.0,0,1,0,1,5,6,1.9,1.83,0.9,0.73,2025-05-16,33,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=dl3oO4R8,dl3oO4R8,SLA 1-1 JAG | Śląsk Wrocław,Jagiellonia Białystok
0.92,0.63,56,44,12,8,6,4,0.0,1.0,3,8,434.0,328.0,0,2,0,0,2.52,0.92,5,2,1.0,2.0,7.0,5.0,5.0,2.0,19.0,21.0,0.0,2.0,22.0,3.0,31.0,23.0,4.0,6.0,1.45,1.09,3,22,8.0,11.0,47.0,43.0,22.0,17.0,9.0,12.0,0,0,0,0,2,4,0.92,2.52,-0.08,0.52,2025-05-16,33,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=Op8i2N4k,Op8i2N4k,STA 2-2 RAD | Stal Mielec,Radomiak Radom
1.51,1.66,55,45,19,10,2,5,1.0,4.0,6,7,364.0,300.0,1,6,0,2,0.49,1.21,8,1,9.0,4.0,11.0,7.0,8.0,3.0,28.0,21.0,1.0,2.0,17.0,12.0,23.0,16.0,4.0,3.0,0.96,0.49,12,17,12.0,12.0,63.0,42.0,19.0,33.0,9.0,8.0,0,0,1,0,3,2,1.21,0.49,-0.79,0.49,2025-05-15,31,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=fq3Gm3Yb,fq3Gm3Yb,WID 0-2 LEG | Widzew Łódź,Legia Warszawa
1.21,0.5,55,45,15,13,8,1,4.0,1.0,7,5,356.0,291.0,1,2,0,0,2.37,0.02,1,5,6.0,7.0,10.0,7.0,5.0,6.0,26.0,23.0,1.0,2.0,11.0,10.0,32.0,17.0,7.0,1.0,1.1,0.93,10,11,6.0,6.0,33.0,28.0,26.0,24.0,11.0,6.0,0,0,0,2,1,5,0.02,2.37,0.02,-0.63,2025-05-14,31,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=z5gdr8dJ,z5gdr8dJ,POG 3-0 MOT | Pogoń Szczecin,Motor Lublin
1.09,3.01,42,58,20,22,4,9,2.0,3.0,6,6,261.0,398.0,3,1,0,0,0.23,4.57,8,5,8.0,8.0,10.0,15.0,10.0,7.0,32.0,40.0,3.0,2.0,8.0,16.0,26.0,33.0,3.0,7.0,0.62,1.67,16,8,13.0,11.0,45.0,50.0,30.0,45.0,10.0,3.0,0,1,0,0,6,2,4.57,0.23,1.57,-0.77,2025-05-12,32,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=bNdryo6j,bNdryo6j,PUS 2-3 STA | Puszcza Niepołomice,Stal Mielec
1.19,0.69,49,51,13,13,3,1,0.0,0.0,8,5,318.0,363.0,2,2,0,0,0.3,0.68,6,5,4.0,7.0,8.0,8.0,5.0,5.0,39.0,20.0,0.0,1.0,11.0,15.0,13.0,17.0,9.0,6.0,1.52,0.72,15,11,11.0,9.0,40.0,45.0,18.0,29.0,7.0,5.0,0,0,0,0,0,3,0.68,0.3,-0.32,0.3,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=6PH3rTDG,6PH3rTDG,LEG 0-1 LEC | Legia Warszawa,Lech Poznań
0.85,1.95,51,49,12,17,4,4,1.0,2.0,1,10,339.0,291.0,0,1,0,0,1.05,1.56,5,9,3.0,4.0,6.0,11.0,6.0,6.0,17.0,39.0,2.0,0.0,7.0,13.0,34.0,23.0,1.0,11.0,0.93,2.28,13,7,9.0,11.0,40.0,55.0,43.0,27.0,9.0,8.0,0,1,0,0,3,2,1.56,1.05,0.56,-0.95,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gks-katowice-K4AgRmS1/szczegoly/statystyki/?mid=OOfXqLXN,OOfXqLXN,KAT 2-1 CRA | GKS Katowice,Cracovia
2.96,1.06,45,55,12,11,7,5,4.0,1.0,4,2,238.0,298.0,2,1,0,0,3.21,1.09,3,3,2.0,3.0,9.0,7.0,3.0,4.0,26.0,20.0,0.0,1.0,12.0,11.0,18.0,30.0,3.0,2.0,1.57,0.93,11,12,9.0,23.0,53.0,58.0,23.0,22.0,9.0,10.0,0,1,0,0,3,4,1.09,3.21,-0.91,0.21,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=AcOfpkq4,AcOfpkq4,GDA 3-2 KOR | Lechia Gdańsk,Korona Kielce
0.69,2.15,46,54,13,14,2,4,1.0,2.0,6,5,247.0,320.0,3,4,1,0,0.23,2.27,6,6,5.0,4.0,9.0,8.0,4.0,6.0,24.0,17.0,3.0,1.0,16.0,10.0,24.0,10.0,6.0,3.0,0.85,0.54,10,16,9.0,8.0,51.0,33.0,12.0,35.0,5.0,9.0,0,0,0,0,2,1,2.27,0.23,0.27,-0.77,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pGxwcSS9,pGxwcSS9,RAK 1-2 JAG | Raków Częstochowa,Jagiellonia Białystok
1.04,0.89,36,64,14,16,5,3,2.0,1.0,4,5,186.0,398.0,0,0,0,0,2.04,0.94,6,7,3.0,6.0,11.0,8.0,3.0,8.0,15.0,22.0,0.0,2.0,12.0,7.0,21.0,21.0,8.0,5.0,0.83,0.96,7,12,7.0,8.0,43.0,34.0,42.0,15.0,7.0,7.0,0,0,0,0,2,3,0.94,2.04,-0.06,0.04,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=xWAmnBEi,xWAmnBEi,ZAG 2-1 WID | Zagłębie Lubin,Widzew Łódź
