xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,faule_gosp,faule_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,zapobiegniecia_gosc,bledy_strzal_gosc,bledy_gol_gosc,bledy_gol_gosp,zapobiegniecia_gosp,czk_gosc,czk_gosp,bledy_strzal_gosp,data_meczu_flash,kolejka_flash,url,flash_id,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc
1.23,1.79,26,74,8,13,3,4,2,7,110,480,4,0,5,9,3,0,9,12,10,10,3,2,0,0,0,0,0,0,0,0,2024-04-05,27,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=nNLCls8N,nNLCls8N,,
0.99,1.41,40,60,20,11,5,4,5,5,216,364,5,2,15,7,1,1,10,16,18,10,2,3,0,0,0,0,0,0,0,0,2024-04-05,27,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=tKVig5gh,tKVig5gh,,
0.67,1.01,40,60,9,20,2,8,2,5,223,392,0,1,7,12,1,1,11,9,10,10,7,1,0,0,0,0,0,0,0,0,2024-04-02,26,https://www.flashscore.pl/mecz/pilka-nozna/warta-poznan-CrVUWAl8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=YgSqeROu,YgSqeROu,,
1.88,1.66,58,42,16,9,2,6,6,6,499,338,1,3,14,3,0,4,13,14,12,10,3,1,0,0,0,0,0,0,0,0,2024-04-01,26,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=YZ7KhY2s,YZ7KhY2s,,
1.14,1.88,61,39,14,15,4,4,7,9,415,227,1,1,10,11,1,2,12,11,11,10,3,1,0,0,0,0,0,0,0,0,2024-04-01,26,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=CpRmfovn,CpRmfovn,,
0.88,1.90,44,56,9,18,3,5,8,8,254,356,2,0,6,13,0,0,16,4,7,17,5,3,0,0,0,0,0,0,0,0,2024-04-01,26,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=YFPymUWI,YFPymUWI,,
0.93,1.01,49,51,12,20,4,8,3,3,200,238,0,3,8,12,2,0,13,16,15,13,7,3,0,0,0,0,0,1,0,0,2024-04-01,26,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=QkMTlj26,QkMTlj26,,
1.08,1.00,61,39,13,12,3,2,1,6,489,254,3,0,10,10,3,1,8,10,8,8,1,1,0,0,0,0,0,0,0,0,2024-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=naNPkWn0,naNPkWn0,,
1.03,1.36,47,53,14,10,3,4,14,1,301,354,3,2,11,6,2,1,8,13,12,8,2,1,0,0,0,0,0,0,0,0,2024-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=6m6SjCXg,6m6SjCXg,,
3.33,0.74,64,36,28,8,9,2,12,2,479,255,1,1,19,6,2,3,15,10,8,13,2,3,0,0,0,0,0,1,0,0,2024-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=Sd7OihIm,Sd7OihIm,,
0.97,0.23,36,64,13,12,3,2,3,3,198,405,0,3,10,10,1,1,23,14,14,24,1,2,0,0,0,0,0,0,0,0,2024-03-30,26,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=KCLXmAHC,KCLXmAHC,,
0.48,1.47,40,60,6,7,3,1,1,3,267,427,3,2,3,6,0,2,12,17,17,10,0,0,0,0,0,0,0,0,1,0,2024-03-17,25,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=8hzbyXX6,8hzbyXX6,,
1.55,4.44,40,60,10,32,1,7,3,11,219,390,4,2,9,25,0,0,6,15,16,7,6,0,0,0,0,0,0,0,0,0,2024-03-17,25,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=EkRmbfuK,EkRmbfuK,,
1.99,1.52,38,62,11,14,3,4,4,8,209,386,3,2,8,10,3,0,18,14,12,18,2,1,0,0,0,0,0,0,0,0,2024-03-17,25,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=SrSkwg3f,SrSkwg3f,,
0.90,0.29,58,42,18,6,5,3,10,2,328,203,2,4,13,3,2,0,14,16,14,16,3,5,0,0,0,0,0,0,0,0,2024-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=dEGhcEfQ,dEGhcEfQ,,
1.36,0.54,55,45,23,8,5,4,9,2,387,328,0,3,18,4,1,0,19,11,10,18,2,4,0,0,0,0,0,0,0,0,2024-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=zaSqazQD,zaSqazQD,,
2.01,1.14,49,51,19,10,5,4,7,5,280,300,5,3,14,6,0,4,13,15,15,11,2,5,0,0,0,0,0,0,0,0,2024-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=nqZ1zimD,nqZ1zimD,,
1.19,1.19,47,53,14,9,5,4,7,5,331,402,1,0,9,5,1,1,5,15,15,4,2,3,0,0,0,0,0,0,0,0,2024-03-16,25,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=fVTsuFYs,fVTsuFYs,,
0.92,0.92,61,39,10,21,5,9,5,4,422,247,3,0,5,12,2,0,9,16,14,8,9,3,0,0,0,0,0,0,0,0,2024-03-15,25,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=QTpgxDI0,QTpgxDI0,,
0.88,0.41,51,49,18,9,7,3,6,3,471,447,1,5,11,6,1,0,14,13,12,14,3,7,0,0,0,0,0,0,0,0,2024-03-15,25,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=YLSovZml,YLSovZml,,
0.77,0.90,54,46,19,11,3,4,6,1,284,258,2,3,16,7,1,2,20,17,12,20,2,3,0,0,0,0,0,1,0,0,2024-03-13,2,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=6y6nJrKp,6y6nJrKp,,
0.82,0.34,53,47,11,11,5,1,2,5,300,238,3,2,6,10,2,3,19,15,15,18,1,4,0,0,0,0,0,0,0,0,2024-03-12,17,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/puszcza-dtqx13O8/szczegoly/statystyki/?mid=0ldrpnbl,0ldrpnbl,,
1.58,0.53,58,42,15,6,7,2,9,5,357,235,3,1,8,4,1,0,14,12,11,14,1,7,0,0,0,0,0,0,0,0,2024-03-11,24,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=zomBpyBK,zomBpyBK,,
0.44,0.79,46,54,8,9,4,4,5,8,347,407,1,2,4,5,1,2,10,14,13,8,4,3,0,0,0,0,0,0,0,0,2024-03-10,24,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=EynFqeQQ,EynFqeQQ,,
1.71,2.26,60,40,16,10,4,6,7,4,473,292,1,1,12,4,2,3,15,11,11,12,4,4,0,0,0,0,0,0,0,0,2024-03-10,24,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=OnJMw5x8,OnJMw5x8,,
1.91,0.72,49,51,11,18,6,6,4,5,307,310,1,1,5,12,3,0,10,16,13,11,5,3,0,0,0,0,0,0,0,0,2024-03-10,24,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=tOm7oHeE,tOm7oHeE,,
0.43,0.39,51,49,13,8,2,5,8,6,409,388,1,0,11,3,0,1,14,12,12,15,5,2,0,0,0,0,0,0,0,0,2024-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=GGW5smwq,GGW5smwq,,
0.33,0.78,40,60,10,21,5,5,2,6,193,345,0,2,5,16,2,1,12,15,13,12,4,4,0,0,0,0,0,1,1,0,2024-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=SKq3nct8,SKq3nct8,,
0.78,1.25,48,52,13,10,3,6,3,4,267,316,0,2,10,4,1,0,14,11,10,15,5,2,0,0,0,0,0,0,0,0,2024-03-09,24,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=xWKEuR7e,xWKEuR7e,,
1.49,0.42,49,51,19,9,9,3,2,2,384,410,1,4,10,6,1,2,16,17,16,13,2,6,0,0,0,0,0,0,0,0,2024-03-08,24,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=buMAt7hk,buMAt7hk,,
2.60,1.48,59,41,13,13,5,5,7,4,311,191,3,4,8,8,0,2,14,14,17,16,2,3,0,0,0,0,0,1,0,0,2024-03-08,24,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=pdKIvoN1,pdKIvoN1,,
1.74,0.23,38,62,23,4,7,2,6,8,211,398,2,2,16,2,1,0,13,13,12,14,1,5,0,0,0,0,0,0,0,0,2024-03-04,23,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=AFmNkBV2,AFmNkBV2,,
1.04,0.72,35,65,20,5,7,0,6,4,245,507,3,2,13,5,1,0,7,16,16,8,0,3,0,0,0,0,0,0,0,0,2024-03-03,23,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=l6nRlVp9,l6nRlVp9,,
0.43,0.54,41,59,5,11,2,3,2,4,259,400,3,4,3,8,4,2,14,19,15,12,3,1,0,0,0,0,0,0,1,0,2024-03-03,23,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=pxdyS7wd,pxdyS7wd,,
2.17,1.72,52,48,13,17,5,5,7,10,251,203,4,1,8,12,0,5,15,15,16,12,3,2,0,0,0,0,0,0,0,0,2024-03-03,23,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/puszcza-dtqx13O8/szczegoly/statystyki/?mid=pYuzm9FL,pYuzm9FL,,
2.04,0.51,61,39,16,7,5,3,9,1,445,259,2,2,11,4,4,0,13,11,7,14,2,4,0,0,0,0,0,0,0,0,2024-03-02,23,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=dCauRRh2,dCauRRh2,,
2.70,0.64,43,57,11,11,7,3,1,3,280,362,2,7,4,8,3,2,12,13,10,11,2,5,0,0,0,0,0,0,0,0,2024-03-02,23,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=veuvnTUR,veuvnTUR,,
1.22,0.82,33,67,12,14,7,3,5,4,206,462,1,4,5,11,2,2,14,10,9,12,2,5,0,0,0,0,0,0,0,0,2024-03-02,23,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=2D6WSmOk,2D6WSmOk,,
2.46,0.29,49,51,18,9,8,2,6,6,308,326,1,1,10,7,3,0,9,13,10,12,2,5,0,0,0,0,0,0,0,0,2024-03-01,23,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=6ssWmk0F,6ssWmk0F,,
1.05,0.22,59,41,11,6,4,5,3,2,377,228,2,0,7,1,2,0,9,14,11,7,4,4,0,0,0,0,0,0,0,0,2024-03-01,23,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=OM7STT8q,OM7STT8q,,
1.67,0.43,48,52,13,11,4,2,2,7,352,402,3,3,9,9,3,4,15,13,14,13,2,3,0,0,0,0,0,0,1,0,2024-02-28,17,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=rDomq6Df,rDomq6Df,,
0.13,0.54,53,47,4,12,0,2,0,4,313,264,1,1,4,10,0,2,16,17,18,14,2,0,0,0,0,0,0,0,0,0,2024-02-26,22,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=hvHdZkoM,hvHdZkoM,,
2.54,1.15,55,45,19,13,6,4,3,3,371,279,3,3,13,9,2,1,17,13,10,15,1,3,0,0,0,0,0,0,0,0,2024-02-25,22,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=b551FUgj,b551FUgj,,
1.05,0.66,46,54,16,10,7,3,4,3,363,447,1,2,9,7,3,0,14,14,11,14,2,4,0,0,0,0,0,1,0,0,2024-02-25,22,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=WUF0Y90S,WUF0Y90S,,
0.65,2.07,42,58,12,24,7,6,5,7,278,428,1,0,5,18,3,3,9,9,8,5,4,5,0,0,0,0,0,0,0,0,2024-02-25,22,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=dCNmyCG9,dCNmyCG9,,
0.19,1.33,43,57,8,17,2,8,2,9,257,386,2,2,6,9,0,0,8,10,9,8,8,2,0,0,0,0,0,0,0,0,2024-02-24,22,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=AFRizWVF,AFRizWVF,,
0.80,0.58,60,40,11,9,3,2,5,2,473,279,0,3,8,7,5,0,10,18,13,10,2,3,0,0,0,0,0,0,0,0,2024-02-24,22,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=xd45El9d,xd45El9d,,
0.60,0.51,68,32,11,7,2,1,7,2,608,240,2,2,9,6,0,1,18,10,9,16,0,1,0,0,0,0,0,0,0,0,2024-02-24,22,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=4r6cGAvp,4r6cGAvp,,
2.46,0.79,53,47,17,13,6,3,4,1,375,343,2,2,11,10,2,1,11,10,9,10,1,2,0,0,0,0,0,0,0,0,2024-02-23,22,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=2kOqxh13,2kOqxh13,,
0.15,0.37,60,40,7,11,1,2,8,2,461,288,1,1,6,9,0,2,16,13,13,15,2,1,0,0,0,0,0,0,0,0,2024-02-23,22,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=ObPuwYoc,ObPuwYoc,,
2.18,0.56,50,50,11,11,6,3,1,7,349,349,2,0,5,8,0,1,15,18,17,13,2,3,0,0,0,0,0,0,0,0,2024-02-19,21,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=EFIfJweO,EFIfJweO,,
0.31,0.74,48,52,6,20,2,5,4,6,328,356,1,3,4,15,4,2,10,13,12,11,3,2,0,0,0,0,0,0,0,0,2024-02-18,21,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=AslPYIfB,AslPYIfB,,
2.42,0.64,72,28,33,4,8,2,19,1,445,142,3,3,25,2,1,0,17,17,14,19,1,7,0,0,0,0,0,0,0,0,2024-02-18,21,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/puszcza-dtqx13O8/szczegoly/statystyki/?mid=t2d8x1en,t2d8x1en,,
0.34,1.71,47,53,13,21,3,5,3,6,284,318,4,2,10,16,1,3,17,14,14,13,4,2,0,0,0,0,0,0,0,0,2024-02-18,21,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=URh4wstt,URh4wstt,,
1.72,1.04,62,38,12,7,4,6,2,2,412,210,4,5,8,1,3,2,23,13,12,24,5,1,0,0,0,0,0,0,0,0,2024-02-17,21,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=2HpHzuQb,2HpHzuQb,,
1.41,1.21,66,34,26,6,6,3,6,2,463,207,1,2,20,3,3,2,17,22,19,15,1,5,0,0,0,0,0,0,0,0,2024-02-17,21,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=h6HbIcAU,h6HbIcAU,,
0.51,0.28,60,40,14,8,5,1,8,1,416,238,0,2,9,7,2,1,18,17,15,16,1,5,0,0,0,0,0,0,0,0,2024-02-17,21,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=WjkLZbu5,WjkLZbu5,,
1.43,0.29,60,40,15,3,5,1,6,5,475,287,1,2,10,2,1,0,12,13,12,12,0,5,0,0,0,0,0,0,0,0,2024-02-16,21,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=h6wUXxAH,h6wUXxAH,,
0.52,2.70,22,78,7,23,1,9,2,13,124,633,1,2,6,14,2,0,11,9,8,12,5,1,0,0,0,0,0,0,1,0,2024-02-16,21,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=OQoDyLAh,OQoDyLAh,,
1.17,0.56,53,47,13,6,4,5,10,3,263,235,2,4,9,1,2,2,14,20,17,13,4,2,0,0,0,0,0,0,0,0,2024-02-12,20,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=vZoaU33P,vZoaU33P,,
1.68,1.28,53,47,19,12,8,5,3,1,390,341,2,3,11,7,2,3,16,9,10,15,4,8,0,0,0,0,0,0,0,0,2024-02-11,20,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=SbWYN1tg,SbWYN1tg,,
0.89,1.77,53,47,8,12,3,6,12,6,349,322,1,2,5,6,0,3,12,12,13,13,3,2,0,0,0,0,0,0,0,0,2024-02-11,20,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=dvOkKJuI,dvOkKJuI,,
0.19,2.70,30,70,5,16,3,5,1,9,147,451,5,2,2,11,2,2,13,11,12,11,4,1,0,0,0,0,0,0,0,0,2024-02-11,20,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=ImPoLaQB,ImPoLaQB,,
0.84,0.91,54,46,10,15,3,1,6,4,391,319,4,2,7,14,1,0,7,24,22,8,1,1,0,0,0,0,0,0,0,0,2024-02-10,20,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=trYQPNBt,trYQPNBt,,
0.75,0.68,54,46,12,9,7,4,4,2,350,285,2,1,5,5,2,1,20,17,16,20,1,6,0,0,0,0,0,0,0,0,2024-02-10,20,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=l8XUOsRn,l8XUOsRn,,
1.04,0.25,59,41,15,8,8,1,6,2,378,245,3,2,7,7,1,1,11,13,11,8,1,2,0,0,0,0,0,2,0,0,2024-02-10,20,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=xU7G5KQO,xU7G5KQO,,
0.42,1.58,44,56,9,8,0,2,5,7,234,332,1,1,9,6,3,3,14,17,16,13,1,0,0,0,0,0,0,0,0,0,2024-02-09,20,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=ANLwNLea,ANLwNLea,,
1.44,0.55,73,27,17,9,9,3,5,6,542,140,2,2,8,6,0,0,13,11,11,13,2,7,0,0,0,0,0,0,0,0,2024-02-09,20,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=OQPsMuB5,OQPsMuB5,,
1.32,1.44,35,65,13,17,2,1,4,6,157,369,2,3,11,16,3,3,16,23,19,13,1,0,0,0,0,0,0,0,0,0,2023-12-20,2,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=zgFGO4dN,zgFGO4dN,,
1.06,0.73,54,46,19,8,5,3,7,1,424,353,2,4,14,5,3,1,16,14,10,15,3,2,0,0,0,0,0,0,0,0,2023-12-18,19,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=0OCiBOdm,0OCiBOdm,,
2.28,0.35,66,34,9,8,5,2,5,0,407,178,5,2,4,6,4,3,12,21,16,10,2,3,0,0,0,0,0,0,0,0,2023-12-17,19,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=2wflC4ss,2wflC4ss,,
1.60,0.15,51,49,13,6,5,4,4,2,319,306,1,1,8,2,1,3,15,18,19,14,4,4,0,0,0,0,0,0,0,0,2023-12-17,19,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=jD548Mt6,jD548Mt6,,
0.70,0.93,51,49,15,18,3,5,6,7,287,284,2,2,12,13,2,0,15,15,15,16,4,2,0,0,0,0,0,0,0,0,2023-12-17,19,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=OQ3C60BI,OQ3C60BI,,
1.16,1.07,51,49,18,8,6,5,6,0,279,290,5,8,12,3,0,4,27,14,15,24,3,4,0,0,0,0,0,1,0,0,2023-12-16,19,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=YyBa92Ra,YyBa92Ra,,
1.43,1.02,52,48,11,11,7,7,5,1,437,421,2,2,4,4,5,1,10,16,11,10,5,6,0,0,0,0,0,0,0,0,2023-12-16,19,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=U3487tdC,U3487tdC,,
2.08,3.13,35,65,11,15,3,6,6,3,178,399,4,3,8,9,2,2,13,28,27,13,3,0,0,0,0,0,0,1,0,0,2023-12-16,19,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/puszcza-dtqx13O8/szczegoly/statystyki/?mid=foCeArCg,foCeArCg,,
1.36,0.94,70,30,22,8,5,5,7,1,590,232,0,0,17,3,0,2,7,7,7,5,3,4,0,0,0,0,0,0,0,0,2023-12-15,19,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=ddHLGpZP,ddHLGpZP,,
2.20,0.53,55,45,15,10,10,3,0,4,354,267,3,1,5,7,0,3,16,17,18,13,3,7,0,0,0,0,0,0,0,0,2023-12-15,19,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=I5IHHQJJ,I5IHHQJJ,,
1.42,0.64,36,64,13,8,4,2,3,4,162,392,3,4,9,6,1,1,18,12,11,18,2,3,0,0,0,0,0,0,0,0,2023-12-11,18,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=0AXIdPsf,0AXIdPsf,,
2.07,2.53,49,51,13,16,5,8,3,8,321,340,3,1,8,8,5,2,17,26,19,15,6,1,0,0,0,0,0,0,0,0,2023-12-10,18,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=vaVk3R4Q,vaVk3R4Q,,
