xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,faule_gosp,faule_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,zapobiegniecia_gosc,bledy_strzal_gosc,bledy_gol_gosc,bledy_gol_gosp,zapobiegniecia_gosp,czk_gosc,czk_gosp,bledy_strzal_gosp,data_meczu_flash,kolejka_flash,url,flash_id,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc
1.47,0.45,48,52,10,11,4,1,4,3,304,333,1,3,6,10,0,1,17,8,9,15,0,3,0,0,0,0,0,1,1,0,2024-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/puszcza-dtqx13O8/szczegoly/statystyki/?mid=Wl60Z43C,Wl60Z43C,,
0.43,1.45,40,60,6,18,1,4,5,7,245,440,1,1,5,14,2,0,11,10,8,11,4,1,0,0,0,0,0,0,0,0,2024-05-17,33,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=t0ZIinJt,t0ZIinJt,,
2.09,1.28,52,48,22,10,6,3,9,6,308,287,0,4,16,7,1,4,14,10,9,11,1,6,0,0,0,0,0,0,0,0,2024-05-13,32,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=l6AuvTls,l6AuvTls,,
0.56,1.45,64,36,11,9,3,1,3,3,390,185,3,2,8,8,1,1,14,18,22,14,0,2,0,0,0,0,0,0,0,0,2024-05-12,32,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=xSpRK5lJ,xSpRK5lJ,,
0.68,0.86,61,39,16,11,4,5,5,3,507,313,0,2,12,6,0,4,7,4,4,3,2,3,0,0,0,0,0,0,0,0,2024-05-12,32,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=dWDmx7Jg,dWDmx7Jg,,
1.29,0.47,38,62,21,10,9,1,11,7,122,264,4,1,12,9,3,0,14,21,16,15,1,8,0,0,0,0,0,0,0,0,2024-05-12,32,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=rPXCr9tQ,rPXCr9tQ,,
2.77,0.82,42,58,11,11,5,1,3,3,252,383,2,5,6,10,2,1,18,11,9,18,0,3,0,0,0,0,0,1,0,0,2024-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=29Eqwm4m,29Eqwm4m,,
2.69,1.12,53,47,7,13,4,6,3,2,420,370,1,0,3,7,0,4,23,15,14,20,6,1,0,0,0,0,0,0,0,0,2024-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=bynNLoZC,bynNLoZC,,
0.87,0.26,52,48,14,10,5,5,7,4,439,384,3,1,9,5,0,0,13,10,10,13,4,4,0,0,0,0,0,0,0,0,2024-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=GCdIMRJ6,GCdIMRJ6,,
2.22,0.17,43,57,10,6,6,1,4,3,256,358,1,4,4,5,1,0,14,9,9,14,1,2,0,0,0,0,0,1,0,0,2024-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=zNCiyRYa,zNCiyRYa,,
2.58,0.36,53,47,20,9,9,2,5,5,411,352,0,0,11,7,0,1,10,11,10,9,2,5,0,0,0,0,0,0,0,0,2024-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=4YY8qkRJ,4YY8qkRJ,,
1.19,0.79,68,32,17,9,4,2,10,2,427,149,1,2,13,7,1,4,11,5,3,8,2,3,0,0,0,0,0,0,0,0,2024-05-06,31,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/puszcza-dtqx13O8/szczegoly/statystyki/?mid=zexYsxjF,zexYsxjF,,
0.61,1.00,54,46,12,15,0,7,6,3,374,318,4,5,12,8,0,1,13,11,11,13,4,0,0,0,0,0,0,0,1,0,2024-05-05,31,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=tYxUrIz9,tYxUrIz9,,
1.17,1.30,50,50,10,9,3,3,7,3,307,289,6,4,7,6,1,1,8,15,13,10,2,2,0,0,0,0,0,0,0,0,2024-05-05,31,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=rmKQqbL2,rmKQqbL2,,
0.55,0.88,39,61,8,12,3,4,0,4,231,420,1,1,5,8,2,1,11,16,16,10,3,2,0,0,0,0,0,0,0,0,2024-05-05,31,https://www.flashscore.pl/mecz/pilka-nozna/warta-poznan-CrVUWAl8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=8ngAOmkf,8ngAOmkf,,
0.70,2.43,31,69,12,11,5,5,2,5,190,586,0,2,7,6,0,0,6,5,10,13,3,2,0,0,0,0,0,0,0,0,2024-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=Uef6PTZm,Uef6PTZm,,
1.04,0.97,34,66,10,15,3,3,4,9,203,481,2,0,7,12,1,2,2,7,17,6,3,1,0,0,0,0,0,0,0,0,2024-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=trtrLEr2,trtrLEr2,,
1.74,1.59,67,33,17,12,5,5,6,6,427,174,1,3,12,7,2,3,13,11,9,11,3,4,0,0,0,0,0,1,0,0,2024-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=29hEN740,29hEN740,,
1.84,1.48,44,56,15,12,4,3,3,7,277,396,2,0,11,9,0,3,10,13,13,7,2,2,0,0,0,0,0,0,0,0,2024-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=CKa1Q9Ks,CKa1Q9Ks,,
1.44,0.20,31,69,18,6,6,2,6,6,183,497,3,3,12,4,0,1,7,13,14,6,2,1,0,0,0,0,0,1,0,0,2024-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gornik-zabrze-2LH3Ywq4/szczegoly/statystyki/?mid=2isvMfTe,2isvMfTe,,
0.59,0.47,45,55,15,12,2,4,7,7,207,273,2,2,13,8,1,0,11,11,10,10,3,1,0,0,0,0,0,0,0,0,2024-04-29,30,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/puszcza-dtqx13O8/szczegoly/statystyki/?mid=tKceUILF,tKceUILF,,
1.24,0.59,75,25,15,5,5,1,7,3,647,168,1,2,10,4,2,0,7,8,11,10,1,5,0,0,0,0,0,0,0,0,2024-04-28,30,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=MHsfWvi3,MHsfWvi3,,
0.56,3.61,52,48,8,16,2,7,0,4,348,320,2,2,6,9,1,2,12,15,16,10,4,1,0,0,0,0,0,0,0,0,2024-04-28,30,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=lp13SdjS,lp13SdjS,,
1.05,3.28,58,42,13,16,5,7,6,5,288,187,3,2,8,9,1,1,14,15,14,13,3,2,0,0,0,0,0,0,0,0,2024-04-28,30,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=zscaTxyM,zscaTxyM,,
0.89,1.54,40,60,7,22,2,6,4,12,251,435,3,4,5,16,0,1,23,12,12,21,5,2,0,0,0,0,0,0,1,0,2024-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=fRwWNGbq,fRwWNGbq,,
2.00,0.60,60,40,23,6,6,5,10,2,338,216,2,3,17,1,1,1,13,9,8,12,2,4,0,0,0,0,0,0,0,0,2024-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=YHxzNzEk,YHxzNzEk,,
1.78,1.05,49,51,18,11,7,5,9,4,369,383,2,3,11,6,0,2,14,11,13,12,4,3,0,0,0,0,0,0,0,0,2024-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=UNf88yad,UNf88yad,,
1.14,1.54,56,44,13,15,3,5,9,4,402,296,3,1,10,10,4,1,13,10,6,12,3,1,0,0,0,0,0,0,0,0,2024-04-26,30,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=rRrjXKyc,rRrjXKyc,,
1.13,0.69,58,42,13,8,6,2,1,4,446,275,0,0,7,6,1,2,17,8,7,16,2,4,0,0,0,0,0,0,0,0,2024-04-26,30,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=2TbiVb69,2TbiVb69,,
0.98,1.11,42,58,11,15,7,4,2,2,299,443,0,1,4,11,2,1,10,12,10,10,2,2,0,0,0,0,0,0,0,0,2024-04-22,29,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=Ye1aAcUq,Ye1aAcUq,,
0.94,0.29,66,34,14,9,3,3,5,2,559,267,0,3,11,6,0,1,11,14,15,10,3,3,0,0,0,0,0,0,0,0,2024-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=tbMKHuxA,tbMKHuxA,,
2.54,2.15,38,62,12,16,6,8,1,7,280,475,4,2,6,8,1,1,9,10,8,9,5,4,0,0,0,0,0,0,1,0,2024-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=GKj49Hqj,GKj49Hqj,,
0.43,0.65,57,43,14,9,2,3,9,3,332,210,2,4,12,6,0,2,16,11,11,17,2,2,0,0,0,0,0,0,0,0,2024-04-21,29,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/puszcza-dtqx13O8/szczegoly/statystyki/?mid=dAK8Kshi,dAK8Kshi,,
1.87,2.19,49,51,25,17,4,7,9,4,357,374,1,0,21,10,2,2,11,16,14,9,5,3,0,0,0,0,0,0,0,0,2024-04-20,29,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=z1JCJ17c,z1JCJ17c,,
1.71,2.03,55,45,22,13,7,6,2,5,413,319,1,4,15,7,4,0,8,11,9,8,3,5,0,0,0,0,0,0,0,0,2024-04-20,29,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=WnFXEwMS,WnFXEwMS,,
1.24,0.59,65,35,14,8,4,3,4,4,529,247,0,1,10,5,1,5,14,15,13,11,1,4,0,0,0,0,0,0,0,0,2024-04-20,29,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=OMBPGaiG,OMBPGaiG,,
1.83,1.38,50,50,15,11,2,3,8,2,368,375,3,0,13,8,0,1,9,12,13,8,2,2,0,0,0,0,0,0,1,0,2024-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=2DATFJ6M,2DATFJ6M,,
3.88,0.55,36,64,16,14,6,5,2,10,131,296,3,4,10,9,1,1,17,16,15,17,5,2,0,0,0,0,0,0,0,0,2024-04-19,29,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=UNIGILM3,UNIGILM3,,
2.13,0.23,43,57,17,6,8,1,4,4,307,428,2,2,9,5,1,1,10,12,11,9,1,6,0,0,0,0,0,0,0,0,2024-04-15,28,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=fTrv52h4,fTrv52h4,,
1.00,1.33,44,56,9,22,6,3,2,8,300,388,1,2,3,19,0,1,13,9,9,12,3,4,0,0,0,0,0,0,0,0,2024-04-14,28,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=YDfV6ONi,YDfV6ONi,,
2.01,2.62,72,28,20,18,6,9,9,4,478,150,2,4,14,9,1,1,16,9,8,16,6,5,0,0,0,0,0,0,1,0,2024-04-14,28,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=Gxpz6rwb,Gxpz6rwb,,
0.36,0.12,57,43,18,17,6,6,4,3,403,269,3,2,12,11,2,0,12,14,12,12,4,3,0,0,0,0,0,1,0,0,2024-04-14,28,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=KhyQebFj,KhyQebFj,,
0.45,0.56,57,43,7,7,5,2,3,3,422,283,2,2,2,5,2,0,16,16,14,16,1,4,0,0,0,0,0,0,0,0,2024-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=AJoj20xN,AJoj20xN,,
1.53,0.75,31,69,12,16,5,2,8,6,130,408,2,2,7,14,1,2,10,13,13,8,1,3,0,0,0,0,0,0,0,0,2024-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/puszcza-dtqx13O8/szczegoly/statystyki/?mid=Sfdo3tNG,Sfdo3tNG,,
0.77,0.38,42,58,7,9,2,1,4,8,281,422,1,4,5,8,1,1,8,7,7,12,1,2,0,0,0,0,0,0,0,0,2024-04-13,28,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=OMkf1KiT,OMkf1KiT,,
0.11,0.12,49,51,16,19,6,5,5,3,319,335,0,2,10,14,1,0,8,13,13,10,5,1,0,0,0,0,0,0,0,0,2024-04-12,28,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=l4cs4M7A,l4cs4M7A,,
0.42,0.06,39,61,12,7,2,4,6,1,206,368,0,0,10,3,3,1,11,25,21,10,4,1,0,0,0,0,0,0,0,0,2024-04-12,28,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=t2xMdv0p,t2xMdv0p,,
0.78,1.12,50,50,17,10,4,3,7,4,384,410,1,2,13,7,1,0,11,11,10,12,1,3,0,0,0,0,0,0,0,0,2024-04-08,27,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KAUehP8b,KAUehP8b,,
1.62,0.93,44,56,17,12,6,2,5,7,309,418,0,1,11,10,3,2,14,20,16,12,1,5,0,0,0,0,0,0,0,0,2024-04-07,27,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=8WM8kNhH,8WM8kNhH,,
0.86,1.80,49,51,10,20,4,6,5,9,311,325,0,2,6,14,1,0,6,5,8,10,6,3,0,0,0,0,0,0,0,0,2024-04-07,27,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=E9N4j3wB,E9N4j3wB,,
1.19,0.81,55,45,15,11,2,2,6,3,445,349,2,2,13,9,3,2,8,12,9,7,2,1,0,0,0,0,0,0,0,0,2024-04-07,27,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=672qqLVp,672qqLVp,,
0.38,0.31,53,47,7,4,3,0,6,2,329,281,3,5,4,4,0,1,18,12,13,17,0,1,0,0,0,0,0,1,0,0,2024-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=KAjR748o,KAjR748o,,
1.30,0.68,61,39,22,16,1,3,7,5,374,197,7,2,21,13,2,0,16,16,13,15,3,1,0,0,0,0,0,0,1,0,2024-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=4bGHm1NT,4bGHm1NT,,
0.72,0.54,43,57,8,11,1,0,4,3,170,267,5,4,7,11,2,2,18,21,17,17,0,0,0,0,0,0,0,0,1,0,2024-04-06,27,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=2ZJ0iqO4,2ZJ0iqO4,,
