xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,zk_gosp,zk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc,czk_gosp,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gospodarz,gosc
1.03,1.54,62.0,38.0,16.0,9.0,6.0,4.0,0.0,1.0,4.0,5.0,4,3,1.26,1.04,7.0,2.0,3.0,3.0,12.0,8.0,4.0,1.0,30.0,21.0,1.0,1.0,12.0,17.0,1.07,0.49,17.0,12.0,66.0,62.0,26.0,34.0,8.0,15.0,0,0,0,0,2.0,5.0,1.04,1.26,-0.96,0.26,0,1,2026-05-17,33.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=vcthnTiT,vcthnTiT,373,470,186,275,24,59,13,50,92.0,132.0,47.0,80.0,6.0,18.0,6.0,19.0,13,22,10,15,LGD,LEG
1.1,2.07,41.0,59.0,11.0,22.0,5.0,8.0,1.0,2.0,4.0,9.0,4,1,1.54,1.68,4.0,6.0,2.0,8.0,7.0,14.0,4.0,8.0,18.0,49.0,0.0,0.0,10.0,15.0,0.75,1.66,15.0,10.0,40.0,38.0,27.0,25.0,7.0,8.0,0,1,0,0,6.0,3.0,1.68,1.54,-0.32,-0.46,0,0,2026-05-17,33.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=lWice6Uq,lWice6Uq,235,304,370,449,19,48,21,56,53.0,79.0,86.0,124.0,2.0,13.0,8.0,18.0,11,13,6,9,GKS,JAG
3.28,0.83,67.0,33.0,31.0,6.0,9.0,5.0,5.0,1.0,9.0,0.0,6,1,2.55,1.75,11.0,1.0,11.0,0.0,25.0,3.0,6.0,3.0,80.0,9.0,1.0,1.0,7.0,16.0,4.57,0.14,16.0,7.0,46.0,53.0,6.0,59.0,9.0,7.0,0,1,1,0,2.0,7.0,1.75,2.55,-1.25,1.55,0,0,2026-05-17,33.0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pbo6gpad,pbo6gpad,427,512,184,267,21,48,25,65,202.0,252.0,28.0,61.0,,,,,6,9,3,7,PIA,RCZ
0.62,1.74,54.0,46.0,7.0,11.0,2.0,5.0,0.0,3.0,4.0,4.0,2,3,0.14,2.83,2.0,4.0,3.0,2.0,6.0,8.0,1.0,3.0,22.0,34.0,2.0,1.0,15.0,17.0,0.69,2.54,17.0,15.0,47.0,51.0,20.0,28.0,1.0,4.0,0,0,1,0,2.0,2.0,2.83,0.14,-0.17,-0.86,0,0,2026-05-16,33.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=b1DI2lxA,b1DI2lxA,338,397,273,343,18,38,22,47,87.0,121.0,88.0,129.0,4.0,18.0,5.0,7.0,6,13,5,12,LPO,RAD
0.73,1.01,45.0,55.0,8.0,14.0,1.0,5.0,1.0,0.0,7.0,4.0,3,1,0.12,1.58,3.0,7.0,4.0,2.0,5.0,6.0,3.0,8.0,15.0,21.0,1.0,0.0,11.0,12.0,0.31,0.7,12.0,11.0,65.0,48.0,44.0,26.0,7.0,4.0,0,0,0,0,4.0,1.0,1.58,0.12,0.58,0.12,0,0,2026-05-16,33.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=KfQjlkNG,KfQjlkNG,282,350,344,408,32,54,24,48,53.0,94.0,146.0,182.0,2.0,12.0,6.0,30.0,6,20,9,10,GOR,WPL
1.7,1.56,63.0,37.0,12.0,17.0,7.0,7.0,4.0,3.0,2.0,7.0,2,5,2.92,2.27,3.0,6.0,2.0,4.0,9.0,7.0,3.0,10.0,28.0,21.0,1.0,1.0,12.0,14.0,1.56,1.13,14.0,12.0,50.0,51.0,33.0,22.0,3.0,14.0,2,0,1,0,4.0,3.0,2.27,2.92,-0.73,-0.08,0,0,2026-05-16,33.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=AuXNt7Fj,AuXNt7Fj,406,486,192,267,22,46,24,53,80.0,126.0,63.0,100.0,8.0,19.0,8.0,23.0,12,20,13,22,CRA,MOT
0.8,0.53,43.0,57.0,11.0,7.0,2.0,3.0,1.0,1.0,3.0,2.0,3,3,0.87,0.9,2.0,2.0,7.0,2.0,4.0,5.0,7.0,2.0,18.0,11.0,4.0,0.0,16.0,23.0,0.94,1.03,23.0,16.0,60.0,68.0,28.0,33.0,8.0,6.0,0,0,0,0,3.0,1.0,0.9,0.87,0.9,-0.13,0,0,2026-05-15,33.0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=h06R0S6M,h06R0S6M,224,295,310,389,26,61,19,56,46.0,77.0,74.0,112.0,4.0,20.0,4.0,23.0,13,17,11,16,KOR,WID
0.56,1.97,30.0,70.0,10.0,17.0,3.0,5.0,1.0,2.0,3.0,6.0,1,3,0.59,2.2,6.0,6.0,1.0,6.0,6.0,8.0,4.0,9.0,15.0,30.0,6.0,4.0,12.0,8.0,0.54,1.11,8.0,12.0,50.0,45.0,43.0,22.0,3.0,5.0,0,1,0,0,4.0,3.0,2.2,0.59,1.2,0.59,0,0,2026-05-15,33.0,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jyAA4A7c,jyAA4A7c,159,237,496,563,19,60,32,57,31.0,65.0,166.0,205.0,6.0,17.0,4.0,27.0,6,10,4,6,POG,ZAG
3.28,1.19,60.0,40.0,25.0,13.0,3.0,7.0,4.0,2.0,6.0,4.0,1,4,0.45,2.01,13.0,3.0,9.0,3.0,16.0,8.0,9.0,5.0,52.0,20.0,0.0,1.0,9.0,8.0,2.86,1.15,8.0,9.0,44.0,35.0,10.0,33.0,9.0,10.0,1,0,0,0,5.0,3.0,2.01,0.45,0.01,0.45,0,0,2026-05-13,31.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=lAbIws3s,lAbIws3s,433,497,268,349,27,39,20,61,184.0,226.0,65.0,95.0,17.0,40.0,2.0,8.0,10,16,9,14,JAG,RCZ
1.3,0.85,36.0,64.0,11.0,15.0,2.0,2.0,2.0,1.0,1.0,9.0,0,2,0.6,0.01,7.0,8.0,2.0,5.0,8.0,6.0,3.0,9.0,16.0,28.0,0.0,3.0,12.0,14.0,0.38,0.54,14.0,12.0,51.0,60.0,32.0,28.0,10.0,6.0,1,0,0,0,1.0,2.0,0.01,0.6,0.01,0.6,0,0,2026-05-13,31.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/gornik-zabrze-2LH3Ywq4/szczegoly/statystyki/?mid=rZlKQZ7e,rZlKQZ7e,193,278,399,486,39,78,27,60,49.0,86.0,116.0,163.0,2.0,10.0,0.0,22.0,7,16,10,15,ARK,GOR
