xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,zk_gosp,zk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc,czk_gosp,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gospodarz,gosc
1.87,0.65,51.0,49.0,11.0,10.0,7.0,3.0,2.0,0.0,5.0,9.0,1,2,2.47,0.43,4.0,5.0,0.0,2.0,7.0,8.0,4.0,2.0,16.0,26.0,1.0,3.0,8.0,10.0,0.62,0.45,10.0,8.0,53.0,40.0,40.0,21.0,7.0,5.0,0,0,0,0,4.0,4.0,0.43,2.47,0.43,-0.53,0,0,2026-05-03,31.0,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=rXyiNLI0,rXyiNLI0,271,339,245,319,23,50,15,52,69.0,97.0,58.0,99.0,4.0,17.0,6.0,24.0,14,19,7,13,POG,WPL
1.29,0.9,33.0,67.0,18.0,15.0,3.0,3.0,0.0,1.0,5.0,11.0,2,2,0.55,0.25,7.0,4.0,8.0,8.0,12.0,5.0,6.0,10.0,27.0,34.0,0.0,2.0,14.0,6.0,0.82,1.47,6.0,14.0,51.0,39.0,50.0,31.0,7.0,2.0,0,0,0,0,2.0,3.0,0.25,0.55,0.25,0.55,0,1,2026-05-03,31.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jZdCU3QQ,jZdCU3QQ,143,223,379,443,26,62,17,34,36.0,77.0,169.0,205.0,6.0,13.0,12.0,43.0,5,8,6,8,CRA,ZAG
1.74,1.36,43.0,57.0,12.0,17.0,7.0,1.0,5.0,2.0,3.0,9.0,0,1,2.92,0.65,4.0,7.0,1.0,9.0,9.0,12.0,3.0,5.0,18.0,34.0,1.0,1.0,9.0,10.0,0.91,1.33,10.0,9.0,35.0,40.0,41.0,19.0,10.0,8.0,0,0,0,0,0.0,3.0,0.65,2.92,-0.35,-1.08,0,0,2026-05-03,31.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=UPHoq3uK,UPHoq3uK,225,298,304,389,20,50,24,51,42.0,70.0,75.0,121.0,4.0,9.0,6.0,29.0,5,9,5,10,GKS,BBT
0.71,1.72,52.0,48.0,11.0,24.0,1.0,6.0,2.0,0.0,3.0,7.0,0,0,0.23,1.14,8.0,13.0,2.0,5.0,9.0,17.0,2.0,7.0,20.0,36.0,2.0,1.0,8.0,10.0,0.65,1.14,10.0,8.0,41.0,47.0,17.0,16.0,7.0,7.0,1,0,0,0,5.0,1.0,1.14,0.23,0.14,0.23,0,0,2026-05-02,31.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=r9g4WPeE,r9g4WPeE,348,422,316,384,19,52,24,58,68.0,103.0,96.0,137.0,6.0,13.0,6.0,14.0,9,16,11,14,LPO,MOT
1.66,0.3,62.0,38.0,15.0,6.0,4.0,1.0,3.0,0.0,6.0,1.0,4,2,1.49,0.01,5.0,3.0,6.0,2.0,12.0,3.0,3.0,3.0,33.0,13.0,0.0,0.0,15.0,15.0,1.62,0.42,15.0,15.0,54.0,53.0,9.0,36.0,11.0,9.0,0,0,0,0,1.0,2.0,0.01,1.49,0.01,0.49,0,0,2026-05-01,31.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=GnmSODx8,GnmSODx8,408,489,229,305,16,42,28,56,118.0,164.0,53.0,78.0,10.0,26.0,3.0,10.0,11,15,7,13,LEG,WID
1.88,2.28,51.0,49.0,12.0,15.0,7.0,4.0,4.0,3.0,5.0,6.0,1,0,3.84,1.33,2.0,7.0,3.0,4.0,11.0,10.0,1.0,5.0,20.0,39.0,2.0,0.0,12.0,15.0,0.97,2.1,15.0,12.0,57.0,56.0,33.0,23.0,6.0,3.0,0,2,0,0,2.0,6.0,1.33,3.84,0.33,2.84,0,0,2026-05-01,31.0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=xWUaLamD,xWUaLamD,324,408,293,385,17,56,34,74,63.0,95.0,68.0,115.0,5.0,16.0,5.0,16.0,10,14,9,14,KOR,PIA
2.3,0.95,64.0,36.0,24.0,7.0,12.0,3.0,4.0,2.0,6.0,5.0,3,2,3.25,1.26,6.0,3.0,6.0,1.0,17.0,5.0,7.0,2.0,51.0,12.0,1.0,3.0,7.0,11.0,1.7,0.81,11.0,7.0,45.0,57.0,30.0,20.0,5.0,11.0,0,0,0,0,2.0,8.0,1.26,3.25,0.26,-0.75,0,0,2026-04-27,30.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=GO4uYHFL,GO4uYHFL,421,512,189,282,18,50,19,64,121.0,156.0,40.0,85.0,9.0,17.0,4.0,13.0,8,15,10,19,ARK,PIA
2.61,0.36,67.0,33.0,23.0,5.0,7.0,0.0,5.0,0.0,5.0,2.0,0,1,3.47,0.0,7.0,3.0,9.0,2.0,13.0,5.0,10.0,0.0,41.0,11.0,1.0,1.0,14.0,11.0,2.53,0.47,11.0,14.0,36.0,48.0,12.0,16.0,7.0,11.0,0,0,0,0,0.0,3.0,0.0,3.47,0.0,-0.53,1,0,2026-04-26,30.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=UVOpCzg2,UVOpCzg2,541,604,232,289,15,31,18,45,224.0,267.0,30.0,53.0,2.0,12.0,6.0,11.0,8,11,7,17,LPO,LEG
1.18,0.67,37.0,63.0,14.0,9.0,5.0,1.0,2.0,1.0,4.0,6.0,2,1,1.64,0.03,6.0,3.0,3.0,5.0,8.0,8.0,6.0,1.0,20.0,24.0,1.0,2.0,18.0,17.0,1.62,0.61,17.0,18.0,60.0,56.0,28.0,22.0,11.0,10.0,0,0,0,0,1.0,3.0,0.03,1.64,0.03,-0.36,0,0,2026-04-26,30.0,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=n7eBSewq,n7eBSewq,172,247,357,436,20,56,11,33,50.0,90.0,61.0,100.0,8.0,18.0,3.0,20.0,15,22,14,20,MOT,WID
1.02,0.92,44.0,56.0,10.0,17.0,2.0,6.0,3.0,1.0,7.0,7.0,3,2,0.22,1.4,6.0,5.0,2.0,6.0,7.0,11.0,3.0,6.0,20.0,21.0,0.0,1.0,11.0,14.0,1.02,0.92,14.0,11.0,54.0,49.0,25.0,36.0,7.0,13.0,2,0,0,0,5.0,2.0,1.4,0.22,0.4,0.22,0,0,2026-04-26,30.0,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=EgF2ac9d,EgF2ac9d,267,343,399,459,25,59,19,37,73.0,104.0,171.0,203.0,5.0,29.0,4.0,21.0,11,17,5,11,RAD,WPL
1.09,0.91,55.0,45.0,14.0,9.0,4.0,2.0,4.0,0.0,7.0,0.0,3,4,1.13,0.18,8.0,6.0,2.0,1.0,11.0,4.0,3.0,5.0,20.0,17.0,3.0,0.0,20.0,14.0,1.31,0.95,14.0,20.0,55.0,48.0,24.0,34.0,6.0,8.0,0,0,0,0,1.0,3.0,0.18,1.13,-0.82,0.13,0,1,2026-04-25,30.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=Y3VyEdOk,Y3VyEdOk,324,415,264,349,18,50,30,73,79.0,117.0,67.0,112.0,8.0,24.0,3.0,8.0,6,13,3,9,CRA,POG
1.77,1.7,49.0,51.0,11.0,16.0,6.0,4.0,2.0,1.0,3.0,3.0,2,2,1.67,1.35,5.0,4.0,0.0,8.0,8.0,11.0,3.0,5.0,30.0,22.0,3.0,0.0,13.0,13.0,1.39,0.51,13.0,13.0,40.0,40.0,22.0,32.0,6.0,4.0,0,0,0,0,2.0,5.0,1.35,1.67,-0.65,0.67,0,0,2026-04-25,30.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=fkhkN013,fkhkN013,276,360,317,393,16,51,24,57,67.0,100.0,52.0,86.0,7.0,27.0,3.0,15.0,9,14,4,9,LGD,RCZ
1.52,1.57,56.0,44.0,17.0,16.0,4.0,5.0,2.0,2.0,5.0,3.0,2,0,1.66,2.09,10.0,6.0,3.0,5.0,12.0,12.0,5.0,4.0,26.0,27.0,3.0,1.0,8.0,9.0,1.32,0.69,9.0,8.0,61.0,47.0,22.0,37.0,8.0,7.0,0,0,0,0,4.0,3.0,2.09,1.66,1.09,0.66,0,0,2026-04-25,30.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=xYq6JI0S,xYq6JI0S,333,437,253,354,22,67,20,66,72.0,110.0,48.0,82.0,12.0,25.0,5.0,15.0,5,15,8,10,GKS,KOR
1.08,1.69,61.0,39.0,18.0,11.0,7.0,4.0,2.0,2.0,7.0,2.0,4,3,0.56,1.35,5.0,3.0,6.0,4.0,9.0,6.0,9.0,5.0,32.0,17.0,1.0,1.0,14.0,13.0,0.85,0.6,13.0,14.0,59.0,49.0,20.0,40.0,4.0,11.0,0,0,0,0,3.0,7.0,1.35,0.56,0.35,-0.44,0,0,2026-04-24,30.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=f9GWZwo9,f9GWZwo9,433,512,254,324,9,27,16,51,116.0,161.0,52.0,85.0,6.0,23.0,2.0,7.0,14,19,13,21,GOR,JAG
0.6,1.65,42.0,58.0,10.0,15.0,2.0,8.0,1.0,2.0,6.0,4.0,6,2,0.76,1.99,5.0,3.0,3.0,4.0,9.0,7.0,1.0,8.0,31.0,31.0,0.0,1.0,16.0,11.0,0.75,1.02,11.0,16.0,74.0,41.0,38.0,33.0,4.0,3.0,0,0,0,0,6.0,1.0,1.99,0.76,-0.01,-0.24,0,1,2026-04-24,30.0,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=t6jcLvWF,t6jcLvWF,185,275,314,389,25,62,21,43,42.0,85.0,96.0,127.0,5.0,19.0,4.0,29.0,6,16,4,8,BBT,ZAG
1.53,1.6,55.0,45.0,20.0,8.0,7.0,2.0,3.0,2.0,11.0,0.0,1,3,1.09,0.91,6.0,4.0,7.0,2.0,14.0,5.0,6.0,3.0,46.0,14.0,1.0,0.0,9.0,13.0,1.82,0.89,13.0,9.0,53.0,53.0,7.0,48.0,4.0,11.0,0,0,0,0,1.0,5.0,0.91,1.09,-0.09,0.09,1,0,2026-04-20,29.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=nRJm5SuI,nRJm5SuI,326,412,278,347,26,60,23,49,117.0,169.0,73.0,97.0,9.0,30.0,2.0,9.0,13,19,10,16,LGD,PIA
2.6,1.47,49.0,51.0,18.0,10.0,7.0,5.0,4.0,4.0,7.0,3.0,2,4,1.59,3.07,7.0,4.0,4.0,1.0,15.0,9.0,3.0,1.0,31.0,20.0,1.0,4.0,16.0,12.0,1.63,1.48,12.0,16.0,51.0,45.0,14.0,30.0,12.0,4.0,0,1,1,0,2.0,6.0,3.07,1.59,0.07,1.59,0,0,2026-04-19,29.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=8KWLjTQO,8KWLjTQO,285,347,320,387,23,44,12,35,85.0,123.0,58.0,77.0,9.0,34.0,3.0,11.0,7,10,10,15,ARK,JAG
1.76,1.58,61.0,39.0,9.0,19.0,7.0,6.0,4.0,3.0,2.0,7.0,1,2,3.66,2.21,1.0,4.0,1.0,9.0,7.0,9.0,2.0,10.0,17.0,24.0,1.0,1.0,17.0,10.0,0.78,0.53,10.0,17.0,45.0,40.0,36.0,19.0,6.0,6.0,0,0,0,0,5.0,3.0,2.21,3.66,1.21,-0.34,1,0,2026-04-19,29.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=6TBf1Jvp,6TBf1Jvp,490,558,265,343,15,43,19,55,62.0,91.0,83.0,123.0,4.0,10.0,4.0,22.0,2,5,4,11,CRA,RCZ
1.61,1.46,57.0,43.0,14.0,16.0,7.0,7.0,3.0,3.0,2.0,5.0,2,0,1.94,2.39,6.0,7.0,1.0,2.0,7.0,10.0,7.0,6.0,27.0,21.0,0.0,4.0,13.0,9.0,1.7,1.25,9.0,13.0,42.0,38.0,19.0,28.0,7.0,11.0,0,0,0,0,4.0,6.0,2.46,1.95,-0.54,0.95,0,0,2026-04-19,29.0,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=no2WAWBt,no2WAWBt,404,479,309,370,18,39,32,58,100.0,143.0,75.0,105.0,14.0,29.0,6.0,15.0,8,9,3,9,BBT,WPL
0.62,3.75,55.0,45.0,6.0,22.0,3.0,11.0,1.0,5.0,5.0,6.0,3,3,0.78,3.13,2.0,8.0,1.0,3.0,5.0,14.0,1.0,8.0,14.0,33.0,1.0,5.0,12.0,13.0,0.44,2.38,13.0,12.0,48.0,45.0,29.0,35.0,13.0,11.0,1,0,0,0,9.0,1.0,3.13,0.78,1.13,-0.22,0,0,2026-04-18,29.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vFeELmQb,vFeELmQb,345,425,266,345,28,63,15,42,87.0,131.0,67.0,100.0,5.0,22.0,4.0,15.0,6,11,12,15,LPO,POG
1.72,1.27,57.0,43.0,20.0,17.0,6.0,3.0,3.0,3.0,6.0,6.0,0,3,1.88,1.24,8.0,6.0,6.0,8.0,11.0,13.0,9.0,4.0,34.0,32.0,1.0,0.0,15.0,5.0,1.85,1.61,5.0,15.0,48.0,43.0,23.0,31.0,9.0,6.0,0,0,0,0,3.0,5.0,1.67,1.48,1.67,0.48,0,0,2026-04-18,29.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=8t8d36AU,8t8d36AU,367,436,237,313,27,55,6,35,141.0,176.0,59.0,96.0,3.0,21.0,7.0,24.0,7,10,8,18,GOR,KOR
2.33,0.24,51.0,49.0,20.0,7.0,5.0,2.0,2.0,0.0,6.0,2.0,5,1,1.3,0.06,8.0,4.0,7.0,1.0,14.0,3.0,6.0,4.0,26.0,23.0,2.0,0.0,15.0,12.0,0.95,0.72,12.0,15.0,45.0,50.0,27.0,39.0,13.0,10.0,0,0,0,0,2.0,3.0,0.06,1.3,0.06,-0.7,0,0,2026-04-18,29.0,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=b5m6N9en,b5m6N9en,262,341,240,341,15,47,26,59,80.0,128.0,59.0,105.0,7.0,29.0,3.0,15.0,7,10,8,13,RAD,WID
1.81,0.41,62.0,38.0,14.0,8.0,4.0,1.0,2.0,1.0,10.0,4.0,1,4,1.3,0.72,7.0,4.0,3.0,3.0,8.0,7.0,6.0,1.0,32.0,19.0,1.0,3.0,17.0,12.0,2.16,0.58,12.0,17.0,53.0,63.0,23.0,39.0,5.0,8.0,1,0,0,0,1.0,1.0,0.72,1.3,0.72,0.3,0,0,2026-04-17,29.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=v1Gu7lB5,v1Gu7lB5,296,385,151,235,30,72,24,65,99.0,142.0,28.0,64.0,6.0,25.0,3.0,16.0,10,12,10,14,LEG,ZAG
2.89,1.67,45.0,55.0,22.0,16.0,8.0,8.0,3.0,2.0,4.0,7.0,2,5,2.32,1.94,10.0,4.0,4.0,4.0,19.0,10.0,3.0,6.0,53.0,29.0,2.0,2.0,14.0,12.0,2.57,1.16,12.0,14.0,62.0,47.0,36.0,28.0,11.0,9.0,0,1,0,0,6.0,4.0,1.94,2.32,-0.06,-0.68,1,0,2026-04-17,29.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=CSgMJRfB,CSgMJRfB,241,327,324,412,14,52,14,47,98.0,141.0,64.0,102.0,12.0,24.0,4.0,22.0,14,18,7,11,GKS,MOT
1.81,1.7,58.0,42.0,16.0,4.0,2.0,3.0,5.0,2.0,11.0,1.0,1,1,0.46,1.95,11.0,1.0,3.0,0.0,12.0,4.0,4.0,0.0,31.0,14.0,0.0,2.0,14.0,13.0,1.58,0.35,13.0,14.0,54.0,40.0,22.0,40.0,13.0,9.0,0,0,0,0,1.0,2.0,1.95,0.46,-0.05,0.46,0,0,2026-04-13,28.0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vuu5fBRa,vuu5fBRa,351,434,222,320,16,49,18,71,95.0,139.0,50.0,98.0,9.0,34.0,1.0,7.0,8,15,9,14,PIA,POG
1.16,1.48,62.0,38.0,18.0,18.0,6.0,9.0,2.0,4.0,6.0,9.0,1,0,1.11,3.41,3.0,6.0,9.0,3.0,13.0,14.0,5.0,4.0,35.0,25.0,1.0,3.0,9.0,10.0,1.44,0.98,10.0,9.0,34.0,39.0,26.0,28.0,3.0,10.0,1,0,0,0,5.0,4.0,3.41,1.11,0.41,-0.89,0,0,2026-04-12,28.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=YsxcdXdm,YsxcdXdm,476,541,262,319,14,36,22,52,117.0,142.0,62.0,91.0,5.0,26.0,7.0,25.0,9,15,9,11,GKS,LPO
1.13,2.22,51.0,49.0,7.0,12.0,3.0,5.0,2.0,2.0,7.0,4.0,3,0,1.07,1.94,2.0,5.0,2.0,2.0,4.0,10.0,3.0,2.0,20.0,29.0,2.0,1.0,7.0,13.0,1.18,1.02,13.0,7.0,35.0,74.0,29.0,33.0,5.0,4.0,1,0,0,0,4.0,2.0,1.94,1.07,0.94,0.07,0,0,2026-04-12,28.0,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=hA1OsYsf,hA1OsYsf,284,370,273,357,14,50,35,65,67.0,108.0,91.0,141.0,5.0,19.0,8.0,16.0,7,10,10,18,MOT,RCZ
1.37,0.57,51.0,49.0,14.0,10.0,7.0,4.0,4.0,2.0,5.0,3.0,1,0,2.56,1.18,4.0,3.0,3.0,3.0,9.0,7.0,5.0,3.0,21.0,17.0,1.0,1.0,10.0,20.0,1.15,0.63,20.0,10.0,58.0,66.0,27.0,26.0,12.0,13.0,0,1,0,0,1.0,5.0,1.18,2.56,-0.82,0.56,0,0,2026-04-12,28.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/cracovia-KvXSf2A6/szczegoly/statystyki/?mid=EceQ1gZP,EceQ1gZP,282,372,269,355,14,49,27,61,80.0,138.0,48.0,84.0,5.0,13.0,6.0,19.0,6,16,10,17,ARK,CRA
1.88,0.4,43.0,57.0,14.0,7.0,1.0,2.0,4.0,2.0,6.0,3.0,4,3,0.99,0.7,8.0,3.0,5.0,2.0,12.0,3.0,2.0,4.0,26.0,19.0,0.0,1.0,10.0,14.0,1.27,0.69,14.0,10.0,52.0,55.0,21.0,33.0,8.0,5.0,0,1,0,0,1.0,0.0,0.7,0.99,-0.3,-0.01,0,0,2026-04-11,28.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=WfDFqfDs,WfDFqfDs,294,362,422,506,24,47,27,64,88.0,124.0,88.0,120.0,7.0,24.0,3.0,13.0,12,18,13,20,GOR,LEG
1.02,1.26,37.0,63.0,17.0,11.0,3.0,0.0,2.0,4.0,1.0,3.0,1,4,0.53,0.0,8.0,8.0,6.0,3.0,10.0,7.0,7.0,4.0,22.0,23.0,2.0,0.0,14.0,24.0,1.04,1.25,24.0,14.0,64.0,67.0,32.0,28.0,12.0,2.0,0,1,0,1,0.0,2.0,0.0,0.53,0.0,-0.47,0,0,2026-04-11,28.0,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=QyFVuCC6,QyFVuCC6,155,247,325,413,25,64,28,61,58.0,104.0,73.0,108.0,5.0,13.0,8.0,26.0,7,17,4,9,RAD,ZAG
2.07,0.8,56.0,44.0,20.0,9.0,8.0,2.0,6.0,1.0,10.0,1.0,3,3,2.57,0.48,5.0,4.0,7.0,3.0,14.0,7.0,6.0,2.0,26.0,25.0,2.0,2.0,19.0,14.0,1.78,1.28,14.0,19.0,67.0,62.0,33.0,44.0,14.0,7.0,1,0,0,0,2.0,7.0,0.48,2.57,0.48,1.57,1,0,2026-04-11,28.0,https://www.flashscore.pl/mecz/pilka-nozna/nieciecza-YNkK4khO/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=0fTDhkdC,0fTDhkdC,309,394,225,322,23,55,27,65,83.0,130.0,72.0,125.0,10.0,36.0,3.0,16.0,5,15,8,16,BBT,WID
2.42,1.09,36.0,64.0,21.0,10.0,5.0,4.0,4.0,1.0,5.0,3.0,0,1,1.97,1.09,6.0,3.0,10.0,3.0,15.0,5.0,6.0,5.0,43.0,19.0,4.0,1.0,11.0,9.0,1.69,0.6,9.0,11.0,47.0,36.0,30.0,26.0,10.0,5.0,0,2,0,0,3.0,4.0,1.09,1.97,0.09,0.97,0,0,2026-04-10,28.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=M38vvjsJ,M38vvjsJ,188,262,413,512,18,46,24,65,72.0,110.0,84.0,114.0,8.0,24.0,0.0,5.0,5,12,8,13,JAG,KOR
1.37,1.35,32.0,68.0,9.0,17.0,4.0,2.0,2.0,2.0,4.0,13.0,2,2,1.61,0.14,3.0,6.0,2.0,9.0,6.0,9.0,3.0,8.0,13.0,23.0,1.0,3.0,9.0,10.0,0.37,1.37,10.0,9.0,42.0,42.0,58.0,19.0,11.0,4.0,0,0,0,0,2.0,3.0,0.14,1.61,0.14,0.61,0,0,2026-04-10,28.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=0CMqkGkK,0CMqkGkK,171,231,409,476,32,67,26,46,34.0,62.0,139.0,177.0,3.0,16.0,7.0,52.0,7,11,5,7,LGD,WPL
1.86,0.87,50.0,50.0,14.0,11.0,5.0,2.0,2.0,1.0,5.0,5.0,3,4,2.49,1.06,5.0,5.0,4.0,4.0,9.0,7.0,5.0,4.0,24.0,21.0,4.0,0.0,15.0,13.0,1.13,0.91,13.0,15.0,64.0,59.0,39.0,30.0,5.0,8.0,0,1,0,0,1.0,2.0,1.06,2.49,0.06,-0.51,1,0,2026-04-07,27.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=CWqYzQU9,CWqYzQU9,226,315,210,297,22,52,29,59,56.0,96.0,67.0,119.0,5.0,13.0,7.0,30.0,3,9,14,17,ARK,ZAG
3.57,1.88,52.0,48.0,17.0,18.0,9.0,4.0,7.0,3.0,6.0,5.0,4,0,3.51,2.7,3.0,5.0,5.0,9.0,10.0,14.0,7.0,4.0,36.0,40.0,3.0,0.0,6.0,14.0,2.41,1.26,14.0,6.0,42.0,45.0,40.0,41.0,4.0,5.0,1,1,0,2,2.0,4.0,2.7,3.51,0.7,-0.49,1,0,2026-04-06,27.0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=4UOCTsNq,4UOCTsNq,296,367,265,342,19,37,14,40,96.0,134.0,54.0,94.0,5.0,21.0,4.0,19.0,11,21,4,9,KOR,LGD
0.8,2.22,58.0,42.0,14.0,10.0,1.0,6.0,1.0,6.0,4.0,3.0,2,1,0.05,2.21,5.0,4.0,8.0,0.0,5.0,10.0,9.0,0.0,19.0,27.0,6.0,2.0,11.0,9.0,0.81,0.95,9.0,11.0,56.0,53.0,36.0,30.0,5.0,14.0,0,0,2,0,4.0,1.0,2.21,0.04,0.21,0.04,0,0,2026-04-06,27.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=ChL8m3EF,ChL8m3EF,362,452,234,316,18,51,16,48,101.0,142.0,106.0,148.0,3.0,14.0,4.0,20.0,11,15,8,16,LEG,POG
