pozycja,player_slug,klub_slug,nazwa,wartosc
340,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,4
340,noah-raphael-weihaupt,legia-warszawa,Noah Raphael WeißhauptLegia Warszawa,4
361,jean-florent-batoum-1,cracovia,Jean Florent BatoumCracovia,3
361,jesse-bosch,gks-katowice,Jesse BoschGKS Katowice,3
361,alejandro-cantero-sanchez,jagiellonia-bialystok,Álex CanteroJagiellonia Białystok,3
361,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,3
361,kamil-cybulski,widzew-lodz,Kamil CybulskiWidzew Łódź,3
361,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,3
361,alex-raymond-douglas,lech-poznan,Alex Raymond DouglasLech Poznań,3
361,gustav-niklas-henriksson,cracovia,Gustav Niklas HenrikssonCracovia,3
361,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,3
361,miosz-kaahur,lechia-gdansk,Miłosz KałahurLechia Gdańsk,3
361,marcin-kaminski,wisla-plock,Marcin KamińskiWisła Płock,3
361,wojciech-kaminski,korona-kielce,Wojciech KamińskiKorona Kielce,3
361,karol-knap,cracovia,Karol KnapCracovia,3
361,kacper-kostorz,pogon-szczecin,Kacper KostorzPogoń Szczecin,3
361,jakub-ligocki,zagebie-lubin,Jakub LigockiKGHM Zagłębie Lubin,3
361,danijel-loncar,pogon-szczecin,Danijel LončarPogoń Szczecin,3
361,micha-piotr-marcjanik-1,arka-gdynia,Michał Piotr MarcjanikArka Gdynia,3
361,lucas-gabriel-masoero-masi,nieciecza,Lucas Gabriel Masoero MasiNieciecza,3
361,nemanja-mijuskovic,wisla-plock,Nemanja MijuškovićWisła Płock,3
361,bogdan-mircetic,rakow-czestochowa,Bogdan MirčetićRaków Częstochowa,3
361,alexander-noah-paulsen,lechia-gdansk,Alexander Noah PaulsenLechia Gdańsk,3
361,diego-pertejo-canseco,arka-gdynia,Diego PercanArka Gdynia,3
361,sran-plavsic,rakow-czestochowa,Srđan PlavšićRaków Częstochowa,3
361,kacper-smolinski,pogon-szczecin,Kacper SmolińskiPogoń Szczecin,3
361,szymon-sobczak,arka-gdynia,Szymon SobczakArka Gdynia,3
361,youssuf-sylla,jagiellonia-bialystok,Youssuf SyllaJagiellonia Białystok,3
361,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,3
361,przemysaw-wisniewski,widzew-lodz,Przemysław WiśniewskiWidzew Łódź,3
389,dawid-abramowicz,arka-gdynia,Dawid AbramowiczArka Gdynia,2
389,zoran-arsenic,rakow-czestochowa,Zoran ArsenićRaków Częstochowa,2
389,joao-gervasio-braganca-moutinho,lech-poznan,João MoutinhoLech Poznań,2
389,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,2
389,isak-oliver-brusberg,rakow-czestochowa,Isak Oliver BrusbergRaków Częstochowa,2
389,fabian-bzdyl,cracovia,Fabian BzdylCracovia,2
389,julien-albert-marc-celestine,arka-gdynia,Julien Albert Marc CélestineArka Gdynia,2
389,pawe-marek-dawidowicz,rakow-czestochowa,Paweł Marek DawidowiczRaków Częstochowa,2
389,diego-deisadze,nieciecza,Diego DeisadzeNieciecza,2
