kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away
23,Zagłębie Lubin,Wisła Płock,810,2,0,2,H,0,1,1,0,0,0.877,0.9664,1.8434,0.314,0.3237,0.3623,A,0,1.1584,0.3618,0.1583,0.4501,0.719,0.8842,0.8417,0.5499,0.281,0.1158,1.123,0.9664
23,Pogoń Szczecin,Widzew Łódź,810,1,0,1,H,0,1,0,0,0,1.8887,1.0569,2.9456,0.5679,0.2231,0.209,H,1,0.5657,0.5538,0.0526,0.2074,0.4355,0.6594,0.9474,0.7926,0.5645,0.3406,0.8887,1.0569
23,Cracovia,Piast Gliwice,810,2,3,5,A,1,1,1,1,1,1.2892,0.8753,2.1645,0.4611,0.2858,0.253,H,0,1.3742,0.4226,0.1148,0.3633,0.6322,0.8263,0.8852,0.6367,0.3678,0.1737,0.7108,2.1247
23,GKS Katowice,Górnik Zabrze,810,3,1,4,H,1,1,1,1,1,1.394,1.2025,2.5965,0.4135,0.2627,0.3238,H,1,0.8831,0.526,0.0745,0.2681,0.5193,0.7368,0.9255,0.7319,0.4807,0.2632,1.606,0.2025
23,Lech Poznań,Raków Częstochowa,810,4,3,7,H,1,1,1,1,1,1.3663,1.0546,2.4209,0.4395,0.2711,0.2895,H,1,0.8222,0.4855,0.0888,0.3039,0.5643,0.7743,0.9112,0.6961,0.4357,0.2257,2.6337,1.9454
23,Jagiellonia Białystok,Legia Warszawa,810,2,2,4,D,1,1,1,1,1,1.9144,1.1472,3.0616,0.5525,0.2219,0.2256,H,0,1.5054,0.5818,0.0468,0.1901,0.4096,0.6335,0.9532,0.8099,0.5904,0.3665,0.0856,0.8528
24,Wisła Płock,Arka Gdynia,819,0,3,3,A,0,1,1,1,0,1.5113,0.5247,2.036,0.6165,0.2565,0.1271,H,0,2.0631,0.3182,0.1305,0.3963,0.6669,0.8506,0.8695,0.6037,0.3331,0.1494,1.5113,2.4753
24,Legia Warszawa,Cracovia,819,1,0,1,H,0,1,0,0,0,1.6327,1.156,2.7887,0.4846,0.2453,0.2701,H,1,0.7244,0.5514,0.0615,0.233,0.4722,0.6945,0.9385,0.767,0.5278,0.3055,0.6327,1.156
24,Lechia Gdańsk,Jagiellonia Białystok,819,3,0,3,H,0,1,1,1,0,1.727,2.086,3.813,0.3248,0.2095,0.4657,A,0,1.1245,0.7201,0.0221,0.1063,0.2668,0.4709,0.9779,0.8937,0.7332,0.5291,1.273,2.086
24,Motor Lublin,Górnik Zabrze,819,0,0,0,D,0,0,0,0,0,1.4362,1.3764,2.8126,0.3875,0.252,0.3605,H,0,1.3782,0.5697,0.06,0.2289,0.4664,0.6891,0.94,0.7711,0.5336,0.3109,1.4362,1.3764
