kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
9,Pogoń Szczecin,Lechia Gdańsk,3,4,A,2.1001554539731453,1.0924987815040055,0.6022,0.2159,0.1819,1.7042,1.6614
9,GKS Katowice,Cracovia,0,3,A,1.3634319415394722,1.306903447251771,0.4596,0.3098,0.2306,1.4671,1.0299
9,Raków Częstochowa,Legia Warszawa,1,1,D,1.3290306861164738,1.1480724535314095,0.4638,0.2746,0.2616,1.2923,1.3088
9,Wisła Płock,Jagiellonia Białystok,0,1,A,1.2990544878027754,1.2125820917976113,0.4548,0.2913,0.2539,1.3706,1.0644
10,Wisła Płock,GKS Katowice,1,1,D,1.4627179040566447,0.9585383029512908,0.4957,0.2291,0.2752,1.4736,1.3303
10,Legia Warszawa,Pogoń Szczecin,1,0,H,1.7972857392773676,1.25376717378555,0.4809,0.2631,0.256,0.732,0.6899
10,Motor Lublin,Radomiak Radom,2,2,D,1.6086356700627007,1.2719029736850593,0.4495,0.2854,0.2651,1.2538,1.4072
10,Zagłębie Lubin,Arka Gdynia,4,0,H,1.5479036329743048,0.7522663739159664,0.5496,0.1828,0.2676,0.5985,0.5743
10,Korona Kielce,Lechia Gdańsk,3,0,H,1.6453469989459217,1.1678106731471989,0.4776,0.2579,0.2645,0.739,0.7236
10,Cracovia,Górnik Zabrze,1,1,D,1.3548198269463017,1.1013669916546611,0.4499,0.2698,0.2803,1.3102,1.3087
10,Lech Poznań,Jagiellonia Białystok,2,2,D,1.7067190281106488,1.301729050688097,0.4571,0.2829,0.2599,1.2625,1.4385
10,Piast Gliwice,Bruk-Bet Termalica Nieciecza,4,2,H,1.3234371517452217,0.8842425954438221,0.4911,0.2256,0.2833,0.7111,0.758
10,Widzew Łódź,Raków Częstochowa,0,1,A,1.0469994183334317,1.1799749710751548,0.3894,0.3177,0.2929,1.228,0.9439
11,Arka Gdynia,Cracovia,2,1,H,0.8285030624203669,1.3306154272163158,0.3031,0.3764,0.3205,1.1938,1.4569
11,Bruk-Bet Termalica Nieciecza,Widzew Łódź,2,4,A,1.3800855551849494,1.2371123485779267,0.4124,0.3215,0.2661,1.3239,1.0919
11,Lechia Gdańsk,Wisła Płock,1,1,D,1.2570967349883169,1.2366935742720047,0.3926,0.3284,0.279,1.1134,1.3078
11,Górnik Zabrze,Legia Warszawa,3,1,H,1.3157168237204457,1.3561024541171998,0.3693,0.3601,0.2706,0.9962,1.0194
11,Radomiak Radom,Zagłębie Lubin,3,1,H,1.4876091330429138,1.1445678155001453,0.4561,0.2891,0.2548,0.7851,0.7967
11,Pogoń Szczecin,Piast Gliwice,2,1,H,1.5517305314696663,0.9318777822956479,0.526,0.2302,0.2438,0.6424,0.6578
11,GKS Katowice,Lech Poznań,0,1,A,1.1981275904951554,1.5401241187892603,0.3032,0.4224,0.2743,1.2935,0.794
11,Raków Częstochowa,Motor Lublin,2,0,H,1.6927544197885636,0.9205472574331535,0.5531,0.2191,0.2278,0.5922,0.5874
