kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,rho,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora
25,Pogoń Szczecin,Korona Kielce,828,2,1,3,H,1,1,1,1,0,1.6125,0.9513,2.5638,-0.0628,0.5211,0.2638,0.2151,H,1,0.6518,0.4914,0.0844,0.267,0.5276,0.7439,0.9156,0.733,0.4724,0.2561,0.3875,0.0487,0,,,
25,Cracovia,Wisła Płock,828,1,2,3,A,1,1,1,1,0,1.3505,0.8292,2.1797,-0.0628,0.4822,0.2958,0.222,H,0,1.5049,0.4176,0.121,0.3516,0.6282,0.8233,0.879,0.6484,0.3718,0.1767,0.3505,1.1708,1,Wisła Płock,24.0,0.2941
25,GKS Katowice,Lechia Gdańsk,828,2,0,2,H,0,1,1,0,0,2.1035,1.4808,3.5843,-0.0628,0.5142,0.2209,0.2649,H,1,0.6651,0.6783,0.0332,0.1218,0.3056,0.5186,0.9668,0.8782,0.6944,0.4814,0.1035,1.4808,0,,,
25,Jagiellonia Białystok,Piast Gliwice,828,1,2,3,A,1,1,1,1,0,1.6852,0.8846,2.5698,-0.0628,0.5558,0.2553,0.1889,H,0,1.6664,0.4783,0.0837,0.2661,0.526,0.7426,0.9163,0.7339,0.474,0.2574,0.6852,1.1154,0,,,
26,Jagiellonia Białystok,Wisła Płock,837,1,2,3,A,1,1,1,1,0,1.6661,0.8403,2.5064,-0.0651,0.5622,0.2574,0.1804,H,0,1.7123,0.461,0.089,0.2786,0.5422,0.7562,0.911,0.7214,0.4578,0.2438,0.6661,1.1597,1,Wisła Płock,25.0,0.2857
26,Legia Warszawa,Raków Częstochowa,837,1,1,2,D,1,1,1,0,0,1.2421,1.1411,2.3832,-0.0651,0.3774,0.2944,0.3283,H,0,1.2229,0.484,0.1008,0.3036,0.5741,0.7822,0.8992,0.6964,0.4259,0.2178,0.2421,0.1411,0,,,
26,Lechia Gdańsk,Pogoń Szczecin,837,2,1,3,H,1,1,1,1,0,1.8358,1.7747,3.6105,-0.0651,0.3972,0.2304,0.3725,H,1,0.9234,0.698,0.0328,0.1189,0.3009,0.513,0.9672,0.8811,0.6991,0.487,0.1642,0.7747,0,,,
26,Motor Lublin,Zagłębie Lubin,837,1,0,1,H,0,1,0,0,0,1.572,1.3141,2.8861,-0.0651,0.427,0.2612,0.3119,H,1,0.851,0.5794,0.0633,0.2093,0.4492,0.6727,0.9367,0.7907,0.5508,0.3273,0.572,1.3141,0,,,
26,Korona Kielce,Arka Gdynia,837,3,0,3,H,0,1,1,1,0,1.5084,0.7844,2.2928,-0.0651,0.5366,0.2764,0.187,H,1,0.6224,0.4233,0.1088,0.3247,0.5979,0.8008,0.8912,0.6753,0.4021,0.1992,1.4916,0.7844,1,Arka Gdynia,25.0,0.2857
26,Cracovia,GKS Katowice,837,1,0,1,H,0,1,0,0,0,1.6215,1.1921,2.8136,-0.0651,0.4661,0.2607,0.2732,H,1,0.7634,0.5588,0.0675,0.2212,0.4662,0.6889,0.9325,0.7788,0.5338,0.3111,0.6215,1.1921,0,,,
26,Lech Poznań,Bruk-Bet Termalica Nieciecza,837,4,1,5,H,1,1,1,1,1,2.3949,0.8588,3.2537,-0.0651,0.7089,0.18,0.1112,H,1,0.3441,0.5238,0.0438,0.1592,0.3689,0.5907,0.9562,0.8408,0.6311,0.4093,1.6051,0.1412,1,Bruk-Bet Termalica Nieciecza,25.0,0.2857
26,Piast Gliwice,Radomiak Radom,837,3,1,4,H,1,1,1,1,1,1.4567,1.0366,2.4933,-0.0651,0.4597,0.2795,0.2608,H,1,0.7772,0.495,0.0908,0.2806,0.5455,0.759,0.9092,0.7194,0.4545,0.241,1.5433,0.0366,0,,,
26,Widzew Łódź,Górnik Zabrze,837,0,0,0,D,0,0,0,0,0,1.2203,1.149,2.3693,-0.0651,0.3696,0.2956,0.3348,H,0,1.2188,0.4815,0.1021,0.3066,0.5777,0.7851,0.8979,0.6934,0.4223,0.2149,1.2203,1.149,0,,,
27,Arka Gdynia,Zagłębie Lubin,846,3,1,4,H,1,1,1,1,1,1.1064,1.2928,2.3992,-0.0649,0.3088,0.292,0.3991,A,0,1.1749,0.4855,0.0992,0.3002,0.5699,0.7789,0.9008,0.6998,0.4301,0.2211,1.8936,0.2928,1,Arka Gdynia,26.0,0.2778
27,Bruk-Bet Termalica Nieciecza,Piast Gliwice,846,3,2,5,H,1,1,1,1,1,1.0648,1.2236,2.2884,-0.0649,0.3105,0.3005,0.389,A,0,1.1696,0.4625,0.11,0.325,0.5991,0.8017,0.89,0.675,0.4009,0.1983,1.9352,0.7764,1,Bruk-Bet Termalica Nieciecza,26.0,0.2778
27,Lechia Gdańsk,Korona Kielce,846,4,2,6,H,1,1,1,1,1,1.7186,1.3022,3.0208,-0.0649,0.4654,0.2506,0.284,H,1,0.7649,0.5975,0.0558,0.189,0.4185,0.6426,0.9442,0.811,0.5815,0.3574,2.2814,0.6978,0,,,
27,Górnik Zabrze,Cracovia,846,3,0,3,H,0,1,1,1,0,1.4417,1.0579,2.4996,-0.0649,0.4507,0.2803,0.269,H,1,0.7969,0.4984,0.0902,0.2793,0.5439,0.7577,0.9098,0.7207,0.4561,0.2423,1.5583,1.0579,0,,,
27,Radomiak Radom,Motor Lublin,846,1,1,2,D,1,1,1,0,0,1.9411,1.3679,3.309,-0.0649,0.5026,0.2332,0.2643,H,0,1.456,0.6384,0.0429,0.1512,0.3577,0.5784,0.9571,0.8488,0.6423,0.4216,0.9411,0.3679,0,,,
27,Pogoń Szczecin,Legia Warszawa,846,0,2,2,A,0,1,1,0,0,1.6341,1.215,2.8491,-0.0649,0.4641,0.2591,0.2768,H,0,1.2844,0.5661,0.0654,0.2154,0.4578,0.681,0.9346,0.7846,0.5422,0.319,1.6341,0.785,0,,,
27,GKS Katowice,Wisła Płock,846,1,0,1,H,0,1,0,0,0,1.2893,0.9025,2.1918,-0.0649,0.446,0.3016,0.2523,H,1,0.8074,0.4307,0.1201,0.3481,0.6249,0.821,0.8799,0.6519,0.3751,0.179,0.2893,0.9025,1,Wisła Płock,26.0,0.2778
27,Raków Częstochowa,Widzew Łódź,846,1,1,2,D,1,1,1,0,0,1.6432,0.7648,2.408,-0.0649,0.5763,0.2587,0.1651,H,0,1.3522,0.4312,0.0973,0.2994,0.5676,0.7771,0.9027,0.7006,0.4324,0.2229,0.6432,0.2352,0,,,
27,Jagiellonia Białystok,Lech Poznań,846,0,0,0,D,0,0,0,0,0,1.7969,1.45,3.2469,-0.0649,0.4523,0.242,0.3057,H,0,1.4189,0.6385,0.0455,0.1586,0.3702,0.5921,0.9545,0.8414,0.6298,0.4079,1.7969,1.45,0,,,
28,Wisła Płock,Lechia Gdańsk,855,1,0,1,H,0,1,0,0,0,1.5552,1.1853,2.7405,-0.0738,0.4499,0.2685,0.2815,H,1,0.7986,0.5477,0.0733,0.2326,0.4838,0.7052,0.9267,0.7674,0.5162,0.2948,0.5552,1.1853,1,Wisła Płock,27.0,0.2703
