match_id,sezon,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,has_observed_xg,xg_source,xg_gosp_obs,xg_gosc_obs,xg_gosp_hybrid,xg_gosc_hybrid
1701,2023/24,2,2023-07-30,Stal Mielec,Piast Gliwice,0.0,0.0,8.0,24.0,2.0,3.0,K0eXOY73,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=K0eXOY73,0,imputed_constrained,,,0.5053172207481978,2.168763824354784
1702,2023/24,3,2023-08-04,Jagiellonia Białystok,Widzew Łódź,2.0,1.0,15.0,9.0,2.0,3.0,MRGD44Ml,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=MRGD44Ml,0,imputed_constrained,,,1.65710847657606,1.1040759018628339
1703,2023/24,3,2023-08-04,ŁKS Łódź,Korona Kielce,2.0,1.0,7.0,20.0,3.0,4.0,4njHOPDK,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=4njHOPDK,0,imputed_constrained,,,1.0208021000502183,1.4814899815576859
1704,2023/24,3,2023-08-05,Raków Częstochowa,Warta Poznań,2.0,2.0,15.0,13.0,7.0,5.0,nBeCP5bE,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=nBeCP5bE,0,imputed_constrained,,,1.1662575321920199,1.2256709101581307
1705,2023/24,3,2023-08-05,Górnik Zabrze,Piast Gliwice,0.0,0.0,7.0,9.0,2.0,0.0,hhC95p7r,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=hhC95p7r,0,imputed_constrained,,,0.5227732218435225,1.1240821092648945
1706,2023/24,3,2023-08-05,Radomiak Radom,Cracovia,0.0,1.0,28.0,10.0,4.0,4.0,8Kd8Qoq8,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=8Kd8Qoq8,0,imputed_constrained,,,1.950006447417633,1.7926287910186967
1707,2023/24,3,2023-08-30,Pogoń Szczecin,Śląsk Wrocław,0.0,2.0,15.0,6.0,2.0,3.0,rwkLNqTQ,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=rwkLNqTQ,0,imputed_constrained,,,1.7314258846608865,1.1375604815108025
1708,2023/24,3,2023-08-06,Zagłębie Lubin,Lech Poznań,1.0,1.0,18.0,11.0,7.0,3.0,0IFH3Oye,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=0IFH3Oye,0,imputed_constrained,,,1.480249494453227,1.395707290979533
1709,2023/24,3,2023-08-06,Legia Warszawa,Ruch Chorzów,3.0,0.0,24.0,8.0,6.0,1.0,rs5M2ri1,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=rs5M2ri1,0,imputed_constrained,,,2.85491508538142,1.0724515807179207
1710,2023/24,3,2023-08-07,Puszcza Niepołomice,Stal Mielec,1.0,0.0,5.0,9.0,2.0,2.0,fH8Q1267,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=fH8Q1267,0,imputed_constrained,,,1.0700668323369704,0.8898824771165204
1711,2023/24,4,2023-08-11,Cracovia,Zagłębie Lubin,2.0,1.0,14.0,15.0,8.0,4.0,0IymJ3yr,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=0IymJ3yr,0,imputed_constrained,,,1.5490706016151037,1.3489135004733344
1712,2023/24,4,2023-08-12,Korona Kielce,Górnik Zabrze,0.0,1.0,21.0,13.0,4.0,3.0,ELuiINjl,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=ELuiINjl,0,imputed_constrained,,,1.340855308643,1.2469942870264668
1713,2023/24,4,2023-10-24,Lech Poznań,Jagiellonia Białystok,3.0,3.0,9.0,15.0,4.0,6.0,dpVeHs6f,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=dpVeHs6f,0,imputed_constrained,,,1.0273810409053048,1.7578542843944787
1714,2023/24,4,2023-08-11,Piast Gliwice,Raków Częstochowa,2.0,1.0,18.0,8.0,5.0,2.0,zyUaG1L0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=zyUaG1L0,0,imputed_constrained,,,1.4483438563921693,0.7178449224873792
1715,2023/24,4,2023-08-13,Pogoń Szczecin,Radomiak Radom,0.0,2.0,14.0,13.0,3.0,3.0,UBr3FLz7,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=UBr3FLz7,0,imputed_constrained,,,2.2182969287816134,1.4065447903704484
1716,2023/24,4,2023-08-13,Puszcza Niepołomice,Legia Warszawa,1.0,1.0,9.0,16.0,1.0,5.0,82s7EujD,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/puszcza-dtqx13O8/szczegoly/statystyki/?mid=82s7EujD,0,imputed_constrained,,,1.1582558723100338,1.842712547563097
1717,2023/24,4,2023-08-12,Stal Mielec,Śląsk Wrocław,3.0,1.0,11.0,15.0,7.0,4.0,A7LkwPSD,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=A7LkwPSD,0,imputed_constrained,,,1.067771238480587,1.7181778767497473
1718,2023/24,4,2023-08-14,Warta Poznań,Ruch Chorzów,2.0,2.0,10.0,10.0,4.0,2.0,OAPgxqrK,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=OAPgxqrK,0,imputed_constrained,,,1.8691073711658996,1.6371084770152116
1719,2023/24,4,2023-08-12,Widzew Łódź,ŁKS Łódź,1.0,0.0,11.0,11.0,5.0,3.0,IXOcy3cQ,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=IXOcy3cQ,0,imputed_constrained,,,1.8113121699896568,1.1528154013322327
1720,2023/24,5,2023-08-21,Cracovia,Piast Gliwice,1.0,1.0,18.0,14.0,4.0,6.0,KtBPWM5s,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=KtBPWM5s,0,imputed_constrained,,,0.7575506478545692,1.945930842847897
1721,2023/24,5,2023-08-18,Górnik Zabrze,Widzew Łódź,1.0,1.0,6.0,16.0,3.0,4.0,xI5UVtLm,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=xI5UVtLm,0,imputed_constrained,,,1.3501278840143225,1.690014207702816
1722,2023/24,5,2023-08-18,Zagłębie Lubin,Puszcza Niepołomice,1.0,0.0,14.0,16.0,8.0,4.0,G84YU0zf,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=G84YU0zf,0,imputed_constrained,,,1.4616776598832353,1.4621907558878002
1723,2023/24,5,2023-08-20,Legia Warszawa,Korona Kielce,1.0,0.0,16.0,8.0,5.0,1.0,AV3xUKk0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=AV3xUKk0,0,imputed_constrained,,,1.394897201760308,0.8410191241966029
1724,2023/24,5,2023-08-19,Radomiak Radom,Warta Poznań,3.0,2.0,11.0,14.0,5.0,6.0,M57tTv56,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=M57tTv56,0,imputed_constrained,,,1.6353762066883637,1.870835377929785
1725,2023/24,5,2023-08-19,Raków Częstochowa,Stal Mielec,2.0,0.0,16.0,9.0,5.0,2.0,4UdoSbKC,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=4UdoSbKC,0,imputed_constrained,,,1.611296573102063,0.8305831798612537
1726,2023/24,5,2023-08-19,Ruch Chorzów,Jagiellonia Białystok,0.0,1.0,14.0,12.0,3.0,4.0,rLekRIZI,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=rLekRIZI,0,imputed_constrained,,,1.364616094508898,1.9563341534110479
1727,2023/24,5,2023-08-20,ŁKS Łódź,Pogoń Szczecin,1.0,0.0,14.0,16.0,5.0,4.0,WzkXk2CJ,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=WzkXk2CJ,0,imputed_constrained,,,0.912366724616652,2.305669582766053
1728,2023/24,5,2023-08-20,Śląsk Wrocław,Lech Poznań,3.0,1.0,13.0,15.0,3.0,3.0,ARmykMRP,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=ARmykMRP,0,imputed_constrained,,,1.7218935304808747,1.4931981611112704
1729,2023/24,6,2023-08-27,Jagiellonia Białystok,Górnik Zabrze,4.0,1.0,20.0,8.0,8.0,1.0,G8Q3ptzs,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=G8Q3ptzs,0,imputed_constrained,,,1.8330293726100022,0.9705104915613133
1730,2023/24,6,2023-08-27,Korona Kielce,Zagłębie Lubin,2.0,0.0,18.0,8.0,6.0,3.0,UBU7q0km,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=UBU7q0km,0,imputed_constrained,,,1.3937116167710035,0.9711832634539083
1731,2023/24,6,2023-09-28,Lech Poznań,Raków Częstochowa,4.0,1.0,12.0,7.0,6.0,2.0,OYTBrK4g,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=OYTBrK4g,0,imputed_constrained,,,1.1891826104597998,1.2677033616633542
1732,2023/24,6,2023-08-26,Piast Gliwice,Ruch Chorzów,0.0,0.0,17.0,7.0,6.0,0.0,2PSFsvKa,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=2PSFsvKa,0,imputed_constrained,,,2.755824157009459,0.6748033150810652
1733,2023/24,6,2023-09-27,Pogoń Szczecin,Legia Warszawa,3.0,4.0,16.0,17.0,5.0,6.0,rypDtbZ5,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=rypDtbZ5,0,imputed_constrained,,,1.9260163792925393,1.2487147183563407
1734,2023/24,6,2023-08-26,Puszcza Niepołomice,ŁKS Łódź,2.0,1.0,14.0,11.0,4.0,3.0,MRrHuIlC,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/puszcza-dtqx13O8/szczegoly/statystyki/?mid=MRrHuIlC,0,imputed_constrained,,,1.6518930062869095,1.1065654158699625
1735,2023/24,6,2023-08-25,Stal Mielec,Radomiak Radom,2.0,0.0,6.0,13.0,2.0,1.0,GlrLvx4I,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=GlrLvx4I,0,imputed_constrained,,,1.1065325319571,1.6336482105141608
1736,2023/24,6,2023-08-26,Warta Poznań,Cracovia,0.0,0.0,2.0,13.0,0.0,1.0,UinPwdJO,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=UinPwdJO,0,imputed_constrained,,,0.5534465103210848,1.1937339816723602
1737,2023/24,6,2023-08-25,Widzew Łódź,Śląsk Wrocław,0.0,2.0,14.0,13.0,1.0,5.0,WdQ72udP,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=WdQ72udP,0,imputed_constrained,,,1.3600091835704475,1.9251835219379605
1738,2023/24,7,2023-09-02,Cracovia,Korona Kielce,0.0,0.0,14.0,7.0,3.0,2.0,Y5CZca4t,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=Y5CZca4t,0,imputed_constrained,,,1.2830021776075318,0.8573766257704659
1739,2023/24,7,2023-09-03,Zagłębie Lubin,Pogoń Szczecin,1.0,0.0,19.0,7.0,8.0,1.0,2uHwcJJn,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=2uHwcJJn,0,imputed_constrained,,,1.081312715803634,1.07249627181498
1740,2023/24,7,2023-09-02,Lech Poznań,Górnik Zabrze,1.0,1.0,20.0,6.0,6.0,2.0,tWFsdwZh,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=tWFsdwZh,0,imputed_constrained,,,1.5778190154360126,1.2302088392159705
1741,2023/24,7,2023-09-03,Legia Warszawa,Widzew Łódź,3.0,1.0,20.0,8.0,10.0,3.0,Of5necla,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=Of5necla,0,imputed_constrained,,,2.207566287444486,1.2680295658855432
1742,2023/24,7,2023-09-02,Radomiak Radom,Piast Gliwice,1.0,1.0,14.0,21.0,3.0,7.0,MuOkfH35,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=MuOkfH35,0,imputed_constrained,,,0.8520893917058928,2.8232411834566316
