sezon,match_id,kolejka,gospodarz,gosc,wynik_1x2,p_home_raw,p_draw_raw,p_away_raw,lambda_home,lambda_away,decay,ll_cal
2025/26,2344,1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,A,0.6762255722314537,0.1905612976840384,0.133213130084508,2.1569037030765394,0.8375283857474379,0.0,2.039629400719468
2025/26,2345,1,Lech Poznań,Cracovia,A,0.5292066850635222,0.2474146420167057,0.2233786729197721,1.6274031861919598,0.9633744592588591,0.0,1.4833154266379904
2025/26,2346,1,Widzew Łódź,Zagłębie Lubin,H,0.45715693763734283,0.26482562927399633,0.2780174330886608,1.4336241259805356,1.0561048896176357,0.0,0.7952397100674029
2025/26,2347,1,Wisła Płock,Korona Kielce,H,0.3416093331133082,0.2949098695021295,0.36348079738456235,1.0556317637136527,1.0987014374121593,0.0,1.1134307893090594
2025/26,2348,1,GKS Katowice,Raków Częstochowa,A,0.31997912405977463,0.2792619351999518,0.40075894074027346,1.089749762386281,1.254814739038145,0.0,0.8682188713629835
2025/26,2349,1,Górnik Zabrze,Lechia Gdańsk,H,0.5326868424710196,0.23673258629052382,0.23058057123845666,1.7385788087548146,1.0600336714528171,0.0,0.6301695868036375
2025/26,2350,1,Motor Lublin,Arka Gdynia,H,0.5429627697449639,0.2413260326067295,0.2157111976483064,1.6876987761551903,0.9673445127784246,0.0,0.6093913138390022
2025/26,2351,1,Legia Warszawa,Piast Gliwice,A,0.5301245402821761,0.2480561213887807,0.22181933832904321,1.6212431120712074,0.9534628621132245,0.0,1.4907816979437527
2025/26,2352,1,Radomiak Radom,Pogoń Szczecin,H,0.31201565316863883,0.2562908760741056,0.4316934707572555,1.2141988188747206,1.4741133993996585,0.0,1.2159489659549423
2025/26,2353,2,Arka Gdynia,Radomiak Radom,D,0.36088653926859227,0.2878671118516823,0.35124634887972545,1.1316936090833905,1.1123821266091054,0.0,1.2542603087054347
2025/26,2354,2,Lechia Gdańsk,Lech Poznań,A,0.2858129844811203,0.24696230568962205,0.46722470982925757,1.1994022739720398,1.6021465487122193,0.0,0.7101465940093938
2025/26,2355,2,Pogoń Szczecin,Motor Lublin,H,0.571967344492763,0.21873288855006073,0.2092997669571762,1.9435099386700192,1.0911171370842294,0.0,0.5541182200999462
2025/26,2356,2,Korona Kielce,Legia Warszawa,A,0.3261462893871023,0.25987104669049355,0.41398266392240435,1.228265883300119,1.4174466392317824,0.0,0.8342106637129887
