match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
2014,JAG,PUN,2,0,2024-07-19,67.8,32.2,20,9,7,2,6,3,7,4,6,0,9,24,1,4,3,3,0,0,0,0,27,9,4,4,10,12,536,258,467,188,1
2015,ŚLĄ,LGD,1,1,2024-07-19,60.4,39.6,20,3,5,2,6,1,9,0,12,1,12,6,1,2,3,1,0,0,0,0,32,3,9,0,8,21,474,332,410,251,1
2016,GKS,RAD,1,2,2024-07-20,52.1,47.9,18,15,7,3,5,5,6,7,5,3,7,16,1,0,1,5,0,0,0,0,30,17,7,4,10,8,375,356,314,282,1
2017,POG,KOR,3,0,2024-07-20,50.7,49.3,17,11,6,2,5,2,6,7,5,5,13,14,1,1,1,3,0,0,0,0,19,21,3,3,8,11,397,386,336,307,1
2018,LEG,ZAG,2,0,2024-07-20,55.9,44.1,19,6,3,1,5,1,11,4,3,1,12,12,1,0,1,0,0,1,0,0,28,7,7,0,5,11,446,367,368,272,1
2019,CRA,PIA,1,1,2024-07-21,52,48,3,23,1,4,0,3,2,16,0,6,14,12,0,2,3,1,0,0,0,0,5,17,1,8,5,12,456,411,367,322,1
2020,LPO,GÓR,2,0,2024-07-21,48.8,51.2,17,6,5,3,5,0,7,3,4,2,15,7,1,2,1,2,0,0,0,0,17,11,7,3,17,8,451,478,391,420,1
2021,MOT,RCZ,0,2,2024-07-21,49.7,50.3,10,16,2,7,3,6,5,3,4,8,7,21,0,1,1,3,0,0,0,0,10,11,3,2,9,14,349,367,267,287,1
2022,STM,WID,1,1,2024-07-22,48,52,9,12,4,4,0,4,5,4,1,1,13,12,0,6,2,2,0,1,0,1,18,23,6,1,8,8,417,454,323,378,1
2023,PUN,GÓR,2,2,2024-07-26,40.3,59.7,9,16,3,8,2,3,4,5,4,2,10,8,1,0,1,2,0,0,0,0,17,15,6,4,10,9,368,551,297,483,2
