match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
1684,WAR,POG,0,1,2023-07-21,29.1,70.9,9,12,1,3,5,3,3,6,6,5,12,9,4,1,1,0,0,0,0,0,23,20,5,5,9,10,251,647,169,552,1
1685,LEG,ŁKS,3,0,2023-07-21,59.2,40.8,18,7,9,1,3,2,6,4,8,4,8,17,0,1,0,0,0,0,0,0,18,15,7,3,18,10,508,344,455,278,1
1686,STM,CRA,2,2,2023-07-22,48.9,51.1,8,20,4,8,0,6,4,6,4,8,12,11,4,0,2,2,0,0,0,0,14,26,3,9,5,10,367,378,282,298,1
1687,RCZ,JAG,3,0,2023-07-22,56.6,43.4,11,7,6,1,2,1,3,5,8,4,11,12,0,2,0,4,0,0,0,0,13,8,3,3,9,11,525,404,446,323,1
1688,PIA,LPO,1,2,2023-07-22,39.8,60.2,15,7,5,2,3,3,7,2,4,1,9,20,2,1,1,4,0,0,0,0,25,15,3,4,8,11,358,561,252,472,1
1689,GÓR,RAD,0,2,2023-07-23,51.3,48.7,4,20,0,4,1,3,3,13,2,9,20,17,2,2,2,0,0,0,0,0,10,23,3,5,7,11,434,403,345,323,1
1690,ZAG,RCH,2,1,2023-07-23,63.3,36.7,16,6,3,1,7,0,6,5,4,1,13,15,2,2,1,3,0,0,0,0,16,15,2,2,5,9,537,305,437,211,1
1691,WID,PUN,3,2,2023-07-23,58.6,41.4,12,14,6,4,3,6,3,4,5,1,17,9,3,4,3,0,0,0,0,0,19,24,4,6,3,4,489,338,381,243,1
1692,KOR,ŚLĄ,1,1,2023-07-24,57.4,42.6,11,4,5,2,2,1,4,1,2,3,11,11,2,1,3,3,0,0,0,0,28,20,5,4,6,5,462,341,369,242,1
1693,JAG,PUN,4,1,2023-07-29,61,39,12,11,6,6,1,0,5,5,5,4,11,21,1,0,3,0,0,0,0,0,15,26,2,5,10,13,449,271,372,193,2
1694,RCH,ŁKS,2,0,2023-07-28,40,60,14,17,5,2,3,7,6,8,4,9,19,16,3,1,3,3,0,1,0,1,16,21,5,3,9,6,305,463,229,373,2
1695,WAR,GÓR,2,0,2023-07-29,29.7,70.3,12,12,3,1,2,6,7,5,7,5,12,12,0,0,0,2,0,0,0,0,11,28,6,7,6,9,255,597,162,522,2
1696,KOR,RCZ,0,2,2024-03-13,53.8,46.2,19,11,3,4,6,1,10,6,6,1,12,20,1,2,2,3,0,1,0,1,21,8,4,1,12,6,408,361,284,254,2
1697,ŚLĄ,ZAG,1,2,2023-07-29,54.5,45.5,21,7,6,5,7,1,8,1,6,6,11,14,0,0,1,1,0,0,0,0,30,16,7,1,6,5,421,361,355,295,2
1698,POG,WID,2,1,2023-07-30,57.4,42.6,25,10,9,2,11,4,5,4,16,7,10,10,0,5,1,1,0,0,0,0,34,15,7,0,2,6,457,351,389,275,2
