match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
2362,WPŁ,PIA,2,0,2025-08-01,30.2,69.8,9.0,6.0,3.0,1.0,5.0,2.0,1.0,3.0,8.0,6.0,10.0,11.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,17.0,23.0,4.0,4.0,7.0,3.0,250.0,600.0,193.0,542.0,3
2363,BBT,POG,1,1,2025-08-02,42.0,58.0,16.0,12.0,7.0,2.0,5.0,5.0,4.0,5.0,6.0,9.0,8.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,27.0,3.0,2.0,4.0,8.0,339.0,453.0,254.0,383.0,3
2364,LEG,ARK,0,0,2025-08-03,62.9,37.1,20.0,6.0,3.0,0.0,10.0,3.0,7.0,3.0,13.0,4.0,19.0,13.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,37.0,19.0,11.0,6.0,7.0,8.0,473.0,284.0,388.0,213.0,3
2365,MOT,JAG,1,1,2025-08-03,49.8,50.2,15.0,21.0,1.0,7.0,5.0,5.0,9.0,9.0,5.0,7.0,14.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,19.0,9.0,8.0,15.0,7.0,372.0,386.0,290.0,315.0,3
2366,ZAG,KOR,1,1,2025-08-01,45.6,54.4,8.0,17.0,2.0,5.0,0.0,8.0,6.0,4.0,7.0,8.0,15.0,19.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,27.0,7.0,7.0,11.0,10.0,309.0,372.0,222.0,285.0,3
2367,RAD,RCZ,3,1,2025-08-03,35.6,64.4,12.0,11.0,6.0,5.0,2.0,4.0,4.0,2.0,1.0,7.0,20.0,14.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,37.0,3.0,8.0,6.0,11.0,243.0,414.0,178.0,338.0,3
2368,CRA,LGD,2,2,2025-08-03,56.1,43.9,20.0,12.0,6.0,2.0,7.0,4.0,7.0,6.0,5.0,4.0,13.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,18.0,9.0,6.0,15.0,6.0,424.0,335.0,336.0,249.0,3
2369,LPO,GÓR,2,1,2025-08-02,55.5,44.5,12.0,12.0,5.0,1.0,2.0,6.0,5.0,5.0,6.0,8.0,9.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,21.0,2.0,2.0,7.0,8.0,525.0,414.0,446.0,341.0,3
2370,WID,GKS,3,0,2025-08-02,43.1,56.9,21.0,8.0,4.0,3.0,8.0,3.0,9.0,2.0,8.0,6.0,6.0,7.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,24.0,5.0,2.0,12.0,7.0,274.0,364.0,206.0,297.0,3
2371,ARK,POG,2,1,2025-08-09,43.9,56.1,11.0,13.0,5.0,3.0,3.0,6.0,3.0,4.0,6.0,5.0,13.0,14.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,23.0,23.0,3.0,7.0,8.0,10.0,315.0,398.0,254.0,324.0,4
2372,LEG,GKS,3,1,2025-08-10,58.3,41.7,20.0,7.0,7.0,6.0,5.0,0.0,8.0,1.0,5.0,7.0,11.0,13.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,18.0,7.0,4.0,5.0,9.0,473.0,336.0,371.0,237.0,4
2373,LGD,MOT,3,3,2025-08-11,52.5,47.5,18.0,14.0,9.0,4.0,3.0,3.0,6.0,7.0,3.0,8.0,11.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,21.0,8.0,7.0,12.0,7.0,339.0,299.0,247.0,230.0,4
2374,GÓR,BBT,0,1,2025-08-08,61.9,38.1,25.0,7.0,5.0,2.0,8.0,2.0,12.0,3.0,7.0,2.0,12.0,15.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,29.0,2.0,10.0,0.0,11.0,13.0,569.0,364.0,487.0,269.0,4
2375,KOR,RAD,3,0,2025-08-08,42.8,57.2,13.0,7.0,3.0,3.0,3.0,0.0,7.0,4.0,2.0,5.0,15.0,16.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,17.0,15.0,4.0,4.0,10.0,9.0,315.0,428.0,248.0,355.0,4
2376,RCZ,ZAG,0,1,2025-08-10,56.1,43.9,13.0,15.0,3.0,5.0,5.0,3.0,5.0,7.0,1.0,1.0,11.0,21.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,22.0,10.0,7.0,6.0,2.0,7.0,401.0,321.0,298.0,219.0,4
2377,JAG,CRA,5,2,2025-08-10,63.5,36.5,15.0,12.0,8.0,4.0,5.0,3.0,2.0,5.0,10.0,5.0,14.0,17.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,29.0,14.0,9.0,4.0,5.0,10.0,492.0,280.0,410.0,201.0,4
2378,PIA,LPO,1,0,2025-08-09,47.5,52.5,14.0,23.0,3.0,6.0,4.0,5.0,7.0,12.0,3.0,9.0,10.0,9.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,28.0,8.0,9.0,4.0,9.0,356.0,391.0,276.0,300.0,4
