flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Cracovia,cracovia,Al Ammari A.,amir-fouad-aboud-al-ammari,cracovia,2025/26,future_season_same_club,101,last_token_exact | last_token_slugstyle | token_overlap_ascii:ammari | token_overlap_slug:ammari | initial_match | same_club_bonus,Amir Al AmmariCracovia
Cracovia,cracovia,Al Ammari A.,amir-fouad-aboud-al-ammari,cracovia,2024/25,same_season_same_club,99,last_token_exact | last_token_slugstyle | token_overlap_ascii:ammari | token_overlap_slug:ammari | initial_match | same_club_bonus,Amir Al AmmariCracovia
Cracovia,cracovia,Atanasov J.,jani-atanasov,cracovia,2025/26,future_season_same_club,109,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:atanasov | token_overlap_slug:atanasov | sim>=0.92:1.000 | initial_match | same_club_bonus,Jani AtanasovCracovia
Cracovia,cracovia,Atanasov J.,jani-atanasov,cracovia,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:atanasov | token_overlap_slug:atanasov | sim>=0.92:1.000 | initial_match | same_club_bonus,Jani AtanasovCracovia
Cracovia,cracovia,Biedrzycki B.,bartosz-biedrzycki,cracovia,2025/26,future_season_same_club,109,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:biedrzycki | token_overlap_slug:biedrzycki | sim>=0.92:1.000 | initial_match | same_club_bonus,Bartosz BiedrzyckiCracovia
Cracovia,cracovia,Biedrzycki B.,bartosz-biedrzycki,cracovia,2024/25,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:biedrzycki | token_overlap_slug:biedrzycki | sim>=0.92:1.000 | initial_match | same_club_bonus,Bartosz BiedrzyckiCracovia
Cracovia,cracovia,Bochnak M.,mateusz-bochnak,cracovia,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bochnak | token_overlap_slug:bochnak | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz BochnakCracovia
Cracovia,cracovia,Bochnak M.,mateusz-bochnak,cracovia,2024/25,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bochnak | token_overlap_slug:bochnak | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz BochnakCracovia
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,cracovia,2025/26,future_season_same_club,109,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bzdyl | token_overlap_slug:bzdyl | sim>=0.92:1.000 | initial_match | same_club_bonus,Fabian BzdylCracovia
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,cracovia,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bzdyl | token_overlap_slug:bzdyl | sim>=0.92:1.000 | initial_match | same_club_bonus,Fabian BzdylCracovia
