flash_team,klub_slug_expected,flash_name
Korona Kielce,korona-kielce,Zator D.
Korona Kielce,korona-kielce,Łukowski J.
Lech Poznań,lech-poznan,Amaral J.
Lech Poznań,lech-poznan,Andersson E.
Lech Poznań,lech-poznan,Ba Loua A.
Lech Poznań,lech-poznan,Bednarek F.
Lech Poznań,lech-poznan,Blazic M.
Lech Poznań,lech-poznan,Czerwiński A.
Lech Poznań,lech-poznan,Dagerstal F.
Lech Poznań,lech-poznan,Douglas B.
Lech Poznań,lech-poznan,Dziuba M.
Lech Poznań,lech-poznan,Gholizadeh A.
Lech Poznań,lech-poznan,Gurgul M.
Lech Poznań,lech-poznan,Hotic D.
Lech Poznań,lech-poznan,Ishak M.
Lech Poznań,lech-poznan,Karlstrom J.
Lech Poznań,lech-poznan,Kvekveskiri N.
Lech Poznań,lech-poznan,Lisman K.
Lech Poznań,lech-poznan,Marchwiński F.
Lech Poznań,lech-poznan,Milic A.
Lech Poznań,lech-poznan,Monka W.
Lech Poznań,lech-poznan,Mrozek B.
Lech Poznań,lech-poznan,Murawski R.
Lech Poznań,lech-poznan,Nadolski A.
Lech Poznań,lech-poznan,Pacławski N.
Lech Poznań,lech-poznan,Pereira J.
Lech Poznań,lech-poznan,Pingot M.
Lech Poznań,lech-poznan,Salamon B.
Lech Poznań,lech-poznan,Sobiech A.
Lech Poznań,lech-poznan,Sousa A.
Lech Poznań,lech-poznan,Szymczak F.
Lech Poznań,lech-poznan,Tomaszewski B.
Lech Poznań,lech-poznan,Velde K.
Lech Poznań,lech-poznan,Wilak F.
Legia Warszawa,legia-warszawa,Adkonis J.
Legia Warszawa,legia-warszawa,Augustyniak R.
Legia Warszawa,legia-warszawa,Baku M.
Legia Warszawa,legia-warszawa,Burch M.
Legia Warszawa,legia-warszawa,Celhaka J.
Legia Warszawa,legia-warszawa,Elitim J.
Legia Warszawa,legia-warszawa,Gil Dias
Legia Warszawa,legia-warszawa,Gual M.
Legia Warszawa,legia-warszawa,Hładun D.
Legia Warszawa,legia-warszawa,Josue
Legia Warszawa,legia-warszawa,Jędrzejczyk A.
Legia Warszawa,legia-warszawa,Kapuadi S.
Legia Warszawa,legia-warszawa,Kapustka B.
Legia Warszawa,legia-warszawa,Kharatin I.
Legia Warszawa,legia-warszawa,Kobylak G.
Legia Warszawa,legia-warszawa,Kramer B.
Legia Warszawa,legia-warszawa,Kun P.
Legia Warszawa,legia-warszawa,Morishita R.
Legia Warszawa,legia-warszawa,Muci E.
Legia Warszawa,legia-warszawa,Pankov R.
Legia Warszawa,legia-warszawa,Pekhart T.
Legia Warszawa,legia-warszawa,Rejczyk F.
Legia Warszawa,legia-warszawa,Ribeiro Y.
Legia Warszawa,legia-warszawa,Rose L.
Legia Warszawa,legia-warszawa,Rosołek M.
Legia Warszawa,legia-warszawa,Slisz B.
Legia Warszawa,legia-warszawa,Sokołowski P.
Legia Warszawa,legia-warszawa,Strzałek I.
