pozycja,klub_slug,nazwa,wartosc
1,puszcza-niepolomice,Puszcza Niepołomice,61.6
2,lechia-gdansk,Lechia Gdańsk,57.6
3,gks-katowice,GKS Katowice,56.5
4,stal-mielec,Stal Mielec,53.5
5,zagebie-lubin,KGHM Zagłębie Lubin,52.7
6,motor-lublin,Motor Lublin,51.7
7,widzew-lodz,Widzew Łódź,51.7
8,legia-warszawa,Legia Warszawa,48.2
9,jagiellonia-bialystok,Jagiellonia Białystok,46.7
10,slask-wroclaw,Śląsk Wrocław,46.2
11,radomiak-radom,Radomiak Radom,44.9
12,gornik-zabrze,Górnik Zabrze,44.3
13,cracovia,Cracovia,43.6
14,korona-kielce,Korona Kielce,43.3
15,piast-gliwice,Piast Gliwice,40.8
16,pogon-szczecin,Pogoń Szczecin,39.6
17,lech-poznan,Lech Poznań,36.0
18,rakow-czestochowa,Raków Częstochowa,30.9
