pozycja,klub_slug,nazwa,wartosc
1,legia-warszawa,Legia Warszawa,62.3
2,lech-poznan,Lech Poznań,55.4
3,pogon-szczecin,Pogoń Szczecin,54.0
4,jagiellonia-bialystok,Jagiellonia Białystok,52.6
5,motor-lublin,Motor Lublin,50.5
6,cracovia,Cracovia,49.9
7,stal-mielec,Stal Mielec,48.3
8,gornik-zabrze,Górnik Zabrze,47.4
9,gks-katowice,GKS Katowice,47.1
10,slask-wroclaw,Śląsk Wrocław,46.3
11,rakow-czestochowa,Raków Częstochowa,46.2
12,radomiak-radom,Radomiak Radom,46.1
13,lechia-gdansk,Lechia Gdańsk,42.9
14,piast-gliwice,Piast Gliwice,41.6
15,korona-kielce,Korona Kielce,40.9
16,widzew-lodz,Widzew Łódź,40.7
17,zagebie-lubin,KGHM Zagłębie Lubin,40.0
18,puszcza-niepolomice,Puszcza Niepołomice,37.9
