pozycja,klub_slug,nazwa,wartosc
1,pogon-szczecin,Pogoń Szczecin,57.0
2,jagiellonia-bialystok,Jagiellonia Białystok,56.7
3,rakow-czestochowa,Raków Częstochowa,55.5
4,legia-warszawa,Legia Warszawa,52.0
5,piast-gliwice,Piast Gliwice,47.9
6,radomiak-radom,Radomiak Radom,44.8
7,slask-wroclaw,Śląsk Wrocław,44.5
8,zagebie-lubin,KGHM Zagłębie Lubin,44.4
9,cracovia,Cracovia,42.7
10,ruch-chorzow,Ruch Chorzów,42.2
11,korona-kielce,Korona Kielce,40.9
12,gornik-zabrze,Górnik Zabrze,40.3
13,widzew-lodz,Widzew Łódź,40.1
14,lech-poznan,Lech Poznań,38.3
15,puszcza-niepolomice,Puszcza Niepołomice,36.0
16,lks-lodz,ŁKS Łódź,33.8
17,stal-mielec,Stal Mielec,31.2
18,warta-poznan,Warta Poznań,30.5
