pozycja,klub_slug,nazwa,wartosc
1,nieciecza,Nieciecza,57.9
2,jagiellonia-bialystok,Jagiellonia Białystok,56.1
3,pogon-szczecin,Pogoń Szczecin,54.1
4,radomiak-radom,Radomiak Radom,52.6
5,lechia-gdansk,Lechia Gdańsk,50.6
6,korona-kielce,Korona Kielce,50.0
7,gks-katowice,GKS Katowice,48.6
8,piast-gliwice,Piast Gliwice,48.1
9,zagebie-lubin,KGHM Zagłębie Lubin,47.3
10,wisla-plock,Wisła Płock,45.5
11,rakow-czestochowa,Raków Częstochowa,43.3
12,gornik-zabrze,Górnik Zabrze,42.1
13,lech-poznan,Lech Poznań,40.8
14,widzew-lodz,Widzew Łódź,38.8
15,cracovia,Cracovia,37.3
16,legia-warszawa,Legia Warszawa,34.9
