pozycja,player_slug,klub_slug,nazwa,wartosc
351,leandro-rossi-pereira,radomiak-radom,LeândroRadomiak Radom,59
354,mateusz-egowski,pogon-szczecin,Mateusz Jacek ŁęgowskiPogoń Szczecin,58
354,matej-rodin,rakow-czestochowa,Matej RodinRaków Częstochowa,58
356,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,57
357,sebastian-musiolik,gornik-zabrze,Sebastian Karol MusiolikGórnik Zabrze,56
357,alen-mustafic,slask-wroclaw,Alen MustafićŚląsk Wrocław,56
359,zlatan-alomerovic,jagiellonia-bialystok,Zlatan AlomerovićJagiellonia Białystok,55
359,ion-gheorghe,stal-mielec,Ion GheorgheStal Mielec,55
359,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,55
359,tomasz-kupisz,jagiellonia-bialystok,Tomasz Mateusz KupiszJagiellonia Białystok,55
359,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,55
359,soma-novothny,ruch-chorzow,Soma Zsombor NovothnyRuch Chorzów,55
359,kamil-pestka,rakow-czestochowa,Kamil PestkaRaków Częstochowa,55
366,kamil-cybulski,widzew-lodz,Kamil CybulskiWidzew Łódź,54
366,wojciech-lisowski,pogon-szczecin,Wojciech LisowskiPogoń Szczecin,54
368,maciej-sliwa,lks-lodz,Maciej ŚliwaŁKS Łódź,52
369,jordan-aleksander-majchrzak,puszcza-niepolomice,Jordan Aleksander MajchrzakPuszcza Niepołomice,50
370,kaan-caliskaner,jagiellonia-bialystok,Kaan ÇalışkanerJagiellonia Białystok,49
370,pawe-olszewski,jagiellonia-bialystok,Paweł OlszewskiJagiellonia Białystok,49
370,albert-posiadaa,radomiak-radom,Albert PosiadałaRadomiak Radom,49
370,dante-stipica,ruch-chorzow,Dante StipicaRuch Chorzów,49
374,thomas-nathan-hateley,piast-gliwice,Thomas Nathan HateleyPiast Gliwice,48
374,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,48
