pozycja,player_slug,klub_slug,nazwa,wartosc
1,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,1725
2,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,1533
3,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,1182
4,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,1172
5,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,1092
6,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,1046
7,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,1009
8,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,1000
8,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,1000
10,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,978
11,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,969
12,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,961
13,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,956
14,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,946
15,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,928
16,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,916
17,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,910
18,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,908
19,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,861
20,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,855
21,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,854
22,micha-mokrzycki,lks-lodz,Michał MokrzyckiŁKS Łódź,845
23,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,828
24,mariusz-malec,pogon-szczecin,Mariusz MalecPogoń Szczecin,804
25,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,788
26,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,787
27,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,780
28,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,779
29,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,772
30,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,768
31,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,762
32,nils-erik-elias-andersson,lech-poznan,Nils Erik Elias AnderssonLech Poznań,756
33,dominick-lukasz-zator,korona-kielce,Dominick Lukasz ZatorKorona Kielce,755
34,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,743
35,yuri-ribeiro,legia-warszawa,Yuri RibeiroLegia Warszawa,737
36,bartosz-slisz,legia-warszawa,Bartosz Piotr SliszLegia Warszawa,728
37,benedikt-zech,pogon-szczecin,Benedikt ZechPogoń Szczecin,727
38,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,720
39,daniel-pacheco-lobato,gornik-zabrze,Dani PachecoGórnik Zabrze,713
40,jani-atanasov,cracovia,Jani AtanasovCracovia,701
41,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,700
42,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,698
43,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,695
44,bartosz-kopacz,zagebie-lubin,Bartosz KopaczKGHM Zagłębie Lubin,679
45,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,673
46,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,666
47,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,660
48,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,657
49,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,655
50,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,650
51,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,645
52,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,643
53,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,641
54,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,628
55,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,626
56,tomasz-makowski,zagebie-lubin,Tomasz MakowskiKGHM Zagłębie Lubin,624
57,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,620
58,marek-hanousek,widzew-lodz,Marek HanousekWidzew Łódź,612
58,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,612
60,mateusz-grzybek,zagebie-lubin,Mateusz GrzybekKGHM Zagłębie Lubin,592
61,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,590
62,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,586
63,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,582
64,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,579
65,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,578
66,antonio-milic,lech-poznan,Antonio MilićLech Poznań,576
68,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,572
69,ariel-pawe-mosor,piast-gliwice,Ariel Paweł MosórPiast Gliwice,571
70,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,567
71,patryk-makuch,cracovia,Patryk MakuchCracovia,566
72,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,564
73,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,563
74,luis-silva,widzew-lodz,Luís SilvaWidzew Łódź,560
75,vahan-bichakhchyan,pogon-szczecin,Vahan BichakhchyanPogoń Szczecin,559
76,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,556
77,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,555
78,mateusz-kupczak,warta-poznan,Mateusz KupczakWarta Poznań,553
79,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,552
79,tomasz-wojtowicz,ruch-chorzow,Tomasz WójtowiczRuch Chorzów,552
81,jakub-bartkowski,warta-poznan,Jakub BartkowskiWarta Poznań,550
81,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,550
83,konrad-matuszewski,warta-poznan,Konrad MatuszewskiWarta Poznań,545
84,takuto-oshima,cracovia,Takuto OshimaCracovia,542
85,andrejs-ciganiks,widzew-lodz,Andrejs CigaņiksWidzew Łódź,538
85,kamil-dankowski,lks-lodz,Kamil DankowskiŁKS Łódź,538
87,miguel-luis,warta-poznan,Miguel LuísWarta Poznań,537
88,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,533
89,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,529
89,patrick-olsen,slask-wroclaw,Patrick Haakon OlsenŚląsk Wrocław,529
91,miha-blazic,lech-poznan,Miha BlažičLech Poznań,525
92,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,523
93,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,520
94,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,519
95,miosz-kozak,ruch-chorzow,Miłosz KozakRuch Chorzów,516
96,luiz-gustavo-novaes-palhares,radomiak-radom,LuizãoRadomiak Radom,515
96,maciej-sadlok,ruch-chorzow,Maciej SadlokRuch Chorzów,515
98,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,513
99,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,512
100,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,511
101,oliwier-zych,puszcza-niepolomice,Oliwier ZychPuszcza Niepołomice,499
102,jacek-podgorski,korona-kielce,Jacek PodgórskiKorona Kielce,495
103,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,494
104,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,490
104,marko-poletanovic,zagebie-lubin,Marko PoletanovićKGHM Zagłębie Lubin,490
106,jedrzej-grobelny,warta-poznan,Jędrzej GrobelnyWarta Poznań,489
107,alan-czerwinski,lech-poznan,Alan CzerwińskiLech Poznań,485
107,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,485
109,ukasz-bejger,slask-wroclaw,Łukasz BejgerŚląsk Wrocław,481
110,alexandros-katranis,piast-gliwice,Alexandros KatranisPiast Gliwice,476
112,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,470
112,juliusz-letniowski,ruch-chorzow,Juliusz LetniowskiRuch Chorzów,470
114,peter-pokorny,slask-wroclaw,Peter PokornýŚląsk Wrocław,469
115,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,464
116,patryk-janasik,slask-wroclaw,Patryk JanasikŚląsk Wrocław,462
117,karol-knap,cracovia,Karol KnapCracovia,457
118,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,456
119,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,452
120,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,451
121,patryk-kun,legia-warszawa,Patryk KunLegia Warszawa,449
122,mato-milos,widzew-lodz,Mato MilošWidzew Łódź,448
123,patryk-stepinski,widzew-lodz,Patryk StępińskiWidzew Łódź,443
